latest_ts_code,source_ts_code,valid_from,valid_to,identity_source,confidence,reason
920000.BJ,832000.BJ,2020-12-23,,bse_mapping,confirmed,bse_mapping o_code=832000.BJ -> n_code=920000.BJ
920001.BJ,873001.BJ,2022-12-27,,bse_mapping,confirmed,bse_mapping o_code=873001.BJ -> n_code=920001.BJ
920006.BJ,837006.BJ,2023-05-18,,bse_mapping,confirmed,bse_mapping o_code=837006.BJ -> n_code=920006.BJ
920010.BJ,831010.BJ,2020-07-27,,bse_mapping,confirmed,bse_mapping o_code=831010.BJ -> n_code=920010.BJ
920014.BJ,834014.BJ,2022-12-13,,bse_mapping,confirmed,bse_mapping o_code=834014.BJ -> n_code=920014.BJ
920017.BJ,430017.BJ,2023-05-31,,bse_mapping,confirmed,bse_mapping o_code=430017.BJ -> n_code=920017.BJ
920023.BJ,832023.BJ,2023-02-02,,bse_mapping,confirmed,bse_mapping o_code=832023.BJ -> n_code=920023.BJ
920026.BJ,873726.BJ,2023-10-19,,bse_mapping,confirmed,bse_mapping o_code=873726.BJ -> n_code=920026.BJ
920030.BJ,838030.BJ,2020-11-27,,bse_mapping,confirmed,bse_mapping o_code=838030.BJ -> n_code=920030.BJ
920033.BJ,834033.BJ,2022-12-21,,bse_mapping,confirmed,bse_mapping o_code=834033.BJ -> n_code=920033.BJ
920039.BJ,831039.BJ,2021-08-18,,bse_mapping,confirmed,bse_mapping o_code=831039.BJ -> n_code=920039.BJ
920046.BJ,837046.BJ,2022-10-13,,bse_mapping,confirmed,bse_mapping o_code=837046.BJ -> n_code=920046.BJ
920047.BJ,430047.BJ,2020-11-24,,bse_mapping,confirmed,bse_mapping o_code=430047.BJ -> n_code=920047.BJ
920057.BJ,835857.BJ,2023-03-14,,bse_mapping,confirmed,bse_mapping o_code=835857.BJ -> n_code=920057.BJ
920058.BJ,834058.BJ,2023-08-10,,bse_mapping,confirmed,bse_mapping o_code=834058.BJ -> n_code=920058.BJ
920061.BJ,836961.BJ,2023-12-21,,bse_mapping,confirmed,bse_mapping o_code=836961.BJ -> n_code=920061.BJ
920062.BJ,834062.BJ,2022-07-13,,bse_mapping,confirmed,bse_mapping o_code=834062.BJ -> n_code=920062.BJ
920075.BJ,833075.BJ,2022-12-14,,bse_mapping,confirmed,bse_mapping o_code=833075.BJ -> n_code=920075.BJ
920077.BJ,836077.BJ,2021-08-31,,bse_mapping,confirmed,bse_mapping o_code=836077.BJ -> n_code=920077.BJ
920087.BJ,831087.BJ,2022-12-07,,bse_mapping,confirmed,bse_mapping o_code=831087.BJ -> n_code=920087.BJ
920089.BJ,832089.BJ,2021-11-09,,bse_mapping,confirmed,bse_mapping o_code=832089.BJ -> n_code=920089.BJ
920090.BJ,430090.BJ,2021-08-09,,bse_mapping,confirmed,bse_mapping o_code=430090.BJ -> n_code=920090.BJ
920092.BJ,837092.BJ,2021-11-15,,bse_mapping,confirmed,bse_mapping o_code=837092.BJ -> n_code=920092.BJ
920110.BJ,832110.BJ,2022-12-06,,bse_mapping,confirmed,bse_mapping o_code=832110.BJ -> n_code=920110.BJ
920123.BJ,837023.BJ,2024-03-29,,bse_mapping,confirmed,bse_mapping o_code=837023.BJ -> n_code=920123.BJ
920130.BJ,833030.BJ,2023-11-02,,bse_mapping,confirmed,bse_mapping o_code=833030.BJ -> n_code=920130.BJ
920132.BJ,873132.BJ,2023-11-16,,bse_mapping,confirmed,bse_mapping o_code=873132.BJ -> n_code=920132.BJ
920139.BJ,430139.BJ,2022-10-28,,bse_mapping,confirmed,bse_mapping o_code=430139.BJ -> n_code=920139.BJ
920145.BJ,832145.BJ,2021-11-15,,bse_mapping,confirmed,bse_mapping o_code=832145.BJ -> n_code=920145.BJ
920146.BJ,839946.BJ,2021-07-20,,bse_mapping,confirmed,bse_mapping o_code=839946.BJ -> n_code=920146.BJ
920149.BJ,836149.BJ,2020-07-27,,bse_mapping,confirmed,bse_mapping o_code=836149.BJ -> n_code=920149.BJ
920152.BJ,831152.BJ,2022-09-01,,bse_mapping,confirmed,bse_mapping o_code=831152.BJ -> n_code=920152.BJ
920167.BJ,839167.BJ,2020-07-27,,bse_mapping,confirmed,bse_mapping o_code=839167.BJ -> n_code=920167.BJ
920169.BJ,873169.BJ,2022-04-15,,bse_mapping,confirmed,bse_mapping o_code=873169.BJ -> n_code=920169.BJ
920171.BJ,832171.BJ,2021-11-15,,bse_mapping,confirmed,bse_mapping o_code=832171.BJ -> n_code=920171.BJ
920174.BJ,835174.BJ,2021-08-20,,bse_mapping,confirmed,bse_mapping o_code=835174.BJ -> n_code=920174.BJ
920175.BJ,832175.BJ,2023-06-30,,bse_mapping,confirmed,bse_mapping o_code=832175.BJ -> n_code=920175.BJ
920179.BJ,835179.BJ,2022-03-04,,bse_mapping,confirmed,bse_mapping o_code=835179.BJ -> n_code=920179.BJ
920184.BJ,835184.BJ,2020-07-27,,bse_mapping,confirmed,bse_mapping o_code=835184.BJ -> n_code=920184.BJ
920185.BJ,835185.BJ,2020-07-27,,bse_mapping,confirmed,bse_mapping o_code=835185.BJ -> n_code=920185.BJ
920190.BJ,872190.BJ,2022-12-23,,bse_mapping,confirmed,bse_mapping o_code=872190.BJ -> n_code=920190.BJ
920195.BJ,831195.BJ,2022-12-30,,bse_mapping,confirmed,bse_mapping o_code=831195.BJ -> n_code=920195.BJ
920198.BJ,430198.BJ,2020-07-27,,bse_mapping,confirmed,bse_mapping o_code=430198.BJ -> n_code=920198.BJ
920199.BJ,870199.BJ,2022-12-01,,bse_mapping,confirmed,bse_mapping o_code=870199.BJ -> n_code=920199.BJ
920204.BJ,870204.BJ,2022-01-18,,bse_mapping,confirmed,bse_mapping o_code=870204.BJ -> n_code=920204.BJ
920207.BJ,835207.BJ,2022-09-23,,bse_mapping,confirmed,bse_mapping o_code=835207.BJ -> n_code=920207.BJ
920208.BJ,836208.BJ,2023-06-29,,bse_mapping,confirmed,bse_mapping o_code=836208.BJ -> n_code=920208.BJ
920212.BJ,837212.BJ,2021-06-08,,bse_mapping,confirmed,bse_mapping o_code=837212.BJ -> n_code=920212.BJ
920221.BJ,836221.BJ,2023-06-08,,bse_mapping,confirmed,bse_mapping o_code=836221.BJ -> n_code=920221.BJ
920223.BJ,873223.BJ,2022-06-09,,bse_mapping,confirmed,bse_mapping o_code=873223.BJ -> n_code=920223.BJ
920225.BJ,832225.BJ,2021-02-25,,bse_mapping,confirmed,bse_mapping o_code=832225.BJ -> n_code=920225.BJ
920227.BJ,838227.BJ,2022-12-28,,bse_mapping,confirmed,bse_mapping o_code=838227.BJ -> n_code=920227.BJ
920230.BJ,833230.BJ,2022-12-09,,bse_mapping,confirmed,bse_mapping o_code=833230.BJ -> n_code=920230.BJ
920237.BJ,835237.BJ,2022-11-25,,bse_mapping,confirmed,bse_mapping o_code=835237.BJ -> n_code=920237.BJ
920239.BJ,836239.BJ,2021-02-09,,bse_mapping,confirmed,bse_mapping o_code=836239.BJ -> n_code=920239.BJ
920242.BJ,837242.BJ,2020-07-27,,bse_mapping,confirmed,bse_mapping o_code=837242.BJ -> n_code=920242.BJ
