node_path,parent_path,industry_level,name,display_order
农林牧渔,,1,农林牧渔,1
农林牧渔/种植业,农林牧渔,2,种植业,2
农林牧渔/种植业/种子,农林牧渔/种植业,3,种子,3
农林牧渔/种植业/粮食种植,农林牧渔/种植业,3,粮食种植,4
农林牧渔/种植业/其他种植业,农林牧渔/种植业,3,其他种植业,5
农林牧渔/种植业/食用菌,农林牧渔/种植业,3,食用菌,6
农林牧渔/渔业,农林牧渔,2,渔业,7
农林牧渔/渔业/海洋捕捞,农林牧渔/渔业,3,海洋捕捞,8
农林牧渔/渔业/水产养殖,农林牧渔/渔业,3,水产养殖,9
农林牧渔/林业Ⅱ,农林牧渔,2,林业Ⅱ,10
农林牧渔/林业Ⅱ/林业Ⅲ,农林牧渔/林业Ⅱ,3,林业Ⅲ,11
农林牧渔/饲料,农林牧渔,2,饲料,12
农林牧渔/饲料/畜禽饲料,农林牧渔/饲料,3,畜禽饲料,13
农林牧渔/饲料/水产饲料,农林牧渔/饲料,3,水产饲料,14
农林牧渔/饲料/宠物食品,农林牧渔/饲料,3,宠物食品,15
农林牧渔/农产品加工,农林牧渔,2,农产品加工,16
农林牧渔/农产品加工/果蔬加工,农林牧渔/农产品加工,3,果蔬加工,17
农林牧渔/农产品加工/粮油加工,农林牧渔/农产品加工,3,粮油加工,18
农林牧渔/农产品加工/其他农产品加工,农林牧渔/农产品加工,3,其他农产品加工,19
农林牧渔/养殖业,农林牧渔,2,养殖业,20
农林牧渔/养殖业/生猪养殖,农林牧渔/养殖业,3,生猪养殖,21
农林牧渔/养殖业/肉鸡养殖,农林牧渔/养殖业,3,肉鸡养殖,22
农林牧渔/养殖业/其他养殖,农林牧渔/养殖业,3,其他养殖,23
农林牧渔/动物保健Ⅱ,农林牧渔,2,动物保健Ⅱ,24
农林牧渔/动物保健Ⅱ/动物保健Ⅲ,农林牧渔/动物保健Ⅱ,3,动物保健Ⅲ,25
农林牧渔/农业综合Ⅱ,农林牧渔,2,农业综合Ⅱ,26
农林牧渔/农业综合Ⅱ/农业综合Ⅲ,农林牧渔/农业综合Ⅱ,3,农业综合Ⅲ,27
基础化工,,1,基础化工,28
基础化工/化学原料,基础化工,2,化学原料,29
基础化工/化学原料/纯碱,基础化工/化学原料,3,纯碱,30
基础化工/化学原料/氯碱,基础化工/化学原料,3,氯碱,31
基础化工/化学原料/无机盐,基础化工/化学原料,3,无机盐,32
基础化工/化学原料/其他化学原料,基础化工/化学原料,3,其他化学原料,33
基础化工/化学原料/煤化工,基础化工/化学原料,3,煤化工,34
基础化工/化学原料/钛白粉,基础化工/化学原料,3,钛白粉,35
基础化工/化学制品,基础化工,2,化学制品,36
基础化工/化学制品/涂料油墨,基础化工/化学制品,3,涂料油墨,37
基础化工/化学制品/民爆制品,基础化工/化学制品,3,民爆制品,38
基础化工/化学制品/纺织化学制品,基础化工/化学制品,3,纺织化学制品,39
基础化工/化学制品/其他化学制品,基础化工/化学制品,3,其他化学制品,40
基础化工/化学制品/氟化工,基础化工/化学制品,3,氟化工,41
基础化工/化学制品/聚氨酯,基础化工/化学制品,3,聚氨酯,42
基础化工/化学制品/食品及饲料添加剂,基础化工/化学制品,3,食品及饲料添加剂,43
基础化工/化学制品/有机硅,基础化工/化学制品,3,有机硅,44
基础化工/化学制品/胶黏剂及胶带,基础化工/化学制品,3,胶黏剂及胶带,45
基础化工/化学纤维,基础化工,2,化学纤维,46
基础化工/化学纤维/涤纶,基础化工/化学纤维,3,涤纶,47
基础化工/化学纤维/粘胶,基础化工/化学纤维,3,粘胶,48
基础化工/化学纤维/其他化学纤维,基础化工/化学纤维,3,其他化学纤维,49
基础化工/化学纤维/氨纶,基础化工/化学纤维,3,氨纶,50
基础化工/化学纤维/锦纶,基础化工/化学纤维,3,锦纶,51
基础化工/塑料,基础化工,2,塑料,52
基础化工/塑料/其他塑料制品,基础化工/塑料,3,其他塑料制品,53
基础化工/塑料/改性塑料,基础化工/塑料,3,改性塑料,54
基础化工/塑料/合成树脂,基础化工/塑料,3,合成树脂,55
基础化工/塑料/膜材料,基础化工/塑料,3,膜材料,56
基础化工/橡胶,基础化工,2,橡胶,57
基础化工/橡胶/其他橡胶制品,基础化工/橡胶,3,其他橡胶制品,58
基础化工/橡胶/炭黑,基础化工/橡胶,3,炭黑,59
基础化工/橡胶/橡胶助剂,基础化工/橡胶,3,橡胶助剂,60
基础化工/农化制品,基础化工,2,农化制品,61
基础化工/农化制品/氮肥,基础化工/农化制品,3,氮肥,62
基础化工/农化制品/磷肥及磷化工,基础化工/农化制品,3,磷肥及磷化工,63
基础化工/农化制品/农药,基础化工/农化制品,3,农药,64
基础化工/农化制品/钾肥,基础化工/农化制品,3,钾肥,65
基础化工/农化制品/复合肥,基础化工/农化制品,3,复合肥,66
基础化工/非金属材料Ⅱ,基础化工,2,非金属材料Ⅱ,67
基础化工/非金属材料Ⅱ/非金属材料Ⅲ,基础化工/非金属材料Ⅱ,3,非金属材料Ⅲ,68
钢铁,,1,钢铁,69
钢铁/冶钢原料,钢铁,2,冶钢原料,70
钢铁/冶钢原料/铁矿石,钢铁/冶钢原料,3,铁矿石,71
钢铁/冶钢原料/冶钢辅料,钢铁/冶钢原料,3,冶钢辅料,72
钢铁/普钢,钢铁,2,普钢,73
钢铁/普钢/长材,钢铁/普钢,3,长材,74
钢铁/普钢/板材,钢铁/普钢,3,板材,75
钢铁/普钢/钢铁管材,钢铁/普钢,3,钢铁管材,76
钢铁/特钢Ⅱ,钢铁,2,特钢Ⅱ,77
钢铁/特钢Ⅱ/特钢Ⅲ,钢铁/特钢Ⅱ,3,特钢Ⅲ,78
有色金属,,1,有色金属,79
有色金属/金属新材料,有色金属,2,金属新材料,80
有色金属/金属新材料/其他金属新材料,有色金属/金属新材料,3,其他金属新材料,81
有色金属/金属新材料/磁性材料,有色金属/金属新材料,3,磁性材料,82
有色金属/工业金属,有色金属,2,工业金属,83
有色金属/工业金属/铝,有色金属/工业金属,3,铝,84
有色金属/工业金属/铜,有色金属/工业金属,3,铜,85
有色金属/工业金属/铅锌,有色金属/工业金属,3,铅锌,86
有色金属/贵金属,有色金属,2,贵金属,87
有色金属/贵金属/黄金,有色金属/贵金属,3,黄金,88
有色金属/贵金属/白银,有色金属/贵金属,3,白银,89
有色金属/小金属,有色金属,2,小金属,90
有色金属/小金属/稀土,有色金属/小金属,3,稀土,91
有色金属/小金属/钨,有色金属/小金属,3,钨,92
有色金属/小金属/其他小金属,有色金属/小金属,3,其他小金属,93
有色金属/小金属/钼,有色金属/小金属,3,钼,94
有色金属/能源金属,有色金属,2,能源金属,95
有色金属/能源金属/钴,有色金属/能源金属,3,钴,96
有色金属/能源金属/镍,有色金属/能源金属,3,镍,97
有色金属/能源金属/锂,有色金属/能源金属,3,锂,98
电子,,1,电子,99
电子/半导体,电子,2,半导体,100
电子/半导体/分立器件,电子/半导体,3,分立器件,101
电子/半导体/半导体材料,电子/半导体,3,半导体材料,102
电子/半导体/数字芯片设计,电子/半导体,3,数字芯片设计,103
电子/半导体/模拟芯片设计,电子/半导体,3,模拟芯片设计,104
电子/半导体/集成电路制造,电子/半导体,3,集成电路制造,105
电子/半导体/集成电路封测,电子/半导体,3,集成电路封测,106
电子/半导体/半导体设备,电子/半导体,3,半导体设备,107
电子/元件,电子,2,元件,108
电子/元件/印制电路板,电子/元件,3,印制电路板,109
电子/元件/被动元件,电子/元件,3,被动元件,110
电子/光学光电子,电子,2,光学光电子,111
电子/光学光电子/面板,电子/光学光电子,3,面板,112
电子/光学光电子/LED,电子/光学光电子,3,LED,113
电子/光学光电子/光学元件,电子/光学光电子,3,光学元件,114
电子/其他电子Ⅱ,电子,2,其他电子Ⅱ,115
电子/其他电子Ⅱ/其他电子Ⅲ,电子/其他电子Ⅱ,3,其他电子Ⅲ,116
电子/消费电子,电子,2,消费电子,117
电子/消费电子/品牌消费电子,电子/消费电子,3,品牌消费电子,118
电子/消费电子/消费电子零部件及组装,电子/消费电子,3,消费电子零部件及组装,119
电子/电子化学品Ⅱ,电子,2,电子化学品Ⅱ,120
电子/电子化学品Ⅱ/电子化学品Ⅲ,电子/电子化学品Ⅱ,3,电子化学品Ⅲ,121
汽车,,1,汽车,122
汽车/汽车零部件,汽车,2,汽车零部件,123
汽车/汽车零部件/车身附件及饰件,汽车/汽车零部件,3,车身附件及饰件,124
汽车/汽车零部件/底盘与发动机系统,汽车/汽车零部件,3,底盘与发动机系统,125
汽车/汽车零部件/轮胎轮毂,汽车/汽车零部件,3,轮胎轮毂,126
汽车/汽车零部件/其他汽车零部件,汽车/汽车零部件,3,其他汽车零部件,127
汽车/汽车零部件/汽车电子电气系统,汽车/汽车零部件,3,汽车电子电气系统,128
汽车/汽车服务,汽车,2,汽车服务,129
汽车/汽车服务/汽车经销商,汽车/汽车服务,3,汽车经销商,130
汽车/汽车服务/汽车综合服务,汽车/汽车服务,3,汽车综合服务,131
汽车/摩托车及其他,汽车,2,摩托车及其他,132
汽车/摩托车及其他/其他运输设备,汽车/摩托车及其他,3,其他运输设备,133
汽车/摩托车及其他/摩托车,汽车/摩托车及其他,3,摩托车,134
汽车/乘用车,汽车,2,乘用车,135
汽车/乘用车/电动乘用车,汽车/乘用车,3,电动乘用车,136
汽车/乘用车/综合乘用车,汽车/乘用车,3,综合乘用车,137
汽车/商用车,汽车,2,商用车,138
汽车/商用车/商用载货车,汽车/商用车,3,商用载货车,139
汽车/商用车/商用载客车,汽车/商用车,3,商用载客车,140
家用电器,,1,家用电器,141
家用电器/白色家电,家用电器,2,白色家电,142
家用电器/白色家电/空调,家用电器/白色家电,3,空调,143
家用电器/白色家电/冰洗,家用电器/白色家电,3,冰洗,144
家用电器/黑色家电,家用电器,2,黑色家电,145
家用电器/黑色家电/彩电,家用电器/黑色家电,3,彩电,146
家用电器/黑色家电/其他黑色家电,家用电器/黑色家电,3,其他黑色家电,147
家用电器/小家电,家用电器,2,小家电,148
家用电器/小家电/厨房小家电,家用电器/小家电,3,厨房小家电,149
家用电器/小家电/清洁小家电,家用电器/小家电,3,清洁小家电,150
家用电器/小家电/个护小家电,家用电器/小家电,3,个护小家电,151
家用电器/厨卫电器,家用电器,2,厨卫电器,152
家用电器/厨卫电器/厨房电器,家用电器/厨卫电器,3,厨房电器,153
家用电器/厨卫电器/卫浴电器,家用电器/厨卫电器,3,卫浴电器,154
家用电器/照明设备Ⅱ,家用电器,2,照明设备Ⅱ,155
家用电器/照明设备Ⅱ/照明设备Ⅲ,家用电器/照明设备Ⅱ,3,照明设备Ⅲ,156
家用电器/家电零部件Ⅱ,家用电器,2,家电零部件Ⅱ,157
家用电器/家电零部件Ⅱ/家电零部件Ⅲ,家用电器/家电零部件Ⅱ,3,家电零部件Ⅲ,158
家用电器/其他家电Ⅱ,家用电器,2,其他家电Ⅱ,159
家用电器/其他家电Ⅱ/其他家电Ⅲ,家用电器/其他家电Ⅱ,3,其他家电Ⅲ,160
食品饮料,,1,食品饮料,161
食品饮料/食品加工,食品饮料,2,食品加工,162
食品饮料/食品加工/肉制品,食品饮料/食品加工,3,肉制品,163
食品饮料/食品加工/预加工食品,食品饮料/食品加工,3,预加工食品,164
食品饮料/食品加工/保健品,食品饮料/食品加工,3,保健品,165
食品饮料/白酒Ⅱ,食品饮料,2,白酒Ⅱ,166
