ts_code,display_name,tushare_name,fullname,market,publisher,index_type,category,list_date,exp_date,observation_start_date,first_data_trade_date_all,continuity_start_floor,first_data_trade_date_for_continuity,last_data_trade_date,as_of_trade_date,observed_trade_days,expected_trade_days,missing_trade_days,first_missing_trade_date,last_missing_trade_date
000001.SH,上证指数,上证指数,上证综合指数,SSE,中证指数有限公司,,综合指数,1991-07-15,,2000-01-01,1991-04-04,2000-01-01,2000-01-04,2026-05-22,2026-05-22,6391,6391,0,,
000002.SH,A股指数,A股指数,上证A股指数,SSE,中证指数有限公司,,规模指数,1992-02-21,,2000-01-01,1991-04-04,2000-01-01,2000-01-04,2026-05-22,2026-05-22,6391,6391,0,,
000003.SH,B股指数,B股指数,上证B股指数,SSE,中证指数有限公司,,规模指数,1992-08-17,,2000-01-01,1992-02-21,2000-01-01,2000-01-04,2026-05-22,2026-05-22,6391,6391,0,,
000004.SH,工业指数,工业指数,上证工业指数,SSE,中证指数有限公司,,行业指数,1993-05-03,,2000-01-01,1993-04-30,2000-01-01,2000-01-04,2026-05-22,2026-05-22,6391,6391,0,,
000005.SH,商业指数,商业指数,上证商业指数,SSE,中证指数有限公司,,行业指数,1993-05-03,,2000-01-01,1993-04-30,2000-01-01,2000-01-04,2026-05-22,2026-05-22,6391,6391,0,,
000006.SH,地产指数,地产指数,上证地产指数,SSE,中证指数有限公司,,行业指数,1993-05-03,,2000-01-01,1993-04-30,2000-01-01,2000-01-04,2026-05-22,2026-05-22,6391,6391,0,,
000007.SH,公用指数,公用指数,上证公用指数,SSE,中证指数有限公司,,行业指数,1993-05-03,,2000-01-01,1993-04-30,2000-01-01,2000-01-04,2026-05-22,2026-05-22,6391,6391,0,,
000008.SH,综合指数,综合指数,上证综合指数,SSE,中证指数有限公司,,行业指数,1993-05-03,,2000-01-01,1993-04-30,2000-01-01,2000-01-04,2026-05-22,2026-05-22,6391,6391,0,,
399001.SZ,深证成指,深证成指,深证成份指数,SZSE,深圳证券交易所,,规模指数,1995-01-23,,2000-01-01,1991-04-04,2000-01-01,2000-01-04,2026-05-22,2026-05-22,6391,6391,0,,
399002.SZ,深成指R,深成指R,深证成份全收益指数,SZSE,深圳证券交易所,,规模指数,1995-01-23,,2000-01-01,1992-10-05,2000-01-01,2000-01-04,2026-05-22,2026-05-22,6391,6391,0,,
399003.SZ,深成B指,深成B指,深证成份B股指数,SZSE,深圳证券交易所,,规模指数,1995-01-23,,2000-01-01,1992-10-05,2000-01-01,2000-01-04,2026-05-22,2026-05-22,6391,6391,0,,
399106.SZ,深证综指,深证综指,深证综合指数,SZSE,深圳证券交易所,,综合指数,1991-04-04,,2000-01-01,1994-11-14,2000-01-01,2000-01-04,2026-05-22,2026-05-22,6391,6391,0,,
399107.SZ,深证A指,深证A指,深证A股指数,SZSE,深圳证券交易所,,综合指数,1992-10-04,,2000-01-01,1995-12-19,2000-01-01,2000-01-04,2026-05-22,2026-05-22,6391,6391,0,,
399108.SZ,深证B指,深证B指,深证B股指数,SZSE,深圳证券交易所,,综合指数,1992-10-06,,2000-01-01,1995-12-19,2000-01-01,2000-01-04,2026-05-22,2026-05-22,6391,6391,0,,
000010.SH,上证180,上证180,上证180指数,SSE,中证指数有限公司,,规模指数,2002-07-01,,2000-01-01,1996-07-01,2002-07-01,2002-07-01,2026-05-22,2026-05-22,5801,5801,0,,
399004.SZ,深证100R,深证100R,深证100全收益指数,SZSE,深圳证券交易所,,规模指数,2003-01-02,,2000-01-01,2003-01-02,2003-01-02,2003-01-02,2026-05-22,2026-05-22,5675,5675,0,,
000016.SH,上证50,上证50,上证50指数,SSE,中证指数有限公司,,规模指数,2004-01-02,,2000-01-01,2004-01-02,2004-01-02,2004-01-02,2026-05-22,2026-05-22,5434,5434,0,,
000015.SH,红利指数,红利指数,上证红利指数,SSE,中证指数有限公司,,策略指数,2005-01-04,,2000-01-01,2005-01-04,2005-01-04,2005-01-04,2026-05-22,2026-05-22,5191,5191,0,,
399319.SZ,资源优势,资源优势,国证资源优势,SZSE,深圳证券交易所,,主题指数,2005-01-04,,2000-01-01,2005-01-04,2005-01-04,2005-01-04,2026-05-22,2026-05-22,5191,5191,0,,
399320.SZ,国证服务,国证服务,国证服务指数,SZSE,深圳证券交易所,,主题指数,2005-01-04,,2000-01-01,2005-01-04,2005-01-04,2005-01-04,2026-05-22,2026-05-22,5191,5191,0,,
399321.SZ,国证红利,国证红利,国证红利指数,SZSE,深圳证券交易所,,主题指数,2005-01-04,,2000-01-01,2005-01-04,2005-01-04,2005-01-04,2026-05-22,2026-05-22,5191,5191,0,,
399311.SZ,国证1000,国证1000,国证1000指数,SZSE,深圳证券交易所,,规模指数,2005-02-03,,2000-01-01,2003-02-17,2005-02-03,2005-02-03,2026-05-22,2026-05-22,5169,5169,0,,
399312.SZ,国证300,国证300,国证300指数,SZSE,深圳证券交易所,,规模指数,2005-02-03,,2000-01-01,2005-02-03,2005-02-03,2005-02-03,2026-05-22,2026-05-22,5169,5169,0,,
399313.SZ,巨潮100,巨潮100,巨潮100指数,SZSE,巨潮公司,,规模指数,2005-02-03,,2000-01-01,2005-01-04,2005-02-03,2005-02-03,2026-05-22,2026-05-22,5169,5169,0,,
399314.SZ,巨潮大盘,巨潮大盘,巨潮大盘指数,SZSE,巨潮公司,,规模指数,2005-02-03,,2000-01-01,2005-02-03,2005-02-03,2005-02-03,2026-05-22,2026-05-22,5169,5169,0,,
399315.SZ,巨潮中盘,巨潮中盘,巨潮中盘指数,SZSE,巨潮公司,,规模指数,2005-02-03,,2000-01-01,2005-02-03,2005-02-03,2005-02-03,2026-05-22,2026-05-22,5169,5169,0,,
399316.SZ,巨潮小盘,巨潮小盘,巨潮小盘指数,SZSE,巨潮公司,,规模指数,2005-02-03,,2000-01-01,2005-02-03,2005-02-03,2005-02-03,2026-05-22,2026-05-22,5169,5169,0,,
399317.SZ,国证A指,国证A指,国证A股指数,SZSE,深圳证券交易所,,综合指数,2005-02-03,,2000-01-01,2005-02-03,2005-02-03,2005-02-03,2026-05-22,2026-05-22,5169,5169,0,,
399318.SZ,国证B指,国证B指,国证B股指数,SZSE,深圳证券交易所,,综合指数,2005-02-03,,2000-01-01,2005-02-03,2005-02-03,2005-02-03,2026-05-22,2026-05-22,5169,5169,0,,
399353.SZ,国证物流,国证物流,国证物流指数,SZSE,深圳证券交易所,,主题指数,2005-03-01,,2000-01-01,2005-03-01,2005-03-01,2005-03-01,2026-05-22,2026-05-22,5158,5158,0,,
000300.SH,沪深300,沪深300,沪深300指数,SSE,中证指数有限公司,,规模指数,2005-04-08,,2000-01-01,2005-01-04,2005-04-08,2005-04-08,2026-05-22,2026-05-22,5130,5130,0,,
399300.SZ,沪深300,沪深300,沪深300指数,SZSE,中证指数有限公司,,规模指数,2005-04-08,,2000-01-01,2005-01-04,2005-04-08,2005-04-08,2026-05-22,2026-05-22,5130,5130,0,,
931359.CSI,沪深300AUD(CNH),沪深300AUD(CNH),沪深300澳元指数(CNH),CSI,中证指数有限公司,,规模指数,2005-04-08,,2000-01-01,2004-12-31,2005-04-08,2005-04-08,2026-05-22,2026-05-22,5130,5130,0,,
399310.SZ,国证A50,国证A50,国证A50指数,SZSE,深圳证券交易所,,规模指数,2005-09-05,,2000-01-01,2005-09-05,2005-09-05,2005-09-05,2026-05-22,2026-05-22,5029,5029,0,,
