ts_code,name,missing_kind,trade_date,start_date,end_date,missing_trade_day_count,suspend
000155.SZ,川能动力,range,,2016/5/10,2017/12/15,394,S
000520.SZ,凤凰航运,range,,2014/5/16,2015/8/17,310,S
000629.SZ,钒钛股份,range,,2017/5/5,2018/8/23,322,S
000670.SZ,盈方微,range,,2020/4/7,2022/8/19,578,S
000751.SZ,锌业股份,range,,2014/1/2,2014/8/5,145,S
000792.SZ,盐湖股份,range,,2020/5/22,2021/8/9,298,S
000950.SZ,重药控股,range,,2017/5/11,2018/8/27,320,S
000995.SZ,皇台酒业,range,,2019/5/13,2020/12/15,391,S
001257.SZ,盛龙股份,single,2026/3/31,,,1,
002506.SZ,协鑫集成,range,,2014/5/28,2015/8/11,298,S
600610.SH,中毅达,range,,2019/7/19,2020/8/14,262,S
600710.SH,苏美达,range,,2016/4/20,2017/7/28,312,S
600732.SH,爱旭股份,range,,2016/4/8,2017/6/5,281,S
688005.SH,容百科技,single,2026/1/16,,,1,S
688766.SH,普冉股份,single,2025/11/26,,,1,S
688813.SH,泰金新能,single,2026/3/31,,,1,
920039.BJ,国义招标,range,,2023/3/1,2023/3/10,8,S
920055.BJ,隆源股份,single,2026/3/31,,,1,
920090.BJ,*ST同辉,range,,2023/8/2,2023/8/8,5,S
920171.BJ,志晟信息,range,,2023/11/28,2023/11/30,3,S
920174.BJ,五新隧装,range,,2024/11/26,2024/12/9,10,S
920188.BJ,悦龙科技,range,,2026/3/30,2026/3/31,2,S
920198.BJ,微创光电,range,,2023/12/4,2023/12/8,5,S
920239.BJ,长虹能源,range,,2022/1/24,2022/2/9,8,S
920263.BJ,中航泰达,range,,2021/12/21,2022/1/4,10,S
920305.BJ,*ST云创,single,2025/4/30,,,1,S
920305.BJ,*ST云创,range,,2025/7/7,2025/7/11,5,S
920415.BJ,恒拓开源,range,,2021/12/24,2022/1/7,10,S
920415.BJ,恒拓开源,range,,2022/7/25,2022/7/29,5,S
920526.BJ,凯华材料,range,,2023/11/28,2023/11/30,3,S
920753.BJ,天纺标,range,,2023/7/17,2023/7/25,7,S
920808.BJ,曙光数创,range,,2025/5/26,2025/6/9,10,S
920856.BJ,浩淼科技,range,,2023/10/16,2023/10/27,10,S
920961.BJ,创远信科,range,,2025/9/16,2025/9/22,5,S
920964.BJ,润农节水,range,,2024/10/22,2024/10/25,4,S
