ts_code,ann_date,end_date,netprofit_margin,grossprofit_margin,roe,netprofit_yoy,tr_yoy,debt_to_assets
000027.SZ,20260417,20251231,7.0814,20.6711,4.2601,4.8971,5.3769,61.9918
000037.SZ,20260415,20251231,63.5336,21.52,10.1828,635.0379,-9.3212,23.1867
000155.SZ,20260410,20251231,18.374,41.5356,4.8437,-30.8706,17.8315,52.94
000507.SZ,20260429,20251231,9.1767,27.4257,3.7143,-17.4253,-14.4026,54.4811
000531.SZ,20260410,20251231,6.1295,15.8344,4.5269,81.538,-3.6594,58.0269
000537.SZ,20260428,20251231,24.9363,47.1033,4.0612,-20.6097,27.4133,73.8117
000539.SZ,20260331,20251231,2.0016,11.3068,2.5894,-37.781,-9.8285,77.7124
000543.SZ,20260424,20251231,11.7525,16.2694,12.9517,4.1459,-9.2647,62.7224
000591.SZ,20260424,20251231,16.6615,46.5842,3.4798,-32.8662,-17.9103,53.8901
000595.SZ,20260418,20251231,9.5511,26.234,20.9111,178.0174,5.9764,89.4216
000600.SZ,20260429,20251231,12.7023,26.6476,16.1239,253.6646,-3.1109,59.1779
000601.SZ,20260424,20251231,2.4319,14.7475,2.5456,39.7191,7.9682,65.9402
000631.SZ,20260331,20251231,16.7055,27.1799,1.0157,-44.9006,-13.7115,19.6541
000690.SZ,20260421,20251231,11.8664,18.6038,8.2058,45.207,9.2346,41.5638
000692.SZ,20260429,20251231,-5.9785,-2.9202,-32.9715,83.6348,0.0636,98.6906
000722.SZ,20260404,20251231,19.1164,40.2238,2.3052,6.3949,3.6748,10.0857
000767.SZ,20260423,20251231,0.7806,12.4071,1.7506,511.5205,-7.2375,81.3669
000791.SZ,20260328,20251231,32.9151,41.6526,14.3372,24.7685,4.2554,52.3511
000803.SZ,20260429,20251231,1.7246,24.4395,2.108,132.3933,-0.1727,72.3499
000862.SZ,20260326,20251231,3.9143,35.1372,1.0424,-48.8401,3.4657,49.3348
000875.SZ,20260421,20251231,8.6408,23.7191,3.0257,-53.1651,-4.5482,69.5665
000883.SZ,20260429,20251231,11.61,21.9635,5.3819,5.259,-12.7991,55.8359
000899.SZ,20260418,20251231,14.3641,21.5767,16.5018,40.9716,6.8957,65.3259
000958.SZ,20260424,20251231,41.3347,31.2133,10.2623,-0.6742,1.8599,60.2722
000966.SZ,20260424,20251231,-0.7299,5.3829,-0.4914,-109.2511,-22.2149,66.8866
000993.SZ,20260331,20251231,9.1337,48.8743,2.3191,-65.2285,-0.7478,27.6852
001210.SZ,20260317,20251231,10.4028,25.7323,10.3664,176.06,11.8144,42.9564
001248.SZ,20260402,20251231,27.6179,48.8399,6.9434,-23.2795,0.1549,59.9803
001258.SZ,20260423,20251231,8.8833,48.8447,2.8579,69.5398,9.1943,75.9133
001286.SZ,20260421,20251231,20.4771,36.7752,11.7659,0.0266,-0.8566,54.5301
001289.SZ,20260401,20251231,18.14,34.7886,6.1079,-28.7761,-18.5968,66.5494
001376.SZ,20260428,20251231,18.7351,33.3752,17.1564,4.7072,-5.6264,30.6549
001896.SZ,20260331,20251231,3.7038,13.6873,11.801,421.5351,-7.6148,86.8032
002015.SZ,20260428,20251231,6.2715,28.3957,3.4325,-17.3522,5.4013,64.6793
002039.SZ,20260403,20251231,33.9454,56.207,14.3725,175.0206,69.9797,48.8484
002053.SZ,20260327,20251231,9.1182,31.938,3.1857,-64.9949,-27.7499,52.7638
002218.SZ,20260423,20251231,-19.3725,8.3669,-4.8813,-1944.7792,-22.278,38.9294
002256.SZ,20260415,20251231,8.9999,28.2694,3.713,129.7056,43.3973,32.3918
002310.SZ,20260430,20251231,-22.1527,20.4449,-3.8443,97.8945,-60.942,45.0583
002479.SZ,20260415,20251231,5.8861,18.0272,4.9152,-15.6808,1.9322,46.9628
002480.SZ,20260417,20251231,-8.3737,30.2463,-18.0816,58.8272,-39.9597,84.4578
002608.SZ,20260421,20251231,13.7053,13.6302,10.196,7.0129,-3.7943,51.0856
002616.SZ,20260331,20251231,7.7067,22.0601,8.7228,29.3266,-3.169,62.3523
002617.SZ,20260429,20251231,4.8108,21.9203,3.3954,-17.8224,-1.2005,39.7519
002893.SZ,20260429,20251231,5.7033,21.4224,5.1848,-6.7197,24.5865,52.908
003035.SZ,20260328,20251231,11.3266,38.3424,5.1096,696.1022,16.5904,66.1507
003816.SZ,20260326,20251231,19.4608,31.993,8.0496,-9.898,-4.1144,65.1514
300040.SZ,20260425,20251231,3.2961,27.3743,1.6489,107.5155,-1.8806,63.8004
300125.SZ,20260331,20251231,17.0222,12.265,7.8911,102.1403,104.22,39.0954
300317.SZ,20260425,20251231,-33.6063,21.7358,-12.1918,33.6668,28.7617,53.3103
300335.SZ,20260417,20251231,7.5659,32.0515,2.2927,-9.4282,-6.3646,28.2965
600011.SH,20260325,20251231,8.5068,18.4473,10.2968,42.1692,-6.623,65.2629
600021.SH,20260414,20251231,12.6442,25.755,8.7642,35.2593,-2.0488,69.3152
600023.SH,20260428,20251231,9.6025,12.3287,10.0489,-2.9923,-9.6061,42.5144
600025.SH,20260429,20251231,34.6576,56.9803,10.9335,2.4962,6.8875,61.1345
600027.SH,20260327,20251231,6.5205,11.4362,8.8944,1.3877,-10.9466,61.364
600032.SH,20260428,20251231,15.3434,39.8581,4.0084,-10.6926,-1.7164,66.786
600052.SH,20260428,20251231,-79.9308,18.0464,-19.5698,-26.0033,31.6628,16.2256
600098.SH,20260415,20251231,4.8774,8.7383,8.6562,33.932,5.2862,63.3932
600101.SH,20260327,20251231,6.0953,10.989,6.0589,-12.0228,6.2932,25.068
600116.SH,20260423,20251231,4.0981,12.5406,3.905,40.7513,-1.4408,54.4319
600149.SH,20260418,20251231,19.0379,36.835,6.4119,-81.8923,-49.5006,39.9197
600157.SH,20260423,20251231,1.7313,20.8134,0.4441,-86.6317,-16.0078,51.1997
600163.SH,20260429,20251231,34.7129,54.4002,7.5039,-19.8917,-7.692,33.8996
600167.SH,20260429,20251231,20.8976,31.9928,6.1595,4.0909,-7.7016,29.1403
600226.SH,20260421,20251231,10.8615,8.1131,5.7031,6.0525,38.6046,31.7182
600236.SH,20260331,20251231,35.7227,53.9784,16.537,43.6254,8.2781,54.2174
600292.SH,20260417,20251231,8.5496,30.2554,4.8016,-34.0682,-15.9044,67.5069
600310.SH,20260327,20251231,-1.2104,19.8419,-7.3474,-434.9179,-5.5612,77.8804
600396.SH,20260430,20251231,6.0526,21.0383,2.1095,-66.4272,-2.2955,70.8989
600452.SH,20260417,20251231,13.1256,19.6459,7.199,-23.5555,-3.863,12.2215
600475.SH,20260429,20251231,5.875,17.7635,4.4588,-44.9768,0.28,61.3821
600483.SH,20260423,20251231,26.5345,28.74,11.2245,5.8693,-5.5798,41.8152
600505.SH,20260423,20251231,0.1677,18.156,0.9787,43.6287,3.9438,65.7479
600509.SH,20260422,20251231,2.6101,21.1742,3.0669,7.265,-9.5581,65.1663
600575.SH,20260328,20251231,5.541,9.5617,10.153,-5.3253,-0.6561,49.1657
600578.SH,20260425,20251231,12.6363,21.28,12.4137,101.7708,0.0056,64.2521
600642.SH,20260427,20251231,17.9936,22.5598,10.1011,1.7508,-5.368,54.7706
600644.SH,20260418,20251231,0.7747,15.5296,1.1924,3.3036,6.2424,51.1668
600674.SH,20260418,20251231,291.1276,50.695,10.9258,5.4667,3.6466,33.5081
600719.SH,20260327,20251231,-15.6573,10.9136,-26.6899,35.1003,-3.7572,88.0446
600726.SH,20260423,20251231,4.7777,17.191,5.0991,20.8101,-8.2228,80.6243
600744.SH,20260423,20251231,1.3184,11.1459,5.0957,172.3719,-3.4005,93.2477
600780.SH,20260425,20251231,5.7432,10.0556,8.0671,26.429,4.0231,30.8575
600795.SH,20260415,20251231,8.0631,15.5379,12.4002,-27.1548,-4.9882,73.4474
