ts_code,name,market,csrc_industry,list_date,actual_controller,controller_type,province,city,main_business,valuation_date,close,total_mv,circ_mv,pe_ttm,pb,dv_ttm,turnover_rate,volume_ratio
600900.SH,长江电力,主板,水力发电,2003-11-18,国务院国有资产监督管理委员会,中央国企,北京,北京市,电力生产、经营和投资。,2026-07-31,29.0900,71178045.2893,71178045.2893,19.7262,3.1232,3.4376,0.7043,1.1900
003816.SZ,中国广核,主板,新型电力,2019-08-26,国务院国有资产监督管理委员会,中央国企,广东,深圳市,以核能为主的电力生产、相关专业技术服务；组织实施核电站工程项目的建设及管理；组织核电站运行、维修及相关业务；组织开发核电站的设计及科研工作；从事相关投资及进出口业务。,2026-07-31,4.1300,20856006.7541,16245429.6291,21.9921,1.6570,2.0823,0.2649,1.1500
600025.SH,华能水电,主板,水力发电,2017-12-15,国务院国有资产监督管理委员会,中央国企,云南,昆明市,水力发电项目的开发、投资、建设、运营与管理,2026-07-31,10.1200,18854667.4316,18854667.4316,22.0802,2.6574,2.0257,0.1640,0.9600
601985.SH,中国核电,主板,新型电力,2015-06-10,国务院国有资产监督管理委员会,中央国企,北京,北京市,"核电项目的开发、投资、建设、运营与管理,核电运行安全技术研究及相关技术服务与咨询业务",2026-07-31,9.0600,18634609.9026,17108256.1194,22.6378,1.5532,1.9817,0.5914,1.1800
600930.SH,华电新能,主板,新型电力,2025-07-16,中国华电集团有限公司,中央国企,福建,福州市,风力发电、太阳能发电为主的新能源项目的开发、投资和运营。,2026-07-31,4.2500,17728571.4225,4565858.0450,27.6896,1.6052,1.4118,1.3968,0.8200
001248.SZ,华润新能源,主板,新型电力,2026-07-02,中国华润有限公司,中央国企,,,,2026-07-31,13.1800,17141281.8182,1400248.2084,31.9025,1.8504,,10.4041,0.5200
001289.SZ,龙源电力,主板,新型电力,2022-01-24,国务院国有资产监督管理委员会,中央国企,北京,北京市,主要从事风电场的设计、开发、建设、管理和运营。同时，还经营火电、太阳能、潮汐、生物质、地热等其他发电项目；向风电场提供咨询、维修、保养、培训及其他专业服务。,2026-07-31,16.5200,13810416.3624,8329275.2984,32.5364,1.8007,0.9837,0.1315,1.0500
600886.SH,国投电力,主板,水力发电,1996-01-18,国务院国有资产监督管理委员会,中央国企,北京,北京市,"投资、建设、经营管理电厂,通过电厂所在地电网运营企业向用户提供稳定及可靠的电力供应。",2026-07-31,15.2500,12206853.8075,11367624.1950,16.4222,1.7686,2.9934,0.5708,0.9200
600011.SH,华能国际,主板,火力发电,2001-12-06,国务院国有资产监督管理委员会,中央国企,河北,保定市,电力及热力销售、港口服务及运输服务等,2026-07-31,7.1900,11286929.1546,7907353.4181,8.1080,1.6111,5.5633,0.9090,0.8600
600905.SH,三峡能源,主板,新型电力,2021-06-10,中国长江三峡集团有限公司,中央国企,北京,北京市,风能、太阳能的开发、投资和运营。,2026-07-31,3.9000,11149183.5390,11149183.5390,48.3129,1.2427,1.0513,0.3610,0.9900
601991.SH,大唐发电,主板,火力发电,2006-12-20,国务院国有资产监督管理委员会,中央国企,北京,北京市,主要经营以火力发电为主的发电业务。,2026-07-31,5.9100,10937465.9055,7326088.6581,13.6016,2.9701,1.9814,2.7688,0.6600
000958.SZ,电投产融,主板,新型电力,1999-12-23,国家电力投资集团有限公司,中央国企,河北,石家庄市,热力、电力的生产与销售、工程施工等。,2026-07-31,5.5000,10074088.6950,2960880.1750,30.5605,2.2224,0.5878,0.3893,1.3400
600795.SH,国电电力,主板,火力发电,1997-03-18,国务院国有资产监督管理委员会,中央国企,辽宁,大连市,电力、热力产品的生产和销售。,2026-07-31,5.0800,9060494.5028,9060494.5028,13.4253,1.4833,4.7441,0.8923,1.0900
600236.SH,桂冠电力,主板,水力发电,2000-03-23,国务院国有资产监督管理委员会,中央国企,广西,南宁市,从事电力业务,2026-07-31,10.8200,8528732.7796,8528732.7796,22.1477,4.7142,2.7079,0.4193,0.7700
600674.SH,川投能源,主板,水力发电,1993-09-24,四川省政府国有资产监督管理委员会,地方国企,四川,成都市,水力和火力电力发电和销售、工业自动化控制设备等生产和销售。,2026-07-31,15.8100,7706753.3508,7706753.3508,16.2999,1.6616,3.1626,0.7905,1.1000
600023.SH,浙能电力,主板,火力发电,2013-12-19,浙江省人民政府国有资产监督管理委员会,地方国企,浙江,杭州市,"电力开发,经营管理,电力及节能技术的研发、技术咨询、节能产品销售,电力工程、电力环保工程的建设与监理,电力设备检修。实业投资,资产管理。",2026-07-31,5.0700,6798227.4789,6798227.4789,9.1858,0.8810,6.5089,0.6329,1.5300
600292.SH,电投水电,主板,水力发电,2000-11-01,国家电力投资集团有限公司,中央国企,重庆,重庆市,制造和销售脂肪醇（酸）、聚氯乙烯(氯乙烯)、蒸汽、氯碱、磺化医药以及硫酸（精制硫酸）等系列产品,2026-07-31,12.6200,6012401.5508,554375.8817,77.2235,3.4457,0.4444,2.3019,0.8400
600027.SH,华电国际,主板,火力发电,2005-02-03,国务院国有资产监督管理委员会,中央国企,山东,济南市,"利用现代化设备和技术,在全国范围内从事发电厂的开发、建设和运营,通过电厂所在的电网的电力公司和当地热力公司向用户提供可靠的电力和热力。",2026-07-31,4.8100,5585263.3902,4432740.7813,9.5099,1.1172,4.7817,0.7212,0.8200
600726.SH,华电能源,主板,火力发电,1996-07-01,中国华电集团有限公司,中央国企,黑龙江,哈尔滨市,"电力生产、供热、电厂检修、电力技术咨询等业务,报告期内公司的主营业务没有发生变化。",2026-07-31,5.6100,4436015.6082,4193663.6082,136.6189,8.9078,,2.8267,0.8400
600642.SH,申能股份,主板,火力发电,1993-04-16,上海市国有资产监督管理委员会,地方国企,上海,上海市,开发、建设和经营电力、能源、节能、资源综合利用及相关项目。,2026-07-31,8.5500,4184437.8870,4184210.2860,11.0392,1.0980,5.3801,0.8056,1.4200
600995.SH,南网储能,主板,水力发电,2004-06-15,国务院国有资产监督管理委员会,中央国企,云南,文山壮族苗族自治州,水力发电、供电和配电。,2026-07-31,12.8700,4113259.4646,4113259.4646,23.2607,1.7808,1.3137,0.4647,0.7100
600021.SH,上海电力,主板,火力发电,2003-10-29,国务院国有资产监督管理委员会,中央国企,上海,上海市,"从事火力发电厂的运营,向用户提供电力和热力产品。",2026-07-31,14.4700,4083254.2826,4083254.2826,16.2971,1.9627,2.5570,1.4785,0.8500
001286.SZ,陕西能源,主板,火力发电,2023-04-10,陕西投资集团有限公司,地方国企,陕西,榆林市,火力发电、煤炭生产和销售,2026-07-31,10.4700,3926250.0000,1413450.0000,12.2911,1.4282,3.9160,2.4844,1.5300
600863.SH,华能蒙电,主板,火力发电,1994-05-20,中国华能集团有限公司,中央国企,内蒙古,呼和浩特市,"为发电和供热,属发电行业,报告期内没有发生变化。",2026-07-31,4.9300,3862748.4235,3217755.6854,17.0427,1.8475,4.4625,2.6236,0.9600
600578.SH,京能电力,主板,火力发电,2002-05-10,北京市国有资产监督管理委员会,地方国企,北京,北京市,生产销售电力、热力产品;电力设备运行;发电设备检测修理;销售脱硫石膏。,2026-07-31,5.7600,3856101.6960,3856101.6960,10.8750,1.5293,2.9514,2.0472,0.8100
600157.SH,永泰能源,主板,火力发电,1998-05-13,王广西,自然人,山西,晋中市,"煤矿及其他矿山投资,电厂投资,新能源开发与投资等。",2026-07-31,1.5800,3447206.7278,3447206.7278,157.1255,0.7348,,1.4837,0.7300
600956.SH,新天绿能,主板,供气供热,2020-06-29,河北省人民政府国有资产监督管理委员会,地方国企,河北,石家庄市,天然气销售业务及风力发电业务。,2026-07-31,7.4600,3357199.5349,1751674.1530,21.1483,1.3576,2.8299,0.3063,0.8700
000883.SZ,湖北能源,主板,水力发电,1998-05-19,中国长江三峡集团有限公司,中央国企,湖北,武汉市,能源投资、开发与管理。,2026-07-31,4.7200,3341470.9944,3058364.3560,16.2268,0.8844,3.1780,0.5165,1.0200
000027.SZ,深圳能源,主板,火力发电,1993-09-03,深圳市人民政府国有资产监督管理委员会,地方国企,广东,深圳市,"各种常规能源和新能源的开发、生产、购销;投资和经营与能源相关的原材料的开发和运输、港口、码头和仓储工业等;投资和经营与能源相配套的地产、房产业和租赁等产业;投资和经营能提高能源使用效益的高科技产业;经营和进出口本公司能源项目所需的成套设备、配套设备、机具和交通工具等;各种能源工程项目的设计、施工、管理和经营,以及与能源工程相关的人员培训、咨询及其他相关服务业务;环保技术的开发、转让和服务;物业管理、自有物业租赁;能提高社会经济效益的其他业务。",2026-07-31,6.4900,3087546.0451,3087546.0451,15.4292,0.9229,2.4653,0.5548,0.9800
600483.SH,福能股份,主板,新型电力,2004-05-31,福建省人民政府国有资产监督管理委员会,地方国企,福建,南平市,"发电、供热;电力行业相关技术研发、培训技术咨询服务;纺织品,PU 革的生产和销售。",2026-07-31,10.8700,3022019.3542,3022019.3542,10.5844,1.0848,3.9190,0.4820,0.9900
000539.SZ,粤电力A,主板,火力发电,1993-11-26,广东省人民政府国有资产监督管理委员会,地方国企,广东,广州市,投资、建设、经营管理电力项目及进行电力的生产和销售的大型发电公司。,2026-07-31,5.5800,2929658.4720,1425905.8902,35.2467,1.2567,0.3584,3.0870,0.7700
002608.SZ,江苏国信,主板,火力发电,2011-08-10,江苏省国有资产监督管理委员会,地方国企,江苏,南京市,信托、火力发电双主业,2026-07-31,7.4100,2799557.0577,2799557.0577,8.2802,0.7811,1.7544,0.7416,1.1700
000791.SZ,甘肃能源,主板,水力发电,1997-10-14,甘肃省人民政府国有资产监督管理委员会,地方国企,甘肃,兰州市,水力、风力、光伏发电业务,2026-07-31,7.8000,2530195.0440,1509782.2740,12.2884,1.6268,2.9487,1.4929,0.9600
600575.SH,淮河能源,主板,火力发电,2003-03-28,安徽省人民政府国有资产监督管理委员会,地方国企,安徽,芜湖市,火力发电业务、售电业务、铁路运输业务及煤炭贸易业务。,2026-07-31,3.4900,2501210.4778,1356305.1239,16.0798,1.1210,5.4441,2.1127,1.2600
002015.SZ,协鑫能科,主板,新型电力,2004-07-08,朱共山,自然人,江苏,无锡市,能源资产与能源服务,2026-07-31,15.0800,2447973.4968,2447973.4968,55.8351,2.0252,0.6460,6.0751,1.3600
601016.SH,节能风电,主板,新型电力,2014-09-29,国务院国有资产监督管理委员会,中央国企,北京,北京市,风力发电的项目开发、建设及运营。,2026-07-31,3.5400,2316748.5042,2137542.9780,46.5301,1.3009,1.0614,2.0532,0.7300
000155.SZ,川能动力,主板,新型电力,2000-09-26,四川省国有资产监督管理委员会,地方国企,四川,成都市,新能源发电和锂电业务,2026-07-31,12.2600,2263402.3358,2263402.3358,42.5086,2.1066,1.3866,2.5477,0.6800
600098.SH,广州发展,主板,火力发电,1997-07-18,广州市人民政府国有资产监督管理委员会,地方国企,广东,广州市,从事能源、基础设施、物流等产业的投资、建设、生产管理和经营业务。,2026-07-31,6.4000,2243753.6000,2243753.6000,9.3390,0.8076,5.4688,0.7402,0.9600
003035.SZ,南网能源,主板,新型电力,2021-01-19,国务院国有资产监督管理委员会,中央国企,广东,广州市,从事节能服务，为客户能源使用提供诊断、设计、改造、综合能源项目投资及运营维护等一站式综合节能服务。,2026-07-31,5.5500,2102272.7340,2102272.7340,61.6997,2.9872,0.5045,0.8381,0.7800
600396.SH,华电辽能,主板,火力发电,2001-03-28,中国华电集团有限公司,中央国企,辽宁,沈阳市,主要从事电力、热力的生产与销售,2026-07-31,14.1000,2076516.5880,2076516.5880,512.0849,13.5289,,16.2439,0.7900
000875.SZ,电投绿能,主板,火力发电,2002-09-26,国家电力投资集团有限公司,中央国企,吉林,长春市,火电、水电、供热、工业供气、运输服务、电力项目科技咨询、新能源的开发、投资、建设、生产与销售;电站检修及服务业;煤炭的采购与销售;生产、销售脱硫剂、脱硫石膏、节能产品、脱硝催化剂;粉煤灰综合利用开发(由分支机构凭许可证经营) ;碳化硅冶炼、加工制造及销售;分布式能源以及气电的开发、投资、建设、生产与销售;煤炭的采购与销售;计算机信息系统集成;电力设施承试四级(法律、法规和国务院决定禁止的不得经营:许可经营项目凭有效许可证或批准文件经营;一般经营项目可自主选择经营) 。,2026-07-31,5.4500,1976862.5315,1821596.7730,119.1833,1.1248,1.0459,1.6919,0.9600
001896.SZ,豫能控股,主板,火力发电,1998-01-22,河南省财政厅,地方国企,河南,郑州市,"主要从事火电项目的投资管理,同时涉足新能源项目投资建设、煤炭物流、环境保护和发电机组检修等业务。",2026-07-31,12.0200,1833989.1226,1833989.1226,48.8609,5.1470,,5.5685,0.7800
000543.SZ,皖能电力,主板,火力发电,1993-12-20,安徽省国有资产监督管理委员会,地方国企,安徽,合肥市,电力、节能、及相关项目投资经营,2026-07-31,7.9800,1808956.9134,1808956.9134,8.4146,1.0303,4.7494,1.1002,0.8000
000591.SZ,太阳能,主板,新型电力,1996-02-08,国务院国有资产监督管理委员会,中央国企,重庆,重庆市,太阳能光伏电站的投资运营和太阳能电池及组件的生产销售。,2026-07-31,4.5300,1768898.3637,1768238.3880,24.6651,0.7364,1.6843,1.1518,0.9500
600032.SH,浙江新能,主板,新型电力,2021-05-25,浙江省人民政府国有资产监督管理委员会,地方国企,浙江,杭州市,实业投资，风力发电、水力发电、太阳能发电的开发、运营，工程项目管理，天然水收集和分配，可再生能源技术的技术开发、技术咨询、技术服务，设备维修，检测技术服务（凭许可证服务）、供水服务，供电服务（凭许可证经营）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,2026-07-31,7.3400,1765031.6702,1765031.6702,39.1882,1.3734,0.8719,1.1868,0.7500
000537.SZ,绿发电力,主板,新型电力,1993-12-10,国务院国有资产监督管理委员会,中央国企,天津,天津市,风能、太阳能投资、开发、运营,2026-07-31,7.7600,1595237.0904,1595237.0904,25.1041,0.8015,2.1294,1.4586,1.3000
000600.SZ,建投能源,主板,火力发电,1996-06-06,河北省政府国有资产监督管理委员会,地方国企,河北,石家庄市,投资建设、经营管理以电力生产为主的能源项目。,2026-07-31,8.5400,1539962.1776,930903.4686,7.5704,1.2341,3.7471,2.5516,0.7700
600475.SH,华光环能,主板,电气设备,2003-07-21,无锡市国有资产监督管理委员会,地方国企,江苏,无锡市,电站锅炉、工业锅炉、锅炉辅机、水处理设备、压力容器的制造、销售。,2026-07-31,16.0000,1529545.1200,1508617.1200,40.8260,1.7662,2.1646,3.6432,2.9000
600452.SH,涪陵电力,主板,水力发电,2004-03-03,国务院国有资产监督管理委员会,中央国企,重庆,重庆市,电力供应与销售。,2026-07-31,9.8300,1510420.4911,1510420.4911,34.9851,2.6287,1.0478,1.8396,0.8500
002310.SZ,东方新能,主板,新型电力,2009-11-27,北京市朝阳区人民政府国有资产监督管理委员会,地方国企,北京,北京市,园林环境景观设计和园林绿化工程建设。,2026-07-31,2.4900,1493831.2278,1095353.3655,,6.2353,,4.1323,0.5700
000966.SZ,长源电力,主板,火力发电,2000-03-16,国务院国有资产监督管理委员会,中央国企,湖北,武汉市,电力、热力生产和销售,2026-07-31,4.2800,1489882.9800,1489882.9800,132.9560,1.1073,,1.1328,0.6500
600226.SH,亨通股份,主板,供气供热,1999-11-16,"崔根良,崔巍",,浙江,湖州市,"公司属化学原料及化学制品制造业,主要从事兽药、农药原料药及制成品、相关饲料添加剂的生产经营,网络游戏的研发、代理发行及IP与源代码合作",2026-07-31,5.0000,1487190.6000,1487190.6000,73.3911,4.0130,,5.3308,1.2500
600744.SH,华银电力,主板,火力发电,1996-09-05,国务院国有资产监督管理委员会,中央国企,湖南,长沙市,电力生产及销售。,2026-07-31,6.9300,1407569.1399,1407569.1399,97.5247,10.9196,,8.6630,0.5700
601619.SH,嘉泽新能,主板,新型电力,2017-07-20,陈波,自然人,宁夏,吴忠市,新能源电力的开发、投资、建设、经营和管理,2026-07-31,4.6300,1348643.7625,1127289.2037,22.2563,1.6928,1.7265,1.3615,0.6100
601778.SH,晶科科技,主板,新型电力,2020-05-19,"李仙德,陈康平,李仙华",自然人,江西,上饶市,为光伏电站运营、光伏电站转让和光伏电站EPC等，涉及太阳能光伏电站的开发、投资、建设、运营和管理、转让等环节，以及光伏电站EPC工程总承包、电站运营综合服务解决方案等。,2026-07-31,3.6000,1340296.0200,1340296.0200,56.8162,0.8531,0.7734,3.8784,1.0300
600167.SH,联美控股,主板,供气供热,1999-01-28,"苏冠荣,苏壮奇,苏武雄,苏壮强,苏素玉",,辽宁,沈阳市,供热、供水、房屋租赁、市政建设、工程施工、物业管理。,2026-07-31,5.8500,1323761.6925,1323761.6925,22.0413,1.1055,2.5207,0.3747,0.9900
600116.SH,三峡水利,主板,水力发电,1997-08-04,国务院国有资产监督管理委员会,中央国企,重庆,重庆市,发电、供电、电力工程勘察设计安装。,2026-07-31,6.6500,1271575.0285,1271575.0285,26.9075,1.1218,1.8611,1.0282,0.8000
600821.SH,金开新能,主板,新型电力,1994-01-28,天津市国有资产监督管理委员会,地方国企,天津,天津市,新能源电站项目的开发、投资、建设及运营。,2026-07-31,6.4400,1266957.3000,1266957.3000,,1.4053,1.5528,4.9394,0.8800
002617.SZ,露笑科技,主板,电气设备,2011-09-20,"鲁小均,李伯英",自然人,浙江,绍兴市,电磁线产品的设计、研发、生产及销售。,2026-07-31,6.1100,1166505.2529,1147226.9198,63.0942,1.8111,,6.1846,1.4000
