ts_code,date,open,high,low,close,partition_date
000001.SH,2010-01-04,3289.75,3295.279,3243.319,3243.76,2010-01-04
000001.SH,2010-01-05,3254.468,3290.512,3221.462,3282.179,2010-01-05
000001.SH,2010-01-06,3277.517,3295.868,3253.044,3254.215,2010-01-06
000001.SH,2010-01-07,3253.991,3268.819,3176.707,3192.776,2010-01-07
000001.SH,2010-01-08,3177.259,3198.92,3149.017,3195.997,2010-01-08
000001.SH,2010-01-11,3301.611,3306.751,3197.328,3212.75,2010-01-11
000001.SH,2010-01-12,3205.705,3275.202,3180.085,3273.966,2010-01-12
000001.SH,2010-01-13,3204.976,3232.818,3165.485,3172.658,2010-01-13
000001.SH,2010-01-14,3183.381,3219.016,3165.596,3215.55,2010-01-14
000001.SH,2010-01-15,3217.19,3241.815,3197.221,3224.152,2010-01-15
000001.SH,2010-01-18,3213.637,3238.242,3202.207,3237.098,2010-01-18
000001.SH,2010-01-19,3242.216,3268.806,3236.839,3246.874,2010-01-19
000001.SH,2010-01-20,3252.037,3255.128,3148.334,3151.85,2010-01-20
000001.SH,2010-01-21,3154.189,3176.147,3126.902,3158.863,2010-01-21
000001.SH,2010-01-22,3118.724,3147.829,3062.629,3128.588,2010-01-22
000001.SH,2010-01-25,3103.32,3136.999,3092.926,3094.411,2010-01-25
000001.SH,2010-01-26,3094.848,3107.198,3001.956,3019.394,2010-01-26
000001.SH,2010-01-27,3020.54,3028.647,2972.627,2986.607,2010-01-27
000001.SH,2010-01-28,2985.214,3006.039,2963.891,2994.143,2010-01-28
000001.SH,2010-01-29,2979.743,3024.848,2968.453,2989.292,2010-01-29
000001.SH,2010-02-01,2981.374,2981.374,2912.887,2941.36,2010-02-01
000001.SH,2010-02-02,2955.753,2990.748,2930.559,2934.713,2010-02-02
000001.SH,2010-02-03,2945.034,3005.131,2890.021,3003.835,2010-02-03
000001.SH,2010-02-04,2983.05,3015.126,2968.68,2995.308,2010-02-04
000001.SH,2010-02-05,2936.197,2959.233,2918.909,2939.402,2010-02-05
000001.SH,2010-02-08,2936.452,2954.266,2922.187,2935.174,2010-02-08
000001.SH,2010-02-09,2932.09,2957.474,2929.21,2948.842,2010-02-09
000001.SH,2010-02-10,2967.138,2983.179,2958.217,2982.5,2010-02-10
000001.SH,2010-02-11,2985.082,3001.636,2976.079,2985.499,2010-02-11
000001.SH,2010-02-12,2996.088,3018.858,2993.437,3018.133,2010-02-12
000001.SH,2010-02-22,3016.703,3026.659,3002.811,3003.398,2010-02-22
000001.SH,2010-02-23,2998.907,2998.907,2938.753,2982.575,2010-02-23
000001.SH,2010-02-24,2964.984,3023.739,2955.069,3022.177,2010-02-24
000001.SH,2010-02-25,3026.656,3063.004,3022.373,3060.618,2010-02-25
000001.SH,2010-02-26,3053.498,3067.525,3041.689,3051.943,2010-02-26
000001.SH,2010-03-01,3057.006,3093.095,3054.554,3087.842,2010-03-01
000001.SH,2010-03-02,3089.706,3095.992,3060.956,3073.108,2010-03-02
000001.SH,2010-03-03,3074.099,3098.456,3061.467,3097.005,2010-03-03
000001.SH,2010-03-04,3098.069,3102.398,3016.215,3023.373,2010-03-04
000001.SH,2010-03-05,3026.639,3044.165,3011.088,3031.065,2010-03-05
000001.SH,2010-03-08,3036.415,3058.832,3030.905,3053.232,2010-03-08
000001.SH,2010-03-09,3053.26,3084.85,3028.69,3069.141,2010-03-09
000001.SH,2010-03-10,3067.15,3085.994,3034.739,3048.927,2010-03-10
000001.SH,2010-03-11,3050.644,3070.935,3025.309,3051.282,2010-03-11
000001.SH,2010-03-12,3051.474,3057.519,3011.972,3013.412,2010-03-12
000001.SH,2010-03-15,3010.722,3013.517,2963.494,2976.939,2010-03-15
000001.SH,2010-03-16,2974.487,2993.843,2963.438,2992.841,2010-03-16
000001.SH,2010-03-17,2999.815,3050.757,2994.893,3050.479,2010-03-17
000001.SH,2010-03-18,3053.158,3063.586,3035.019,3046.089,2010-03-18
000001.SH,2010-03-19,3046.749,3069.662,3031.023,3067.75,2010-03-19
000001.SH,2010-03-22,3069.66,3083.345,3061.759,3074.576,2010-03-22
000001.SH,2010-03-23,3076.957,3082.965,3051.211,3053.125,2010-03-23
000001.SH,2010-03-24,3058.928,3076.749,3052.213,3056.808,2010-03-24
000001.SH,2010-03-25,3051.356,3051.356,3012.308,3019.176,2010-03-25
000001.SH,2010-03-26,3017.215,3067.707,3009.905,3059.715,2010-03-26
000001.SH,2010-03-29,3076.048,3130.279,3071.69,3123.798,2010-03-29
000001.SH,2010-03-30,3123.832,3132.576,3113.767,3128.468,2010-03-30
000001.SH,2010-03-31,3129.574,3130.112,3101.756,3109.105,2010-03-31
000001.SH,2010-04-01,3111.935,3148.344,3111.935,3147.416,2010-04-01
000001.SH,2010-04-02,3154.77,3159.598,3141.866,3157.957,2010-04-02
000001.SH,2010-04-06,3170.612,3177.968,3141.93,3158.681,2010-04-06
000001.SH,2010-04-07,3156.314,3161.081,3132.236,3148.222,2010-04-07
000001.SH,2010-04-08,3143.451,3143.827,3110.256,3118.709,2010-04-08
000001.SH,2010-04-09,3118.926,3146.459,3114.788,3145.347,2010-04-09
000001.SH,2010-04-12,3151.888,3156.211,3111.899,3129.263,2010-04-12
000001.SH,2010-04-13,3129.692,3173.634,3101.483,3161.251,2010-04-13
000001.SH,2010-04-14,3161.551,3167.658,3145.555,3166.183,2010-04-14
000001.SH,2010-04-15,3168.139,3181.663,3135.99,3164.966,2010-04-15
000001.SH,2010-04-16,3159.672,3159.672,3121.366,3130.302,2010-04-16
000001.SH,2010-04-19,3096.785,3096.785,2977.774,2980.297,2010-04-19
000001.SH,2010-04-20,2980.081,2998.913,2941.35,2979.533,2010-04-20
000001.SH,2010-04-21,2984.618,3034.327,2972.096,3033.278,2010-04-21
000001.SH,2010-04-22,3021.289,3023.641,2978.457,2999.484,2010-04-22
000001.SH,2010-04-23,2995.568,3015.633,2966.785,2983.537,2010-04-23
000001.SH,2010-04-26,2988.077,2996.828,2965.832,2969.503,2010-04-26
000001.SH,2010-04-27,2962.145,2962.145,2866.342,2907.928,2010-04-27
000001.SH,2010-04-28,2883.167,2916.676,2865.469,2900.331,2010-04-28
000001.SH,2010-04-29,2912.196,2928.93,2867.938,2868.432,2010-04-29
000001.SH,2010-04-30,2867.649,2875.806,2820.949,2870.611,2010-04-30
000001.SH,2010-05-04,2821.354,2862.555,2809.132,2835.277,2010-05-04
000001.SH,2010-05-05,2804.514,2857.293,2770.328,2857.151,2010-05-05
000001.SH,2010-05-06,2838.951,2838.951,2734.999,2739.702,2010-05-06
000001.SH,2010-05-07,2685.992,2732.183,2665.812,2688.383,2010-05-07
000001.SH,2010-05-10,2690.859,2713.061,2646.589,2698.757,2010-05-10
000001.SH,2010-05-11,2745.604,2751.07,2638.533,2647.574,2010-05-11
000001.SH,2010-05-12,2628.019,2668.118,2604.198,2655.714,2010-05-12
000001.SH,2010-05-13,2653.579,2711.066,2646.896,2710.507,2010-05-13
000001.SH,2010-05-14,2692.096,2712.863,2677.19,2696.629,2010-05-14
000001.SH,2010-05-17,2663.882,2663.882,2557.239,2559.931,2010-05-17
000001.SH,2010-05-18,2555.141,2603.32,2529.625,2594.783,2010-05-18
000001.SH,2010-05-19,2581.63,2623.959,2554.984,2587.807,2010-05-19
000001.SH,2010-05-20,2571.54,2609.639,2551.452,2555.94,2010-05-20
000001.SH,2010-05-21,2492.575,2584.452,2481.974,2583.522,2010-05-21
000001.SH,2010-05-24,2596.318,2680.493,2596.318,2673.423,2010-05-24
000001.SH,2010-05-25,2654.359,2659.74,2609.086,2622.63,2010-05-25
000001.SH,2010-05-26,2620.853,2644.941,2610.51,2625.793,2010-05-26
000001.SH,2010-05-27,2615.105,2662.081,2583.548,2655.918,2010-05-27
000001.SH,2010-05-28,2680.403,2686.542,2641.405,2655.767,2010-05-28
000001.SH,2010-05-31,2647.868,2665.39,2591.535,2592.147,2010-05-31
000001.SH,2010-06-01,2577.763,2598.897,2534.267,2568.283,2010-06-01
000001.SH,2010-06-02,2548.542,2572.343,2521.057,2571.423,2010-06-02
000001.SH,2010-06-03,2575.77,2596.137,2551.529,2552.656,2010-06-03
000001.SH,2010-06-04,2536.231,2556.969,2527.873,2553.593,2010-06-04
000001.SH,2010-06-07,2508.329,2527.104,2491.661,2511.729,2010-06-07
000001.SH,2010-06-08,2510.084,2531.882,2491.647,2513.947,2010-06-08
000001.SH,2010-06-09,2523.879,2589.473,2501.118,2583.87,2010-06-09
000001.SH,2010-06-10,2561.549,2581.047,2554.787,2562.58,2010-06-10
000001.SH,2010-06-11,2574.899,2590.979,2566.616,2569.942,2010-06-11
000001.SH,2010-06-17,2588.965,2595.509,2559.723,2560.245,2010-06-17
000001.SH,2010-06-18,2556.602,2568.861,2505.327,2513.222,2010-06-18
000001.SH,2010-06-21,2517.292,2587.34,2504.315,2586.21,2010-06-21
