probe_scope,request_idx_type,ts_code,trade_date,close,open,high,low,change,pct_change,vol,amount,swing,turnover_rate,category
explicit_idx_type,行业板块,BK0420.DC,20250102,4878.12,5031.6,5042.68,4842.34,-164.08,-3.25,9401692.0,4996257384.0,3.97,0.88,行业板块
explicit_idx_type,行业板块,BK0421.DC,20250102,8687.38,8888.51,8992.08,8620.54,-188.31,-2.12,8146270.0,5662745744.0,4.19,0.63,行业板块
explicit_idx_type,行业板块,BK0422.DC,20250102,6124.73,6247.86,6300.26,6079.65,-133.96,-2.14,15813915.0,11322220506.0,3.52,2.98,行业板块
explicit_idx_type,行业板块,BK0424.DC,20250102,23018.07,23361.76,23681.5,22874.99,-408.85,-1.75,8731117.0,4100428422.0,3.44,2.4,行业板块
explicit_idx_type,行业板块,BK0425.DC,20250102,20982.77,21419.98,21631.4,20847.12,-459.76,-2.14,26753567.0,15303925166.0,3.66,1.17,行业板块
explicit_idx_type,行业板块,BK0427.DC,20250102,7891.74,8065.43,8138.78,7836.73,-189.92,-2.35,3811341.0,2341614309.0,3.74,0.08,行业板块
explicit_idx_type,行业板块,BK0428.DC,20250102,15306.55,15729.09,15761.35,15212.98,-430.74,-2.74,40084378.0,21594424912.0,3.48,0.95,行业板块
explicit_idx_type,行业板块,BK0429.DC,20250102,8713.85,8878.34,8979.61,8640.23,-170.99,-1.92,8039730.0,9138064505.0,3.82,1.44,行业板块
explicit_idx_type,行业板块,BK0433.DC,20250102,12653.18,12710.2,13029.9,12559.43,-74.32,-0.58,22853888.0,14485356330.0,3.7,2.33,行业板块
explicit_idx_type,行业板块,BK0436.DC,20250102,10316.73,10273.55,10618.17,10242.86,34.25,0.33,18221353.0,12785402950.0,3.65,2.55,行业板块
explicit_idx_type,行业板块,BK0437.DC,20250102,10499.59,10820.37,10850.99,10442.0,-335.45,-3.1,13524490.0,9701897564.0,3.77,1.29,行业板块
explicit_idx_type,行业板块,BK0438.DC,20250102,25694.4,25284.08,26324.1,25284.08,415.8,1.64,25210956.0,26345956261.0,4.11,2.7,行业板块
explicit_idx_type,行业板块,BK0440.DC,20250102,37723.67,37534.24,38701.22,37390.74,62.19,0.17,3978570.0,4628207643.0,3.48,1.42,行业板块
explicit_idx_type,行业板块,BK0447.DC,20250102,22192.58,22581.69,22936.98,21951.45,-450.02,-1.99,58029775.0,82529677259.0,4.35,5.62,行业板块
explicit_idx_type,行业板块,BK0448.DC,20250102,12486.7,12750.85,12907.06,12348.03,-287.83,-2.25,26860169.0,62631982475.0,4.38,5.72,行业板块
explicit_idx_type,行业板块,BK0450.DC,20250102,9602.9,9850.61,9915.42,9542.69,-260.6,-2.64,13670287.0,8227151207.0,3.78,0.86,行业板块
explicit_idx_type,行业板块,BK0451.DC,20250102,12405.74,12553.23,12774.07,12318.93,-122.74,-0.98,34492167.0,16267876877.0,3.63,1.78,行业板块
explicit_idx_type,行业板块,BK0454.DC,20250102,11462.32,11634.56,11807.31,11356.49,-182.77,-1.57,9241499.0,8756483689.0,3.87,3.12,行业板块
explicit_idx_type,行业板块,BK0456.DC,20250102,19191.1,19284.32,19743.46,19021.88,-110.18,-0.57,20362457.0,27326731971.0,3.74,2.53,行业板块
explicit_idx_type,行业板块,BK0457.DC,20250102,23794.13,24284.12,24532.68,23576.49,-568.55,-2.33,28009521.0,25762862046.0,3.92,3.1,行业板块
explicit_idx_type,行业板块,BK0458.DC,20250102,13342.76,13548.96,13766.17,13191.54,-216.09,-1.59,6249083.0,9710506266.0,4.24,4.42,行业板块
explicit_idx_type,行业板块,BK0459.DC,20250102,20994.31,21533.37,21725.32,20775.46,-548.22,-2.54,18027753.0,37297224010.0,4.41,5.09,行业板块
explicit_idx_type,行业板块,BK0464.DC,20250102,5302.63,5362.8,5435.66,5271.84,-80.43,-1.49,8875562.0,6827648312.0,3.04,0.24,行业板块
explicit_idx_type,行业板块,BK0465.DC,20250102,26901.6,27404.64,27606.11,26717.22,-487.93,-1.78,18171785.0,21126476084.0,3.25,1.8,行业板块
explicit_idx_type,行业板块,BK0470.DC,20250102,8666.16,8696.57,8894.82,8595.78,-59.39,-0.68,10476858.0,6802137724.0,3.43,3.33,行业板块
explicit_idx_type,行业板块,BK0471.DC,20250102,12695.96,12932.13,13051.26,12593.69,-252.51,-1.95,6842434.0,4794624003.0,3.53,2.53,行业板块
explicit_idx_type,行业板块,BK0473.DC,20250102,138617.03,145122.81,145122.86,137265.94,-7013.27,-4.82,44119372.0,45500129709.0,5.4,1.66,行业板块
explicit_idx_type,行业板块,BK0474.DC,20250102,1402.06,1475.88,1478.13,1389.37,-75.64,-5.12,4796288.0,10060057430.0,6.01,0.63,行业板块
explicit_idx_type,行业板块,BK0475.DC,20250102,3673.4,3777.47,3799.45,3658.03,-97.32,-2.58,52958342.0,35710145422.0,3.75,0.4,行业板块
explicit_idx_type,行业板块,BK0476.DC,20250102,11797.76,11850.44,12107.58,11713.35,-61.76,-0.52,9663448.0,7857214321.0,3.32,4.61,行业板块
explicit_idx_type,行业板块,BK0477.DC,20250102,50984.55,51546.85,52059.52,50646.57,-856.85,-1.65,4658428.0,23366355512.0,2.73,1.52,行业板块
explicit_idx_type,行业板块,BK0478.DC,20250102,15095.5,15267.81,15521.58,14980.43,-198.2,-1.3,28964211.0,20055657346.0,3.54,1.28,行业板块
explicit_idx_type,行业板块,BK0479.DC,20250102,6779.24,6914.44,6961.16,6731.48,-139.01,-2.01,21437307.0,7720191497.0,3.32,1.08,行业板块
explicit_idx_type,行业板块,BK0480.DC,20250102,40766.81,42505.14,42530.47,40431.49,-1931.13,-4.52,6812145.0,16055475116.0,4.92,1.82,行业板块
explicit_idx_type,行业板块,BK0481.DC,20250102,32042.03,32618.08,33091.11,31752.84,-599.21,-1.84,28104392.0,35615246198.0,4.1,2.02,行业板块
explicit_idx_type,行业板块,BK0482.DC,20250102,18393.99,17581.99,18713.47,17581.99,710.2,4.02,55673325.0,38641672489.0,6.4,6.38,行业板块
explicit_idx_type,行业板块,BK0484.DC,20250102,9201.72,9223.36,9451.63,9116.59,-44.34,-0.48,13475940.0,10645604844.0,3.62,7.08,行业板块
explicit_idx_type,行业板块,BK0485.DC,20250102,14801.11,14651.53,15132.7,14651.53,172.72,1.18,9295317.0,9766120170.0,3.29,4.26,行业板块
explicit_idx_type,行业板块,BK0486.DC,20250102,9480.92,9551.48,9742.86,9389.71,-64.26,-0.67,33098854.0,29674621043.0,3.7,2.28,行业板块
explicit_idx_type,行业板块,BK0538.DC,20250102,21505.01,21936.54,22145.55,21315.75,-415.08,-1.89,17020783.0,19467957969.0,3.79,2.01,行业板块
explicit_idx_type,行业板块,BK0539.DC,20250102,9633.68,9755.91,9909.63,9555.11,-131.9,-1.35,4522778.0,4459066430.0,3.63,2.31,行业板块
explicit_idx_type,行业板块,BK0545.DC,20250102,29139.29,29588.5,30053.86,28860.41,-499.62,-1.69,29852589.0,33909783552.0,4.03,3.46,行业板块
explicit_idx_type,行业板块,BK0546.DC,20250102,32702.65,33430.44,33719.79,32450.69,-757.79,-2.26,3336408.0,3054796513.0,3.79,1.65,行业板块
explicit_idx_type,行业板块,BK0725.DC,20250102,481.36,484.37,493.2,476.52,-5.79,-1.19,4937266.0,3132360487.0,3.42,2.76,行业板块
explicit_idx_type,行业板块,BK0726.DC,20250102,681.79,697.04,704.64,675.24,-15.94,-2.28,3178942.0,4278093544.0,4.21,2.2,行业板块
explicit_idx_type,行业板块,BK0727.DC,20250102,921.82,934.52,947.88,915.04,-12.17,-1.3,7165433.0,9676466944.0,3.52,1.86,行业板块
explicit_idx_type,行业板块,BK0728.DC,20250102,381.35,387.63,394.38,378.55,-6.92,-1.78,20782562.0,11698489782.0,4.08,2.25,行业板块
explicit_idx_type,行业板块,BK0729.DC,20250102,771.32,797.42,798.71,764.51,-28.79,-3.6,4047474.0,4583234622.0,4.27,2.61,行业板块
explicit_idx_type,行业板块,BK0730.DC,20250102,911.49,924.77,939.05,905.39,-11.86,-1.28,4424919.0,3478567720.0,3.65,1.7,行业板块
explicit_idx_type,行业板块,BK0731.DC,20250102,1273.38,1292.93,1308.49,1263.53,-19.62,-1.52,5798388.0,5768236919.0,3.48,0.93,行业板块
