group_id,scope,identity_fields,identity_key,ts_code,trade_date,category,row_count,category_values,request_idx_type_values,differing_business_fields
explicit_idx_type-000001,explicit_idx_type,"ts_code,trade_date",BK0425.DC|20250102,BK0425.DC,20250102,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000002,explicit_idx_type,"ts_code,trade_date",BK0425.DC|20250103,BK0425.DC,20250103,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000003,explicit_idx_type,"ts_code,trade_date",BK0425.DC|20250106,BK0425.DC,20250106,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000004,explicit_idx_type,"ts_code,trade_date",BK0425.DC|20250107,BK0425.DC,20250107,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000005,explicit_idx_type,"ts_code,trade_date",BK0425.DC|20250108,BK0425.DC,20250108,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000006,explicit_idx_type,"ts_code,trade_date",BK0425.DC|20250109,BK0425.DC,20250109,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000007,explicit_idx_type,"ts_code,trade_date",BK0425.DC|20250110,BK0425.DC,20250110,,2,概念板块 | 行业板块,概念板块 | 行业板块,
explicit_idx_type-000008,explicit_idx_type,"ts_code,trade_date",BK0425.DC|20250113,BK0425.DC,20250113,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000009,explicit_idx_type,"ts_code,trade_date",BK0425.DC|20250114,BK0425.DC,20250114,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000010,explicit_idx_type,"ts_code,trade_date",BK0425.DC|20250115,BK0425.DC,20250115,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000011,explicit_idx_type,"ts_code,trade_date",BK0425.DC|20250116,BK0425.DC,20250116,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000012,explicit_idx_type,"ts_code,trade_date",BK0425.DC|20250117,BK0425.DC,20250117,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000013,explicit_idx_type,"ts_code,trade_date",BK0425.DC|20250120,BK0425.DC,20250120,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000014,explicit_idx_type,"ts_code,trade_date",BK0425.DC|20250121,BK0425.DC,20250121,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000015,explicit_idx_type,"ts_code,trade_date",BK0425.DC|20250122,BK0425.DC,20250122,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000016,explicit_idx_type,"ts_code,trade_date",BK0425.DC|20250123,BK0425.DC,20250123,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000017,explicit_idx_type,"ts_code,trade_date",BK0425.DC|20250124,BK0425.DC,20250124,,2,概念板块 | 行业板块,概念板块 | 行业板块,vol
explicit_idx_type-000018,explicit_idx_type,"ts_code,trade_date",BK0425.DC|20250127,BK0425.DC,20250127,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000019,explicit_idx_type,"ts_code,trade_date",BK0429.DC|20250102,BK0429.DC,20250102,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000020,explicit_idx_type,"ts_code,trade_date",BK0429.DC|20250103,BK0429.DC,20250103,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000021,explicit_idx_type,"ts_code,trade_date",BK0429.DC|20250106,BK0429.DC,20250106,,2,概念板块 | 行业板块,概念板块 | 行业板块,vol
explicit_idx_type-000022,explicit_idx_type,"ts_code,trade_date",BK0429.DC|20250107,BK0429.DC,20250107,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000023,explicit_idx_type,"ts_code,trade_date",BK0429.DC|20250108,BK0429.DC,20250108,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000024,explicit_idx_type,"ts_code,trade_date",BK0429.DC|20250109,BK0429.DC,20250109,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000025,explicit_idx_type,"ts_code,trade_date",BK0429.DC|20250110,BK0429.DC,20250110,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000026,explicit_idx_type,"ts_code,trade_date",BK0429.DC|20250113,BK0429.DC,20250113,,2,概念板块 | 行业板块,概念板块 | 行业板块,vol
explicit_idx_type-000027,explicit_idx_type,"ts_code,trade_date",BK0429.DC|20250114,BK0429.DC,20250114,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000028,explicit_idx_type,"ts_code,trade_date",BK0429.DC|20250115,BK0429.DC,20250115,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000029,explicit_idx_type,"ts_code,trade_date",BK0429.DC|20250116,BK0429.DC,20250116,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000030,explicit_idx_type,"ts_code,trade_date",BK0429.DC|20250117,BK0429.DC,20250117,,2,概念板块 | 行业板块,概念板块 | 行业板块,
explicit_idx_type-000031,explicit_idx_type,"ts_code,trade_date",BK0429.DC|20250120,BK0429.DC,20250120,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
explicit_idx_type-000032,explicit_idx_type,"ts_code,trade_date",BK0429.DC|20250121,BK0429.DC,20250121,,2,概念板块 | 行业板块,概念板块 | 行业板块,turnover_rate
explicit_idx_type-000033,explicit_idx_type,"ts_code,trade_date",BK0429.DC|20250122,BK0429.DC,20250122,,2,概念板块 | 行业板块,概念板块 | 行业板块,vol
explicit_idx_type-000034,explicit_idx_type,"ts_code,trade_date",BK0429.DC|20250123,BK0429.DC,20250123,,2,概念板块 | 行业板块,概念板块 | 行业板块,"vol,turnover_rate"
