group_id,row_index,probe_scope,request_idx_type,ts_code,trade_date,close,open,high,low,change,pct_change,vol,amount,swing,turnover_rate,category
explicit_idx_type-000001,1,explicit_idx_type,行业板块,BK0425.DC,20250102,20982.77,21419.98,21631.4,20847.12,-459.76,-2.14,26753567.0,15303925166.0,3.66,1.17,行业板块
explicit_idx_type-000001,2,explicit_idx_type,概念板块,BK0425.DC,20250102,20982.77,21419.98,21631.4,20847.12,-459.76,-2.14,26753567.0,15303925166.0,3.66,1.15,概念板块
explicit_idx_type-000002,1,explicit_idx_type,行业板块,BK0425.DC,20250103,20251.99,21052.11,21095.43,20217.1,-730.78,-3.48,20852833.0,11423498827.0,4.19,0.91,行业板块
explicit_idx_type-000002,2,explicit_idx_type,概念板块,BK0425.DC,20250103,20251.99,21052.11,21095.43,20217.1,-730.78,-3.48,20852832.0,11423498827.0,4.19,0.9,概念板块
explicit_idx_type-000003,1,explicit_idx_type,行业板块,BK0425.DC,20250106,20262.9,20242.98,20405.57,19882.46,10.91,0.05,16707276.0,8968057379.0,2.58,0.73,行业板块
explicit_idx_type-000003,2,explicit_idx_type,概念板块,BK0425.DC,20250106,20262.9,20242.98,20405.57,19882.46,10.91,0.05,16707275.0,8968057379.0,2.58,0.72,概念板块
explicit_idx_type-000004,1,explicit_idx_type,行业板块,BK0425.DC,20250107,20710.64,20307.09,20710.64,20246.45,447.74,2.21,15618018.0,8545511665.0,2.29,0.68,行业板块
explicit_idx_type-000004,2,explicit_idx_type,概念板块,BK0425.DC,20250107,20710.64,20307.09,20710.64,20246.45,447.74,2.21,15618018.0,8545511665.0,2.29,0.67,概念板块
explicit_idx_type-000005,1,explicit_idx_type,行业板块,BK0425.DC,20250108,20588.66,20710.74,20759.08,20128.5,-121.98,-0.59,19983262.0,10946236404.0,3.04,0.87,行业板块
explicit_idx_type-000005,2,explicit_idx_type,概念板块,BK0425.DC,20250108,20588.66,20710.74,20759.08,20128.5,-121.98,-0.59,19983262.0,10946236404.0,3.04,0.86,概念板块
explicit_idx_type-000006,1,explicit_idx_type,行业板块,BK0425.DC,20250109,20517.91,20484.64,20688.95,20436.26,-70.75,-0.34,13932815.0,7713146384.0,1.23,0.61,行业板块
explicit_idx_type-000006,2,explicit_idx_type,概念板块,BK0425.DC,20250109,20517.91,20484.64,20688.95,20436.26,-70.75,-0.34,13932814.0,7713146384.0,1.23,0.6,概念板块
explicit_idx_type-000007,1,explicit_idx_type,行业板块,BK0425.DC,20250110,19970.65,20473.09,20599.4,19970.65,-547.26,-2.67,14278818.0,7952677040.0,3.06,0.62,行业板块
explicit_idx_type-000007,2,explicit_idx_type,概念板块,BK0425.DC,20250110,19970.65,20473.09,20599.4,19970.65,-547.26,-2.67,14278818.0,7952677040.0,3.06,0.62,概念板块
explicit_idx_type-000008,1,explicit_idx_type,行业板块,BK0425.DC,20250113,19941.12,19748.6,20042.33,19558.3,-29.53,-0.15,12991899.0,6663177266.0,2.42,0.57,行业板块
explicit_idx_type-000008,2,explicit_idx_type,概念板块,BK0425.DC,20250113,19941.12,19748.6,20042.33,19558.3,-29.53,-0.15,12991898.0,6663177266.0,2.42,0.56,概念板块
explicit_idx_type-000009,1,explicit_idx_type,行业板块,BK0425.DC,20250114,20702.11,20038.68,20702.11,20038.68,760.99,3.82,17622841.0,9513649346.0,3.33,0.77,行业板块
explicit_idx_type-000009,2,explicit_idx_type,概念板块,BK0425.DC,20250114,20702.11,20038.68,20702.11,20038.68,760.99,3.82,17622840.0,9513649346.0,3.33,0.76,概念板块
explicit_idx_type-000010,1,explicit_idx_type,行业板块,BK0425.DC,20250115,20641.92,20731.54,20810.96,20561.27,-60.19,-0.29,14705911.0,7869549527.0,1.21,0.64,行业板块
explicit_idx_type-000010,2,explicit_idx_type,概念板块,BK0425.DC,20250115,20641.92,20731.54,20810.96,20561.27,-60.19,-0.29,14705911.0,7869549527.0,1.21,0.63,概念板块
explicit_idx_type-000011,1,explicit_idx_type,行业板块,BK0425.DC,20250116,20756.75,20686.63,21021.24,20554.42,114.83,0.56,15549305.0,8410191438.0,2.26,0.68,行业板块
explicit_idx_type-000011,2,explicit_idx_type,概念板块,BK0425.DC,20250116,20756.75,20686.63,21021.24,20554.42,114.83,0.56,15549305.0,8410191438.0,2.26,0.67,概念板块
explicit_idx_type-000012,1,explicit_idx_type,行业板块,BK0425.DC,20250117,20798.63,20680.84,20869.47,20563.68,41.88,0.2,13290157.0,7573748120.0,1.47,0.58,行业板块
explicit_idx_type-000012,2,explicit_idx_type,概念板块,BK0425.DC,20250117,20798.63,20680.84,20869.47,20563.68,41.88,0.2,13290157.0,7573748120.0,1.47,0.57,概念板块
explicit_idx_type-000013,1,explicit_idx_type,行业板块,BK0425.DC,20250120,20898.34,20884.23,21015.15,20723.26,99.71,0.48,13704527.0,7975726720.0,1.4,0.6,行业板块
explicit_idx_type-000013,2,explicit_idx_type,概念板块,BK0425.DC,20250120,20898.34,20884.23,21015.15,20723.26,99.71,0.48,13704526.0,7975726720.0,1.4,0.59,概念板块
explicit_idx_type-000014,1,explicit_idx_type,行业板块,BK0425.DC,20250121,20670.74,20945.05,20981.01,20612.49,-227.6,-1.09,14553175.0,9056785761.0,1.76,0.64,行业板块
explicit_idx_type-000014,2,explicit_idx_type,概念板块,BK0425.DC,20250121,20670.74,20945.05,20981.01,20612.49,-227.6,-1.09,14553174.0,9056785761.0,1.76,0.63,概念板块
explicit_idx_type-000015,1,explicit_idx_type,行业板块,BK0425.DC,20250122,20497.68,20602.85,20621.3,20422.0,-173.06,-0.84,12497253.0,7397411647.0,0.96,0.55,行业板块
explicit_idx_type-000015,2,explicit_idx_type,概念板块,BK0425.DC,20250122,20497.68,20602.85,20621.3,20422.0,-173.06,-0.84,12497253.0,7397411647.0,0.96,0.54,概念板块
explicit_idx_type-000016,1,explicit_idx_type,行业板块,BK0425.DC,20250123,20525.53,20693.4,20982.63,20525.53,27.85,0.14,15771188.0,9741425684.0,2.23,0.69,行业板块
explicit_idx_type-000016,2,explicit_idx_type,概念板块,BK0425.DC,20250123,20525.53,20693.4,20982.63,20525.53,27.85,0.14,15771187.0,9741425684.0,2.23,0.68,概念板块
explicit_idx_type-000017,1,explicit_idx_type,行业板块,BK0425.DC,20250124,20624.18,20544.28,20667.64,20409.79,98.65,0.48,13584514.0,8522619401.0,1.26,0.59,行业板块
explicit_idx_type-000017,2,explicit_idx_type,概念板块,BK0425.DC,20250124,20624.18,20544.28,20667.64,20409.79,98.65,0.48,13584513.0,8522619401.0,1.26,0.59,概念板块
explicit_idx_type-000018,1,explicit_idx_type,行业板块,BK0425.DC,20250127,20570.56,20706.94,20938.97,20570.56,-53.62,-0.26,14221210.0,8115977442.0,1.79,0.62,行业板块
explicit_idx_type-000018,2,explicit_idx_type,概念板块,BK0425.DC,20250127,20570.56,20706.94,20938.97,20570.56,-53.62,-0.26,14221210.0,8115977442.0,1.79,0.61,概念板块
explicit_idx_type-000019,1,explicit_idx_type,行业板块,BK0429.DC,20250102,8713.85,8878.34,8979.61,8640.23,-170.99,-1.92,8039730.0,9138064505.0,3.82,1.44,行业板块
explicit_idx_type-000019,2,explicit_idx_type,概念板块,BK0429.DC,20250102,8713.85,8878.34,8979.61,8640.23,-170.99,-1.92,8039729.0,9138064505.0,3.82,1.43,概念板块
explicit_idx_type-000020,1,explicit_idx_type,行业板块,BK0429.DC,20250103,8365.67,8718.2,8731.65,8349.77,-348.18,-4.0,7248929.0,8105994835.0,4.38,1.3,行业板块
explicit_idx_type-000020,2,explicit_idx_type,概念板块,BK0429.DC,20250103,8365.67,8718.2,8731.65,8349.77,-348.18,-4.0,7248928.0,8105994835.0,4.38,1.29,概念板块
explicit_idx_type-000021,1,explicit_idx_type,行业板块,BK0429.DC,20250106,8363.09,8327.22,8460.77,8152.98,-2.58,-0.03,5985255.0,6852092069.0,3.68,1.07,行业板块
explicit_idx_type-000021,2,explicit_idx_type,概念板块,BK0429.DC,20250106,8363.09,8327.22,8460.77,8152.98,-2.58,-0.03,5985254.0,6852092069.0,3.68,1.07,概念板块
explicit_idx_type-000022,1,explicit_idx_type,行业板块,BK0429.DC,20250107,8600.16,8376.06,8602.31,8376.06,237.07,2.83,5847119.0,7331186872.0,2.71,1.05,行业板块
explicit_idx_type-000022,2,explicit_idx_type,概念板块,BK0429.DC,20250107,8600.16,8376.06,8602.31,8376.06,237.07,2.83,5847119.0,7331186872.0,2.71,1.04,概念板块
explicit_idx_type-000023,1,explicit_idx_type,行业板块,BK0429.DC,20250108,8588.54,8568.35,8627.04,8324.0,-11.62,-0.14,6296013.0,7566070773.0,3.52,1.13,行业板块
explicit_idx_type-000023,2,explicit_idx_type,概念板块,BK0429.DC,20250108,8588.54,8568.35,8627.04,8324.0,-11.62,-0.14,6296013.0,7566070773.0,3.52,1.12,概念板块
