rank_by_30d_vol,ts_code,csname,extname,cname,index_code,index_name,setup_date,list_date,list_status,exchange,mgr_name,custod_name,mgt_fee,etf_type,matched_days,first_matched_trade_date,latest_matched_trade_date,vol_30d,amount_30d,avg_vol_30d,latest_close,latest_vol,latest_amount,api_name,fetched_at
1,513130.SH,华泰柏瑞南方东英恒生科技指数ETF(QDII),恒生科技ETF华泰柏瑞,华泰柏瑞南方东英恒生科技指数交易型开放式指数证券投资基金(QDII),HSTECH.HI,恒生科技指数,2021-05-24,2021-06-01,L,SH,华泰柏瑞基金,中国建设银行股份有限公司,0.200000,QDII,30,2026-04-20,2026-06-03,2043849315.5700,127063682.0250,68128310.519000000000,0.6290,61157435.2900,3859339.5730,etf_basic,2026-06-03 21:44:08.972707+08
2,513180.SH,华夏恒生科技ETF(QDII),恒生科技ETF华夏,华夏恒生科技交易型开放式指数证券投资基金(QDII),HSTECH.HI,恒生科技指数,2021-05-18,2021-05-25,L,SH,华夏基金,中国建设银行股份有限公司,0.500000,QDII,30,2026-04-20,2026-06-03,1962212352.0400,124229524.3300,65407078.401333333333,0.6410,54706235.7900,3518701.8770,etf_basic,2026-06-03 21:44:08.972707+08
3,513330.SH,华夏恒生互联网科技业ETF(QDII),恒生互联网ETF华夏,华夏恒生互联网科技业交易型开放式指数证券投资基金(QDII),HSIII.HI,恒生互联网科技业指数,2021-01-26,2021-02-08,L,SH,华夏基金,中国建设银行股份有限公司,0.500000,QDII,30,2026-04-20,2026-06-03,1631226171.9600,68754663.0620,54374205.732000000000,0.4120,58153446.4400,2408873.8200,etf_basic,2026-06-03 21:44:08.972707+08
4,563360.SH,华泰柏瑞中证A500ETF,A500ETF华泰柏瑞,华泰柏瑞中证A500交易型开放式指数证券投资基金,000510.SH,中证A500指数,2024-09-25,2024-10-15,L,SH,华泰柏瑞基金,国泰海通证券股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,1142327233.6800,155421987.5120,38077574.456000000000,1.3780,36435161.0000,5038381.2310,etf_basic,2026-06-03 21:44:08.972707+08
5,159338.SZ,国泰中证A500ETF,中证A500ETF国泰,国泰中证A500交易型开放式指数证券投资基金,000510.SH,中证A500指数,2024-09-26,2024-10-15,L,SZ,国泰基金,华泰证券股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,1119043146.5300,144305500.8367,37301438.217666666667,1.3050,36733002.0400,4811184.2981,etf_basic,2026-06-03 21:44:08.972707+08
6,588000.SH,华夏上证科创板50成份ETF,科创50ETF华夏,华夏上证科创板50成份交易型开放式指数证券投资基金,000688.SH,上证科创板50成份指数,2020-09-28,2020-11-16,L,SH,华夏基金,招商银行股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,1042532738.4300,185041281.0410,34751091.281000000000,1.8230,41060877.2700,7513993.8770,etf_basic,2026-06-03 21:44:08.972707+08
7,513120.SH,广发中证香港创新药(QDII-ETF),港股创新药ETF广发,广发中证香港创新药交易型开放式指数证券投资基金(QDII),931787.CSI,中证香港创新药指数,2022-07-01,2022-07-12,L,SH,广发基金,交通银行股份有限公司,0.500000,QDII,30,2026-04-20,2026-06-03,1015710476.6100,119425384.7670,33857015.887000000000,1.0390,41663541.9100,4378283.5910,etf_basic,2026-06-03 21:44:08.972707+08
8,159352.SZ,南方中证A500ETF,A500ETF南方,南方中证A500交易型开放式指数证券投资基金,000510.SH,中证A500指数,2024-09-25,2024-10-15,L,SZ,南方基金,中国工商银行股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,1005969270.6900,134778548.0499,33532309.023000000000,1.3560,22616134.9600,3075867.8703,etf_basic,2026-06-03 21:44:08.972707+08
9,159792.SZ,富国中证港股通互联网ETF,港股通互联网ETF富国,富国中证港股通互联网交易型开放式指数证券投资基金,931637.CSI,中证港股通互联网指数,2021-09-15,2021-09-28,L,SZ,富国基金,中国银行股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,979989738.5100,64649444.5882,32666324.617000000000,0.6360,38876104.9600,2489470.6752,etf_basic,2026-06-03 21:44:08.972707+08
10,513090.SH,易方达中证香港证券投资主题(港股通)ETF,香港证券ETF易方达,易方达中证香港证券投资主题交易型开放式指数证券投资基金,930709.CSI,中证香港证券投资主题指数,2020-03-13,2020-03-26,L,SH,易方达基金,招商银行股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,880332182.9800,160367829.2710,29344406.099333333333,1.7880,33298614.7000,5958459.1500,etf_basic,2026-06-03 21:44:08.972707+08
