ts_code,csname,trade_date,resource,gap_policy,gap_reason,expected_missing_days,actual_missing_days,avg_amount_yi_yuan
159731.SZ,华夏中证石化产业ETF,2024-12-24,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,1,1,1.012651
159876.SZ,有色龙头ETF,2022-02-14,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,1,1,1.039845
159901.SZ,易方达深证100ETF,2021-03-10,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,1,1,3.699179
159915.SZ,易方达创业板ETF,2021-02-08,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,1,1,55.298014
510100.SH,易方达上证50ETF,2023-02-10,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,1,1,4.644714
510210.SH,上证综指ETF,2021-01-22,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,1,1,7.240474
510580.SH,易方达中证500ETF,2021-07-16,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,1,1,2.325991
512010.SH,易方达沪深300医药ETF,2021-06-25,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,1,1,5.028951
512070.SH,易方达沪深300非银ETF,2021-09-10,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,1,1,5.319279
512100.SH,南方中证1000ETF,2022-09-02,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,1,1,31.036767
512170.SH,华宝中证医疗ETF,2021-02-24,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,1,1,5.307192
512480.SH,国联安半导体ETF,2021-03-26,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,1,1,16.795942
512690.SH,酒ETF,2021-05-14,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,1,1,6.602422
512710.SH,富国中证军工龙头ETF,2021-03-19,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,1,1,3.462202
512760.SH,国泰CES半导体芯片行业ETF,2020-09-09,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,1,1,5.663997
512890.SH,华泰柏瑞中证红利低波动ETF,2021-10-22,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,1,1,8.306200
513100.SH,国泰纳斯达克100(QDII-ETF),2022-01-13,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,1,1,11.669416
513350.SH,富国标普石油天然气勘探及生产精选行业ETF(QDII),2025-01-24,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,1,1,19.073007
513500.SH,博时标普500ETF,2022-03-29,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,1,1,4.953880
560010.SH,广发中证1000ETF,2022-09-13,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,1,1,5.788721
159518.SZ,嘉实标普石油天然气勘探及生产精选行业ETF(QDII),2025-01-16,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,2,2,10.043502
159518.SZ,嘉实标普石油天然气勘探及生产精选行业ETF(QDII),2025-01-24,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,2,2,10.043502
159948.SZ,南方创业板ETF,2023-05-31,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,2,2,1.073866
159948.SZ,南方创业板ETF,2023-10-12,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,2,2,1.073866
159952.SZ,广发创业板ETF,2023-07-18,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,2,2,4.810089
159952.SZ,广发创业板ETF,2023-11-28,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,2,2,4.810089
159687.SZ,南方基金南方东英富时亚太精选ETF(QDII),2025-01-17,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,3,3,15.666678
159687.SZ,南方基金南方东英富时亚太精选ETF(QDII),2025-01-22,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,3,3,15.666678
159687.SZ,南方基金南方东英富时亚太精选ETF(QDII),2025-01-24,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,3,3,15.666678
511270.SH,海富通上证10年期地方政府债ETF,2020-01-07,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,3,3,18.624254
511270.SH,海富通上证10年期地方政府债ETF,2020-08-14,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,3,3,18.624254
511270.SH,海富通上证10年期地方政府债ETF,2021-10-13,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,3,3,18.624254
159529.SZ,景顺长城标普消费精选ETF(QDII),2025-01-10,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,4,4,2.270694
159529.SZ,景顺长城标普消费精选ETF(QDII),2025-01-17,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,4,4,2.270694
159529.SZ,景顺长城标普消费精选ETF(QDII),2025-01-22,fund_daily,accepted_low_gap_liquid,source_no_row_verified_20260617,4,4,2.270694
