trade_date,daily_rows,fund_daily_code_count,matched_basic_count,matched_exchange_basic_count,matched_listed_exchange_basic_count,codes_not_in_etf_basic,etf_basic_total,etf_basic_exchange_total,etf_basic_exchange_listed_total,coverage_of_all_basic_pct,coverage_of_exchange_basic_pct,coverage_of_listed_exchange_basic_pct,fund_daily_count_vs_exchange_basic_pct,total_vol,total_amount
2026-06-03,2003,2003,1541,1541,1541,462,3309,1727,1542,46.57,89.23,99.94,115.98,2000745362.8200,498402350.7340
2026-06-02,2007,2007,1541,1541,1541,466,3309,1727,1542,46.57,89.23,99.94,116.21,2332003582.0800,526655971.7158
2026-06-01,1999,1999,1540,1540,1540,459,3309,1727,1542,46.54,89.17,99.87,115.75,2122954012.4300,510310632.4922
2026-05-29,2011,2011,1538,1538,1538,473,3309,1727,1542,46.48,89.06,99.74,116.44,2363963191.1500,489079342.7063
2026-05-28,2002,2002,1534,1534,1534,468,3309,1727,1542,46.36,88.82,99.48,115.92,1995448915.8100,463853003.2120
2026-05-27,2003,2003,1532,1532,1532,471,3309,1727,1542,46.30,88.71,99.35,115.98,2022170684.0000,483331907.2040
2026-05-26,1996,1996,1532,1532,1532,464,3309,1727,1542,46.30,88.71,99.35,115.58,2121601776.0100,493396210.6060
2026-05-25,1997,1997,1529,1529,1529,468,3309,1727,1542,46.21,88.54,99.16,115.63,1577373139.1700,453250110.4230
2026-05-22,1991,1991,1527,1527,1527,464,3309,1727,1542,46.15,88.42,99.03,115.29,1886964543.2200,507456862.0450
2026-05-21,1996,1996,1525,1525,1525,471,3309,1727,1542,46.09,88.30,98.90,115.58,2310626264.2500,520355846.3290
2026-05-20,1985,1985,1521,1521,1521,464,3309,1727,1542,45.97,88.07,98.64,114.94,1751632166.3200,441288019.6820
2026-05-19,1980,1980,1518,1518,1518,462,3309,1727,1542,45.87,87.90,98.44,114.65,1917662687.1500,473044061.0660
2026-05-18,1977,1977,1518,1518,1518,459,3309,1727,1542,45.87,87.90,98.44,114.48,1884805630.6100,485457458.8390
2026-05-15,1990,1990,1518,1518,1518,472,3309,1727,1542,45.87,87.90,98.44,115.23,2222674920.9400,564037089.6260
2026-05-14,1985,1985,1513,1513,1513,472,3309,1727,1542,45.72,87.61,98.12,114.94,2074779449.8100,495593917.8550
2026-05-13,1979,1979,1510,1510,1510,469,3309,1727,1542,45.63,87.43,97.92,114.59,1775705889.7000,513833908.6440
2026-05-12,1974,1974,1506,1506,1506,468,3309,1727,1542,45.51,87.20,97.67,114.30,1886821859.3300,512443763.5210
2026-05-11,1974,1974,1504,1504,1504,470,3309,1727,1542,45.45,87.09,97.54,114.30,2028842576.6200,619387475.9870
2026-05-08,1971,1971,1503,1503,1503,468,3309,1727,1542,45.42,87.03,97.47,114.13,1605828672.3300,443436189.0010
2026-05-07,1972,1972,1499,1499,1499,473,3309,1727,1542,45.30,86.80,97.21,114.19,1871882813.6800,475698755.4420
2026-05-06,1967,1967,1499,1499,1499,468,3309,1727,1542,45.30,86.80,97.21,113.90,2008642709.0200,478138322.9770
2026-04-30,1965,1965,1498,1498,1497,467,3309,1727,1542,45.27,86.74,97.08,113.78,1769932761.6200,498635444.2450
2026-04-29,1963,1963,1493,1493,1492,470,3309,1727,1542,45.12,86.45,96.76,113.67,1593256417.4300,509052714.6130
2026-04-28,1960,1960,1494,1494,1493,466,3309,1727,1542,45.15,86.51,96.82,113.49,1682106939.7000,480886644.3680
2026-04-27,1951,1951,1490,1490,1489,461,3309,1727,1542,45.03,86.28,96.56,112.97,1517080006.5700,428910182.5280
2026-04-24,1948,1948,1488,1488,1487,460,3309,1727,1542,44.97,86.16,96.43,112.80,1823612203.4200,519630252.6220
2026-04-23,1947,1947,1484,1484,1483,463,3309,1727,1542,44.85,85.93,96.17,112.74,1886305950.0600,457754670.0580
2026-04-22,1952,1952,1483,1483,1482,469,3309,1727,1542,44.82,85.87,96.11,113.03,1550994201.4600,485933050.9830
2026-04-21,1952,1952,1483,1483,1482,469,3309,1727,1542,44.82,85.87,96.11,113.03,1401228681.1600,416415011.2500
2026-04-20,1954,1954,1482,1482,1481,472,3309,1727,1542,44.79,85.81,96.04,113.14,1622123232.9700,450536575.7230
2026-04-17,1946,1946,1482,1482,1481,464,3309,1727,1542,44.79,85.81,96.04,112.68,1523831497.2500,455310354.0840
2026-04-16,1942,1942,1479,1479,1478,463,3309,1727,1542,44.70,85.64,95.85,112.45,1798660413.7600,468987197.1500
2026-04-15,1941,1941,1478,1478,1477,463,3309,1727,1542,44.67,85.58,95.78,112.39,1961135115.7200,535286078.5910
2026-04-14,1943,1943,1477,1477,1476,466,3309,1727,1542,44.64,85.52,95.72,112.51,1693049256.2000,449783147.7210
2026-04-13,1940,1940,1476,1476,1475,464,3309,1727,1542,44.61,85.47,95.65,112.33,1562539186.4300,425819022.3140
2026-04-10,1946,1946,1478,1478,1477,468,3309,1727,1542,44.67,85.58,95.78,112.68,2042389077.8300,495448999.5400
2026-04-09,1935,1935,1476,1476,1475,459,3309,1727,1542,44.61,85.47,95.65,112.04,1764698859.4300,472056359.7130
2026-04-08,1955,1955,1475,1475,1474,480,3309,1727,1542,44.58,85.41,95.59,113.20,2483664008.0700,574110681.5380
2026-04-07,1930,1930,1475,1475,1474,455,3309,1727,1542,44.58,85.41,95.59,111.75,1253801290.0900,434842776.9260
2026-04-03,1935,1935,1475,1475,1474,460,3309,1727,1542,44.58,85.41,95.59,112.04,1386597217.7800,469904760.0220
2026-04-02,1922,1922,1470,1470,1469,452,3309,1727,1542,44.42,85.12,95.27,111.29,2133258178.7900,584849178.9790
2026-04-01,1918,1918,1463,1463,1462,455,3309,1727,1542,44.21,84.71,94.81,111.06,2247214145.4100,576143904.9260
2026-03-31,1915,1915,1460,1460,1459,455,3309,1727,1542,44.12,84.54,94.62,110.89,2148867766.9900,489228935.7170
2026-03-30,1909,1909,1461,1461,1460,448,3309,1727,1542,44.15,84.60,94.68,110.54,2090175433.0100,471517609.3280
2026-03-27,1912,1912,1459,1459,1458,453,3309,1727,1542,44.09,84.48,94.55,110.71,2105304586.2500,508674065.1490
2026-03-26,1917,1917,1458,1458,1457,459,3309,1727,1542,44.06,84.42,94.49,111.00,1821358666.2000,471588621.4320
2026-03-25,1918,1918,1456,1456,1455,462,3309,1727,1542,44.00,84.31,94.36,111.06,2389751680.2500,563210938.4940
2026-03-24,1922,1922,1456,1456,1455,466,3309,1727,1542,44.00,84.31,94.36,111.29,2536589557.7800,619766101.4340
2026-03-23,1922,1922,1455,1455,1454,467,3309,1727,1542,43.97,84.25,94.29,111.29,2752170952.0200,604145926.5790
2026-03-20,1919,1919,1455,1455,1454,464,3309,1727,1542,43.97,84.25,94.29,111.12,2254308437.1400,537921282.8190
2026-03-19,1920,1920,1452,1452,1451,468,3309,1727,1542,43.88,84.08,94.10,111.18,2033408170.3400,540841096.9290
2026-03-18,1904,1904,1447,1447,1446,457,3309,1727,1542,43.73,83.79,93.77,110.25,2025534376.4500,503026296.8190
2026-03-17,1912,1912,1445,1445,1444,467,3309,1727,1542,43.67,83.67,93.64,110.71,2214647299.2900,561211315.1900
2026-03-16,1913,1913,1446,1446,1445,467,3309,1727,1542,43.70,83.73,93.71,110.77,2086320018.7600,520464989.0280
2026-03-13,1895,1895,1445,1445,1444,450,3309,1727,1542,43.67,83.67,93.64,109.73,1731013586.8500,529171381.6670
2026-03-12,1904,1904,1445,1445,1444,459,3309,1727,1542,43.67,83.67,93.64,110.25,1759294457.6500,519851624.0040
2026-03-11,1913,1913,1443,1443,1442,470,3309,1727,1542,43.61,83.56,93.51,110.77,1831176364.7400,554052929.1750
2026-03-10,1912,1912,1445,1445,1444,467,3309,1727,1542,43.67,83.67,93.64,110.71,2002139283.6100,557663667.5980
2026-03-09,1914,1914,1445,1445,1444,469,3309,1727,1542,43.67,83.67,93.64,110.83,2477090353.2900,593478329.6690
2026-03-06,1917,1917,1445,1445,1444,472,3309,1727,1542,43.67,83.67,93.64,111.00,2022173304.9600,574376909.5240
2026-03-05,1914,1914,1444,1444,1443,470,3309,1727,1542,43.64,83.61,93.58,110.83,2257493074.4400,597101341.4850
2026-03-04,1919,1919,1442,1442,1441,477,3309,1727,1542,43.58,83.50,93.45,111.12,2529256303.2400,593381500.5930
2026-03-03,1914,1914,1439,1439,1438,475,3309,1727,1542,43.49,83.32,93.26,110.83,2728506625.5100,659029344.3770
2026-03-02,1916,1916,1441,1441,1439,475,3309,1727,1542,43.55,83.44,93.32,110.94,2220836847.1500,513085968.9970
2026-02-27,1902,1902,1439,1439,1437,463,3309,1727,1542,43.49,83.32,93.19,110.13,1695257350.4200,529797627.8690
2026-02-26,1906,1906,1437,1437,1435,469,3309,1727,1542,43.43,83.21,93.06,110.36,1802943757.3400,454106991.7710
2026-02-25,1911,1911,1436,1436,1434,475,3309,1727,1542,43.40,83.15,93.00,110.65,1742606524.0600,456265290.5530
2026-02-24,1904,1904,1436,1436,1434,468,3309,1727,1542,43.40,83.15,93.00,110.25,1617970049.5300,488296179.5060
2026-02-13,1900,1900,1435,1435,1433,465,3309,1727,1542,43.37,83.09,92.93,110.02,1714642882.5700,389437891.6760
2026-02-12,1907,1907,1436,1436,1433,471,3309,1727,1542,43.40,83.15,92.93,110.42,1675117336.0300,458182450.4340
2026-02-11,1899,1899,1430,1430,1427,469,3309,1727,1542,43.22,82.80,92.54,109.96,1447661211.3600,478710722.2280
2026-02-10,1901,1901,1428,1428,1425,473,3309,1727,1542,43.16,82.69,92.41,110.08,1613727957.4400,405762092.3690
2026-02-09,1900,1900,1427,1427,1424,473,3309,1727,1542,43.12,82.63,92.35,110.02,1777581694.5800,545536244.5600
2026-02-06,1895,1895,1424,1424,1421,471,3309,1727,1542,43.03,82.46,92.15,109.73,1975327231.5700,615798972.0860
2026-02-05,1891,1891,1419,1419,1416,472,3309,1727,1542,42.88,82.17,91.83,109.50,2141824591.9300,590477360.5230
2026-02-04,1896,1896,1419,1419,1416,477,3309,1727,1542,42.88,82.17,91.83,109.79,2182193178.4400,583711838.5200
2026-02-03,1898,1898,1419,1419,1416,479,3309,1727,1542,42.88,82.17,91.83,109.90,2529699374.9400,647931895.1440
2026-02-02,1894,1894,1417,1417,1414,477,3309,1727,1542,42.82,82.05,91.70,109.67,2478072247.7800,682107591.9490
2026-01-30,1890,1890,1414,1414,1411,476,3309,1727,1542,42.73,81.88,91.50,109.44,2312957216.4200,657759198.2440
2026-01-29,1888,1888,1413,1413,1410,475,3309,1727,1542,42.70,81.82,91.44,109.32,2565544600.3400,681157653.8910
2026-01-28,1885,1885,1412,1412,1409,473,3309,1727,1542,42.67,81.76,91.37,109.15,2484535830.1900,771918986.2730
2026-01-27,1880,1880,1412,1412,1409,468,3309,1727,1542,42.67,81.76,91.37,108.86,2004163357.9300,545847225.8840
