ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,api_name,fetched_at
160105.SZ,2026-06-03,1.1960,1.1960,1.1900,1.1900,1.1960,-0.0060,-0.5000,217.2800,25.9448,fund_daily,2026-06-04 15:58:09.24947+08
160106.SZ,2026-06-03,1.4510,1.4610,1.4300,1.4500,1.4650,-0.0150,-1.0200,920.0500,132.7622,fund_daily,2026-06-04 15:58:09.24947+08
160119.SZ,2026-06-03,2.3080,2.3500,2.3080,2.3280,2.3160,0.0120,0.5200,4543.4700,1058.9883,fund_daily,2026-06-04 15:58:09.24947+08
160125.SZ,2026-06-03,1.8280,1.8280,1.7910,1.7960,1.8370,-0.0410,-2.2300,17436.0900,3147.2616,fund_daily,2026-06-04 15:58:09.24947+08
160127.SZ,2026-06-03,0.8750,0.8750,0.8580,0.8640,0.8660,-0.0020,-0.2300,166.2800,14.3790,fund_daily,2026-06-04 15:58:09.24947+08
160128.SZ,2026-06-03,1.0300,1.0300,1.0290,1.0290,1.0300,-0.0010,-0.1000,410.0000,42.1926,fund_daily,2026-06-04 15:58:09.24947+08
160133.SZ,2026-06-03,4.1510,4.1870,4.1100,4.1800,4.1920,-0.0120,-0.2900,919.3400,380.4635,fund_daily,2026-06-04 15:58:09.24947+08
160135.SZ,2026-06-03,1.0290,1.0290,1.0100,1.0230,1.0190,0.0040,0.3900,108.0000,10.9215,fund_daily,2026-06-04 15:58:09.24947+08
160140.SZ,2026-06-03,1.3900,1.3960,1.3790,1.3800,1.3920,-0.0120,-0.8600,15790.6800,2182.1158,fund_daily,2026-06-04 15:58:09.24947+08
160142.SZ,2026-06-03,1.1400,1.1620,1.1350,1.1520,1.1290,0.0230,2.0400,1968.8700,225.8269,fund_daily,2026-06-04 15:58:09.24947+08
160143.SZ,2026-06-03,1.6610,1.7150,1.6610,1.7090,1.6550,0.0540,3.2600,1811.0000,306.2731,fund_daily,2026-06-04 15:58:09.24947+08
