rank,ts_code,csname,extname,cname,exchange,list_status,etf_type,index_code,index_name,trading_days_present,trade_dates,vol_5d,amount_5d,latest_trade_date,latest_close,latest_vol,latest_amount,vol_20260603,vol_20260602,vol_20260601,vol_20260529,vol_20260528
1,513130.SH,华泰柏瑞南方东英恒生科技指数ETF(QDII),恒生科技ETF华泰柏瑞,华泰柏瑞南方东英恒生科技指数交易型开放式指数证券投资基金(QDII),SH,L,QDII,HSTECH.HI,恒生科技指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",391864495.0500,24313845.3020,2026-06-03,0.6290,61157435.2900,3859339.5730,61157435.2900,104411224.4700,72973955.3100,88768298.1200,64553581.8600
2,513330.SH,华夏恒生互联网科技业ETF(QDII),恒生互联网ETF华夏,华夏恒生互联网科技业交易型开放式指数证券投资基金(QDII),SH,L,QDII,HSIII.HI,恒生互联网科技业指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",371194118.6100,15017178.5660,2026-06-03,0.4120,58153446.4400,2408873.8200,58153446.4400,107270132.3800,66712102.1800,76536617.1800,62521820.4300
3,513180.SH,华夏恒生科技ETF(QDII),恒生科技ETF华夏,华夏恒生科技交易型开放式指数证券投资基金(QDII),SH,L,QDII,HSTECH.HI,恒生科技指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",357311657.4200,22578016.8280,2026-06-03,0.6410,54706235.7900,3518701.8770,54706235.7900,103023146.1800,75809298.2000,69425111.2200,54347866.0300
4,159792.SZ,富国中证港股通互联网ETF,港股通互联网ETF富国,富国中证港股通互联网交易型开放式指数证券投资基金,SZ,L,纯境内,931637.CSI,中证港股通互联网指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",281980907.8500,17632450.9072,2026-06-03,0.6360,38876104.9600,2489470.6752,38876104.9600,69802776.9300,61058728.8900,58869001.8200,53374295.2500
5,513120.SH,广发中证香港创新药(QDII-ETF),港股创新药ETF广发,广发中证香港创新药交易型开放式指数证券投资基金(QDII),SH,L,QDII,931787.CSI,中证香港创新药指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",223996122.3200,24323857.0860,2026-06-03,1.0390,41663541.9100,4378283.5910,41663541.9100,37608372.6400,43676454.0000,70030609.7700,31017144.0000
6,588000.SH,华夏上证科创板50成份ETF,科创50ETF华夏,华夏上证科创板50成份交易型开放式指数证券投资基金,SH,L,纯境内,000688.SH,上证科创板50成份指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",203672668.6600,37463585.9880,2026-06-03,1.8230,41060877.2700,7513993.8770,41060877.2700,35626926.8300,41950164.9400,46204309.1000,38830390.5200
7,513090.SH,易方达中证香港证券投资主题(港股通)ETF,香港证券ETF易方达,易方达中证香港证券投资主题交易型开放式指数证券投资基金,SH,L,纯境内,930709.CSI,中证香港证券投资主题指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",176216685.1100,31132664.0720,2026-06-03,1.7880,33298614.7000,5958459.1500,33298614.7000,36319970.2900,31272743.8400,49599233.2700,25726123.0100
8,159338.SZ,国泰中证A500ETF,中证A500ETF国泰,国泰中证A500交易型开放式指数证券投资基金,SZ,L,纯境内,000510.SH,中证A500指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",174515643.0400,22631762.4577,2026-06-03,1.3050,36733002.0400,4811184.2981,36733002.0400,37617311.0200,37011155.2900,30780681.8800,32373492.8100
9,563360.SH,华泰柏瑞中证A500ETF,A500ETF华泰柏瑞,华泰柏瑞中证A500交易型开放式指数证券投资基金,SH,L,纯境内,000510.SH,中证A500指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",168651443.2700,23097884.5160,2026-06-03,1.3780,36435161.0000,5038381.2310,36435161.0000,36321682.2200,31605724.1100,32724650.3800,31564225.5600
10,515880.SH,国泰中证全指通信设备ETF,通信ETF国泰,国泰中证全指通信设备交易型开放式指数证券投资基金,SH,L,纯境内,931160.CSI,中证全指通信设备指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",154150870.1200,24885389.9100,2026-06-03,1.7160,34086257.0500,5859590.7980,34086257.0500,34700348.7200,28047298.9900,30699692.8900,26617272.4700
11,513010.SH,易方达恒生科技ETF(QDII),恒生科技ETF易方达,易方达恒生科技交易型开放式指数证券投资基金(QDII),SH,L,QDII,HSTECH.HI,恒生科技指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",136449104.3500,8856782.4800,2026-06-03,0.6590,20964561.1500,1386119.2780,20964561.1500,34879691.0900,23173246.0000,27138832.0700,30292774.0400
12,159740.SZ,大成恒生科技ETF(QDII),恒生科技ETF大成,大成恒生科技交易型开放式指数证券投资基金(QDII),SZ,L,QDII,HSTECH.HI,恒生科技指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",131760416.5800,8214883.6626,2026-06-03,0.6310,21279843.0000,1348858.9723,21279843.0000,35682246.2600,25133659.6300,28811335.7200,20853331.9700
13,159516.SZ,国泰中证半导体材料设备主题ETF,半导体设备ETF国泰,国泰中证半导体材料设备主题交易型开放式指数证券投资基金,SZ,L,纯境内,931743.CSI,中证半导体材料设备主题指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",125821669.7800,15160675.8467,2026-06-03,1.1980,21133127.3300,2532842.3928,21133127.3300,28173003.9200,25432821.4700,25271913.5900,25810803.4700
14,513050.SH,易方达中证海外中国互联网50(QDII-ETF),中概互联网ETF易方达,易方达中证海外中国互联网50交易型开放式指数证券投资基金,SH,L,QDII,H30533.CSI,中证海外中国互联网50指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",124440685.5200,14100325.1050,2026-06-03,1.1540,25598371.0900,2970577.0970,25598371.0900,38117756.5500,17845101.4700,21999755.8900,20879700.5200
15,159352.SZ,南方中证A500ETF,A500ETF南方,南方中证A500交易型开放式指数证券投资基金,SZ,L,纯境内,000510.SH,中证A500指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",123679329.3300,16664757.5639,2026-06-03,1.3560,22616134.9600,3075867.8703,22616134.9600,25562477.5700,27426210.3600,25496672.8600,22577833.5800
16,512000.SH,华宝中证全指证券公司ETF,券商ETF华宝,华宝中证全指证券公司交易型开放式指数证券投资基金,SH,L,纯境内,399975.SZ,中证全指证券公司指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",118886591.9000,5867466.4270,2026-06-03,0.4950,25974706.0400,1286156.8150,25974706.0400,22915269.5500,15441870.5000,26083501.8100,28471244.0000
17,513770.SH,华宝中证港股通互联网ETF,港股互联网ETF华宝,华宝中证港股通互联网交易型开放式指数证券投资基金,SH,L,纯境内,931637.CSI,中证港股通互联网指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",117632296.9400,4506498.8440,2026-06-03,0.3880,21188520.0000,825338.8590,21188520.0000,32487888.1500,23624638.8100,17924987.1900,22406262.7900
18,512690.SH,酒ETF,酒ETF鹏华,鹏华中证酒交易型开放式指数证券投资基金,SH,L,纯境内,399987.SZ,中证酒指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",114217871.7400,5140149.8160,2026-06-03,0.4440,21666552.0000,954736.4090,21666552.0000,16935316.6500,16901105.6500,39834991.8600,18879905.5800
19,159570.SZ,汇添富国证港股通创新药ETF,港股通创新药ETF汇添富,汇添富国证港股通创新药交易型开放式指数证券投资基金,SZ,L,纯境内,987018.SZ,国证港股通创新药指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",111902224.8500,15016965.5172,2026-06-03,1.2770,22954287.5900,2952085.5341,22954287.5900,14432499.5500,26095832.2700,28330531.0100,20089074.4300
20,159131.SZ,华宝中证港股通信息技术综合ETF,港股通信息技术ETF华宝,华宝中证港股通信息技术综合交易型开放式指数证券投资基金,SZ,L,纯境内,930967.CSI,中证港股通信息技术综合指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",105755958.5700,11610423.3836,2026-06-03,1.1110,22133604.1400,2474293.4282,22133604.1400,17836585.3100,19287680.6700,21141691.1800,25356397.2700
21,512880.SH,国泰中证全指证券公司ETF,证券ETF国泰,国泰中证全指证券公司交易型开放式指数证券投资基金,SH,L,纯境内,399975.SZ,中证全指证券公司指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",104326732.1400,10773829.2830,2026-06-03,1.0350,20051986.9700,2075978.5830,20051986.9700,19114994.9600,13396327.4000,27443453.8000,24319969.0100
