ts_code,name,fullname,market,publisher,index_type,category,base_date,base_point,list_date,weight_rule,exp_date,is_unexpired_in_index_basic,latest_daily_date,latest_weekly_date,latest_monthly_date,desc,created_at,updated_at
000032.SH,上证能源,上证能源行业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,1000.0000,2009-01-09,其他,,t,2026-04-30,2026-04-24,2026-03-31,上证行业指数系列将沪市的全部样本按照行业分类标准划分为能源、原材料、工业等一级行业，并选择各个行业对应的上市公司证券编制相应的行业指数，以反映上证行业指数在二级市场的整体表现。,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000033.SH,上证材料,上证原材料行业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,1000.0000,2009-01-09,其他,,t,2026-04-30,2026-04-24,2026-03-31,上证行业指数系列将沪市的全部样本按照行业分类标准划分为能源、原材料、工业等一级行业，并选择各个行业对应的上市公司证券编制相应的行业指数，以反映上证行业指数在二级市场的整体表现。,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000034.SH,上证工业,上证工业行业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,1000.0000,2009-01-09,其他,,t,2026-04-30,2026-04-24,2026-03-31,上证行业指数系列将沪市的全部样本按照行业分类标准划分为能源、原材料、工业等一级行业，并选择各个行业对应的上市公司证券编制相应的行业指数，以反映上证行业指数在二级市场的整体表现。,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000035.SH,上证可选,上证可选消费行业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,1000.0000,2009-01-09,其他,,t,2026-04-30,2026-04-24,2026-03-31,上证行业指数系列将沪市的全部样本按照行业分类标准划分为能源、原材料、工业等一级行业，并选择各个行业对应的上市公司证券编制相应的行业指数，以反映上证行业指数在二级市场的整体表现。,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000036.SH,上证消费,上证主要消费行业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,1000.0000,2009-01-09,其他,,t,2026-04-30,2026-04-24,2026-03-31,上证行业指数系列将沪市的全部样本按照行业分类标准划分为能源、原材料、工业等一级行业，并选择各个行业对应的上市公司证券编制相应的行业指数，以反映上证行业指数在二级市场的整体表现。,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000037.SH,上证医药,上证医药卫生行业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,1000.0000,2009-01-09,其他,,t,2026-04-30,2026-04-24,2026-03-31,上证行业指数系列将沪市的全部样本按照行业分类标准划分为能源、原材料、工业等一级行业，并选择各个行业对应的上市公司证券编制相应的行业指数，以反映上证行业指数在二级市场的整体表现。,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000039.SH,上证信息,上证信息技术行业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,1000.0000,2009-01-09,其他,,t,2026-04-30,2026-04-24,2026-03-31,上证行业指数系列将沪市的全部样本按照行业分类标准划分为能源、原材料、工业等一级行业，并选择各个行业对应的上市公司证券编制相应的行业指数，以反映上证行业指数在二级市场的整体表现。,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000040.SH,上证通信,上证通信服务行业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,1000.0000,2009-01-09,其他,,t,2026-04-30,2026-04-24,2026-03-31,上证行业指数系列将沪市的全部样本按照行业分类标准划分为能源、原材料、工业等一级行业，并选择各个行业对应的上市公司证券编制相应的行业指数，以反映上证行业指数在二级市场的整体表现。,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000041.SH,上证公用,上证公用事业行业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,1000.0000,2009-01-09,其他,,t,2026-04-30,2026-04-24,2026-03-31,上证行业指数系列将沪市的全部样本按照行业分类标准划分为能源、原材料、工业等一级行业，并选择各个行业对应的上市公司证券编制相应的行业指数，以反映上证行业指数在二级市场的整体表现。,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000104.SH,380能源,上证380能源指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,1000.0000,2011-06-13,其他,,t,2026-04-30,2026-04-24,2026-03-31,上证380行业指数系列将上证380指数全部样本按照行业分类标准划分为能源、原材料、工业等一级行业，并选择各个行业对应的证券作为相应的行业指数样本，以反映上证380行业指数在二级市场的整体表现。,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
