ts_code,phase,view,trend,volatility,metric,n_low,n_high,effect_high_minus_low,ci95_low,ci95_high,bootstrap_valid_fraction,p_approximate,holm_p
000001.SH,D,amount,down,low,up_rate,146,31,0.06893504197967298,-0.10726899261507034,0.24166742809470843,1.0,0.43785621437856215,
000001.SH,D,amount,down,low,mean_abs_return,146,31,0.0004873618972484235,-0.0018843238216821724,0.0030431670148065785,1.0,0.6935306469353064,
000001.SH,D,amount,down,high,up_rate,115,32,-0.03913043478260869,-0.24569547160901659,0.15635018385939708,1.0,0.7036296370362963,
000001.SH,D,amount,down,high,mean_abs_return,115,32,-0.0039223441523074005,-0.007022292527463737,-0.0009899286303196146,1.0,0.011198880111988802,
000001.SH,D,amount,up,low,up_rate,21,110,0.10779220779220783,-0.1345570497844131,0.341882183908046,1.0,0.37196280371962803,
000001.SH,D,amount,up,low,mean_abs_return,21,110,-0.002312338169866873,-0.007029734120712524,0.0007140757947873721,1.0,0.23407659234076592,
000001.SH,D,amount,up,high,up_rate,31,140,0.2633640552995392,0.038365171650055346,0.4311627435064935,1.0,0.0136986301369863,
000001.SH,D,amount,up,high,mean_abs_return,31,140,-0.0021224459289863745,-0.00678564802659956,0.0010505468131720259,1.0,0.2565743425657434,
000001.SH,D,volume,down,low,up_rate,145,32,0.11788793103448275,-0.08245716716540513,0.298221181765389,1.0,0.22187781221877811,
000001.SH,D,volume,down,low,mean_abs_return,145,32,0.00029822282224394904,-0.0020074906089101283,0.002886699939251416,1.0,0.8089191080891911,
000001.SH,D,volume,down,high,up_rate,109,41,-0.041396285522488196,-0.21897369941516934,0.1315810097343672,1.0,0.6456354364563544,
000001.SH,D,volume,down,high,mean_abs_return,109,41,-0.0030322062479953126,-0.0056983562119354144,-0.0006008894066048408,1.0,0.019998000199980003,
000001.SH,D,volume,up,low,up_rate,25,105,0.16190476190476188,-0.0343516468170846,0.3607189849624059,1.0,0.1105889411058894,
000001.SH,D,volume,up,low,mean_abs_return,25,105,-0.0021872591712103293,-0.0056428369717950256,0.0004902405515080649,1.0,0.1670832916708329,
000001.SH,D,volume,up,high,up_rate,34,135,0.2394335511982571,0.001121573649009205,0.4105635117794156,1.0,0.027597240275972403,
000001.SH,D,volume,up,high,mean_abs_return,34,135,-0.00350132995730587,-0.007594123976001755,-0.0010002100641957378,1.0,0.0435956404359564,
000001.SH,V1,amount,down,low,up_rate,102,24,0.21323529411764697,0.016802355037649208,0.4002544902669074,1.0,0.026497350264973504,1.0
000001.SH,V1,amount,down,low,mean_abs_return,102,24,0.00013954904323035082,-0.0028361718367660464,0.0034431768427770366,1.0,0.9307069293070693,1.0
000001.SH,V1,amount,down,high,up_rate,85,21,0.0661064425770308,-0.16666666666666669,0.2647079536039767,1.0,0.5402459754024598,1.0
000001.SH,V1,amount,down,high,mean_abs_return,85,21,-0.0074031881617921,-0.017050604652874307,0.0021175167110649485,1.0,0.13018698130186981,1.0
000001.SH,V1,amount,up,low,up_rate,35,180,0.05793650793650795,-0.11497700471698115,0.25287372339471287,1.0,0.5337466253374663,1.0
000001.SH,V1,amount,up,low,mean_abs_return,35,180,-0.001941581409958904,-0.005597372240547578,0.00017927398325642225,1.0,0.20337966203379662,1.0
000001.SH,V1,amount,up,high,up_rate,35,103,0.11678224687933436,-0.05974886038293431,0.32311399905843463,1.0,0.22757724227577242,1.0
000001.SH,V1,amount,up,high,mean_abs_return,35,103,-0.003359986611090292,-0.007935467453815483,0.0009043353414185754,1.0,0.13438656134386562,1.0
000001.SH,V1,volume,down,low,up_rate,119,27,0.1979458450046685,0.0010999446035363293,0.36629682313892825,1.0,0.03469653034696531,
000001.SH,V1,volume,down,low,mean_abs_return,119,27,0.0006195852698577175,-0.002171541168277476,0.003542382825260388,1.0,0.6647335266473353,
000001.SH,V1,volume,down,high,up_rate,82,32,0.020579268292682973,-0.16017481521138438,0.20071478873239418,1.0,0.8137186281371863,
000001.SH,V1,volume,down,high,mean_abs_return,82,32,0.002779715759636401,-0.008019359267805799,0.012995911390965238,1.0,0.6263373662633737,
000001.SH,V1,volume,up,low,up_rate,60,174,0.0367816091954023,-0.09378716587909483,0.1904292680466882,1.0,0.6056394360563944,
000001.SH,V1,volume,up,low,mean_abs_return,60,174,-0.0010227191931886951,-0.0034272824709606115,0.0007055431786775857,1.0,0.3387661233876612,
000001.SH,V1,volume,up,high,up_rate,53,90,0.15052410901467506,-0.01689217742082853,0.31758022981121736,1.0,0.07889211078892111,
000001.SH,V1,volume,up,high,mean_abs_return,53,90,-0.004441630911629305,-0.009414983472075077,0.00048824562587241704,1.0,0.0751924807519248,
000001.SH,V2,amount,down,low,up_rate,70,60,0.042857142857142816,-0.09822915435573654,0.21302480496397586,1.0,0.5922407759224078,1.0
000001.SH,V2,amount,down,low,mean_abs_return,70,60,0.0002105908909931023,-0.002995290948208321,0.0038481079752252607,1.0,0.8969103089691031,1.0
000001.SH,V2,amount,down,high,up_rate,62,25,0.1954838709677419,-0.05464603546336573,0.3927944015444015,1.0,0.08439156084391561,1.0
000001.SH,V2,amount,down,high,mean_abs_return,62,25,-0.00027989696062523904,-0.004486193583103167,0.003715569697942797,1.0,0.8889111088891111,1.0
000001.SH,V2,amount,up,low,up_rate,24,157,0.2208067940552017,-0.07305491764333226,0.3913151864238819,1.0,0.0688931106889311,1.0
000001.SH,V2,amount,up,low,mean_abs_return,24,157,-0.0017462680079948284,-0.005756185216323384,0.0014662513577405032,1.0,0.3267673232676732,1.0
000001.SH,V2,amount,up,high,up_rate,32,55,0.08977272727272723,-0.08333333333333337,0.2470255602240896,0.9999,0.2672,1.0
000001.SH,V2,amount,up,high,mean_abs_return,32,55,-0.0007550419152207461,-0.004340055707966921,0.002180920502144505,0.9999,0.65,1.0
000001.SH,V2,volume,down,low,up_rate,94,61,-0.03923962329961628,-0.20179988501550616,0.11766696222063425,1.0,0.6328367163283671,
000001.SH,V2,volume,down,low,mean_abs_return,94,61,0.0019688229950547993,-0.0008545299393605947,0.005721861799857469,1.0,0.21307869213078692,
000001.SH,V2,volume,down,high,up_rate,66,39,0.06060606060606055,-0.14814814814814814,0.24747516975777847,1.0,0.5434456554344566,
