ts_code,phase,view,total,included,middle_activity,flat_r5
000001.SH,D,amount,939,626,313,0
000001.SH,D,volume,939,626,313,0
000001.SH,V1,amount,939,585,354,0
000001.SH,V1,volume,939,637,302,0
000001.SH,V2,amount,940,485,455,0
000001.SH,V2,volume,940,564,376,0
000300.SH,D,amount,939,626,313,0
000300.SH,D,volume,939,626,313,0
000300.SH,V1,amount,939,632,307,0
000300.SH,V1,volume,939,663,276,0
000300.SH,V2,amount,940,561,379,0
000300.SH,V2,volume,940,587,353,0
000905.SH,D,amount,939,626,313,0
000905.SH,D,volume,939,626,313,0
000905.SH,V1,amount,939,584,355,0
000905.SH,V1,volume,939,596,343,0
000905.SH,V2,amount,940,495,445,0
000905.SH,V2,volume,940,538,402,0
