ts_code,trend,volatility,metric,enough_samples_all_phases,bootstrap_valid_all_phases,same_direction_all_phases,validation_holm_pass_both,candidate,effects_D_V1_V2
000001.SH,down,low,up_rate,False,True,True,False,False,"[0.06893504197967298, 0.21323529411764697, 0.042857142857142816]"
000001.SH,down,low,mean_abs_return,False,True,True,False,False,"[0.0004873618972484235, 0.00013954904323035082, 0.0002105908909931023]"
000001.SH,down,high,up_rate,False,True,False,False,False,"[-0.03913043478260869, 0.0661064425770308, 0.1954838709677419]"
000001.SH,down,high,mean_abs_return,False,True,True,False,False,"[-0.0039223441523074005, -0.0074031881617921, -0.00027989696062523904]"
000001.SH,up,low,up_rate,False,True,True,False,False,"[0.10779220779220783, 0.05793650793650795, 0.2208067940552017]"
000001.SH,up,low,mean_abs_return,False,True,True,False,False,"[-0.002312338169866873, -0.001941581409958904, -0.0017462680079948284]"
000001.SH,up,high,up_rate,False,True,True,False,False,"[0.2633640552995392, 0.11678224687933436, 0.08977272727272723]"
000001.SH,up,high,mean_abs_return,False,True,True,False,False,"[-0.0021224459289863745, -0.003359986611090292, -0.0007550419152207461]"
000300.SH,down,low,up_rate,False,True,False,False,False,"[0.17746478873239435, 0.06999195494770716, -0.07499999999999996]"
000300.SH,down,low,mean_abs_return,False,True,False,False,False,"[-0.0017795607563671472, 0.0010625864268351435, 0.002077626154769736]"
000300.SH,down,high,up_rate,False,True,False,False,False,"[-0.08081363386476081, -0.019872813990461036, 0.07619047619047614]"
000300.SH,down,high,mean_abs_return,False,True,False,False,False,"[-0.002394186523853689, -0.005399636713371941, 0.0031334620552433898]"
000300.SH,up,low,up_rate,False,True,False,False,False,"[0.07575757575757575, -0.0012210012210012167, 0.16415891800507182]"
000300.SH,up,low,mean_abs_return,False,True,True,False,False,"[-0.0025087654345514986, -0.0010887573310781372, -0.0023699918118516867]"
000300.SH,up,high,up_rate,False,True,True,False,False,"[0.19146141215106738, 0.07517934002869442, 0.010114816839803142]"
000300.SH,up,high,mean_abs_return,False,True,True,False,False,"[-0.003009802123865592, -0.0032980087069117495, -0.0010221955474006856]"
000905.SH,down,low,up_rate,False,True,True,False,False,"[0.19143356643356646, 0.184002633311389, 0.021568627450980316]"
000905.SH,down,low,mean_abs_return,False,True,False,False,False,"[-0.0006960170747249972, -7.058709594306815e-05, 0.00036573830445125327]"
000905.SH,down,high,up_rate,False,True,True,False,False,"[0.07694915254237294, 0.13582342954159599, 0.17976190476190468]"
000905.SH,down,high,mean_abs_return,False,True,False,False,False,"[-0.0024515772196252953, -0.007607149286279934, 0.0006303495030949569]"
000905.SH,up,low,up_rate,False,True,True,False,False,"[0.15751879699248128, 0.07276536312849158, 0.06849085109954672]"
000905.SH,up,low,mean_abs_return,False,True,True,False,False,"[-0.000996167700557547, -0.003434609265971675, -0.0011776969589065121]"
000905.SH,up,high,up_rate,False,True,False,False,False,"[0.031385281385281294, 0.03214285714285714, -0.006249999999999978]"
000905.SH,up,high,mean_abs_return,False,True,True,False,False,"[-0.002565571771990481, -0.0055269088905900675, -0.002898237016392075]"
