ts_code,has_index_basic,name,fullname,market,publisher,index_type,category,base_date,base_point,list_date,weight_rule,desc,exp_date,created_at,updated_at
000001.SH,t,上证指数,上证综合指数,SSE,中证指数有限公司,,综合指数,1990-12-19,100.0000,1991-07-15,其他,上证综合指数由在上海证券交易所上市的符合条件的股票与存托凭证组成样本，反映上海证券交易所上市公司的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000002.SH,t,A股指数,上证A股指数,SSE,中证指数有限公司,,规模指数,1990-12-19,100.0000,1992-02-21,其他,上证A股指数由上海证券交易所上市的符合条件的A股组成样本股，反映上海市场A股的股价整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000003.SH,t,B股指数,上证B股指数,SSE,中证指数有限公司,,规模指数,1992-02-21,100.0000,1992-08-17,其他,上证B股指数的样本股是全部上海证券交易所上市B股，反映了上海证券交易所上市B股的股价整体变动状况。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000004.SH,t,工业指数,上证工业指数,SSE,中证指数有限公司,,行业指数,1993-04-30,1358.7800,1993-05-03,其他,上证行业分类指数将上海证券交易所上市公司按其所属行业分成五大类别。工业指数反映了工业行业的景气状况及其股价整体变动状况。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000005.SH,t,商业指数,上证商业指数,SSE,中证指数有限公司,,行业指数,1993-04-30,1358.7800,1993-05-03,其他,上证行业分类指数将上海证券交易所上市公司按其所属行业分成五大类别。商业指数反映了商业行业的景气状况及其股价整体变动状况。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000006.SH,t,地产指数,上证地产指数,SSE,中证指数有限公司,,行业指数,1993-04-30,1358.7800,1993-05-03,其他,上证行业分类指数将上海证券交易所上市公司按其所属行业分成五大类别。地产指数反映了地产行业的景气状况及其股价整体变动状况。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000007.SH,t,公用指数,上证公用指数,SSE,中证指数有限公司,,行业指数,1993-04-30,1358.7800,1993-05-03,其他,上证行业分类指数将上海证券交易所上市公司按其所属行业分成五大类别。公用指数反映了公用行业的景气状况及其股价整体变动状况。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000008.SH,t,综合指数,上证综合指数,SSE,中证指数有限公司,,行业指数,1993-04-30,1358.7800,1993-05-03,其他,上证行业分类指数将上海证券交易所上市公司按其所属行业分成五大类别。综合指数反映了综合行业的景气状况及其股价整体变动状况。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000009.SH,t,上证380,上证380指数,SSE,中证指数有限公司,,规模指数,2003-12-31,1000.0000,2010-11-29,其他,上证380指数从沪市证券中选取市值规模中等、流动性较好的380只证券作为样本，反映上海证券市场中等市值上市公司证券整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000010.SH,t,上证180,上证180指数,SSE,中证指数有限公司,,规模指数,2002-06-28,3299.0600,2002-07-01,其他,上证180指数从沪市证券中选取市值规模较大、流动性较好的180只证券作为样本，反映上海证券市场核心上市公司证券整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000015.SH,t,红利指数,上证红利指数,SSE,中证指数有限公司,,策略指数,2004-12-31,1000.0000,2005-01-04,其他,上证红利指数选取在上海证券交易所上市的现金股息率高、分红比较稳定、具有一定规模及流动性的50只证券作为指数样本，以反映沪市高股息率证券的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000016.SH,t,上证50,上证50指数,SSE,中证指数有限公司,,规模指数,2003-12-31,1000.0000,2004-01-02,其他,上证50指数以上证180指数样本为样本空间，挑选上海证券市场规模大、流动性好的最具代表性的50只证券作为样本，综合反映上海证券市场最具市场影响力的一批龙头企业的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000017.SH,t,新综指,新上证综指,SSE,中证指数有限公司,,规模指数,2005-12-30,1000.0000,2006-01-04,其他,新上证综指当前由沪市所有实施股权分置改革的股票组成。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000018.SH,t,180金融,上证180金融股指数,SSE,中证指数有限公司,,行业指数,2002-06-28,1000.0000,2007-12-10,其他,上证180金融股指数从上证180指数中挑选银行、保险、证券和信托等行业的上市公司证券作为指数样本，以反映上海证券市场金融行业上市公司证券的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000019.SH,t,治理指数,上证公司治理指数,SSE,中证指数有限公司,,主题指数,2007-06-29,1000.0000,2008-01-02,其他,上证公司治理指数选取上证公司治理板块的上市公司证券作为指数样本，旨在鼓励和促进上市公司进一步改善公司治理，提升上市公司的整体质量。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000020.SH,t,中型综指,上证中型企业综合指数,SSE,中证指数有限公司,,规模指数,2007-12-28,1000.0000,2008-05-12,其他,上证中型企业综合指数挑选国民经济产业分类中的中型企业作为指数样本，采用自由流通市值加权计算。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000021.SH,t,180治理,上证180公司治理指数,SSE,中证指数有限公司,,主题指数,2007-06-29,1000.0000,2008-09-10,其他,上证180公司治理指数从上证180指数与上证公司治理指数样本股中挑选100只规模大、流动性好的股票组成样本股，以反映上证180指数中治理状况良好公司股票的走势，同时为投资者提供新的投资标的。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000025.SH,t,180基建,上证180基建指数,SSE,中证指数有限公司,,主题指数,2002-06-28,1000.0000,2008-12-15,自由流通股本,上证180主题指数系列是在上证180指数的基础上，分别选择符合基建、资源和运输等主题的上市公司证券作为指数样本，以反映其在二级市场的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000026.SH,t,180资源,上证180资源指数,SSE,中证指数有限公司,,主题指数,2002-06-28,1000.0000,2008-12-15,自由流通股本,上证180主题指数系列是在上证180指数的基础上，分别选择符合基建、资源和运输等主题的上市公司证券作为指数样本，以反映其在二级市场的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000027.SH,t,180运输,上证180交通运输指数,SSE,中证指数有限公司,,主题指数,2002-06-28,1000.0000,2008-12-15,自由流通股本,上证180主题指数系列是在上证180指数的基础上，分别选择符合基建、资源和运输等主题的上市公司证券作为指数样本，以反映其在二级市场的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000028.SH,t,180成长,上证180成长指数,SSE,中证指数有限公司,,风格指数,2002-06-28,1000.0000,2009-01-09,其他,上证180风格指数系列以上证180指数为样本空间，根据成长因子和价值因子计算风格评分，分别选取成长得分与价值得分最高的60只上市公司证券构成上证180成长指数与上证180价值指数。另外，上证180成长指数与上证180价值指数分别与样本空间剩余上市公司证券组成上证180相对成长指数与上证180相对价值指数。上证180成长指数、上证180价值指数、上证180相对成长指数与上证180相对价值指数构成上证180风格指数系列，从风格特征的角度进一步刻画上证180指数，为投资者提供更具多元化风险收益特征的投资标的。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000029.SH,t,180价值,上证180价值指数,SSE,中证指数有限公司,,风格指数,2002-06-28,1000.0000,2009-01-09,其他,上证180风格指数系列以上证180指数为样本空间，根据成长因子和价值因子计算风格评分，分别选取成长得分与价值得分最高的60只上市公司证券构成上证180成长指数与上证180价值指数。另外，上证180成长指数与上证180价值指数分别与样本空间剩余上市公司证券组成上证180相对成长指数与上证180相对价值指数。上证180成长指数、上证180价值指数、上证180相对成长指数与上证180相对价值指数构成上证180风格指数系列，从风格特征的角度进一步刻画上证180指数，为投资者提供更具多元化风险收益特征的投资标的。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000030.SH,t,180R成长,上证180相对成长指数,SSE,中证指数有限公司,,风格指数,2002-06-28,1000.0000,2009-01-09,其他,上证180风格指数系列以上证180指数为样本空间，根据成长因子和价值因子计算风格评分，分别选取成长得分与价值得分最高的60只上市公司证券构成上证180成长指数与上证180价值指数。另外，上证180成长指数与上证180价值指数分别与样本空间剩余上市公司证券组成上证180相对成长指数与上证180相对价值指数。上证180成长指数、上证180价值指数、上证180相对成长指数与上证180相对价值指数构成上证180风格指数系列，从风格特征的角度进一步刻画上证180指数，为投资者提供更具多元化风险收益特征的投资标的。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000031.SH,t,180R价值,上证180相对价值指数,SSE,中证指数有限公司,,风格指数,2002-06-28,1000.0000,2009-01-09,其他,上证180风格指数系列以上证180指数为样本空间，根据成长因子和价值因子计算风格评分，分别选取成长得分与价值得分最高的60只上市公司证券构成上证180成长指数与上证180价值指数。另外，上证180成长指数与上证180价值指数分别与样本空间剩余上市公司证券组成上证180相对成长指数与上证180相对价值指数。上证180成长指数、上证180价值指数、上证180相对成长指数与上证180相对价值指数构成上证180风格指数系列，从风格特征的角度进一步刻画上证180指数，为投资者提供更具多元化风险收益特征的投资标的。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000032.SH,t,上证能源,上证能源行业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,1000.0000,2009-01-09,其他,上证行业指数系列将沪市的全部样本按照行业分类标准划分为能源、原材料、工业等一级行业，并选择各个行业对应的上市公司证券编制相应的行业指数，以反映上证行业指数在二级市场的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000033.SH,t,上证材料,上证原材料行业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,1000.0000,2009-01-09,其他,上证行业指数系列将沪市的全部样本按照行业分类标准划分为能源、原材料、工业等一级行业，并选择各个行业对应的上市公司证券编制相应的行业指数，以反映上证行业指数在二级市场的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000034.SH,t,上证工业,上证工业行业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,1000.0000,2009-01-09,其他,上证行业指数系列将沪市的全部样本按照行业分类标准划分为能源、原材料、工业等一级行业，并选择各个行业对应的上市公司证券编制相应的行业指数，以反映上证行业指数在二级市场的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000035.SH,t,上证可选,上证可选消费行业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,1000.0000,2009-01-09,其他,上证行业指数系列将沪市的全部样本按照行业分类标准划分为能源、原材料、工业等一级行业，并选择各个行业对应的上市公司证券编制相应的行业指数，以反映上证行业指数在二级市场的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000036.SH,t,上证消费,上证主要消费行业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,1000.0000,2009-01-09,其他,上证行业指数系列将沪市的全部样本按照行业分类标准划分为能源、原材料、工业等一级行业，并选择各个行业对应的上市公司证券编制相应的行业指数，以反映上证行业指数在二级市场的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000037.SH,t,上证医药,上证医药卫生行业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,1000.0000,2009-01-09,其他,上证行业指数系列将沪市的全部样本按照行业分类标准划分为能源、原材料、工业等一级行业，并选择各个行业对应的上市公司证券编制相应的行业指数，以反映上证行业指数在二级市场的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000038.SH,t,上证金融,上证金融地产行业指数,SSE,中证指数有限公司,,主题指数,2003-12-31,1000.0000,2009-01-09,其他,上证金融地产行业指数选取沪市样本中属于金融和房地产行业的上市公司证券作为指数样本，以反映沪市样本中金融和房地产上市公司证券的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000039.SH,t,上证信息,上证信息技术行业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,1000.0000,2009-01-09,其他,上证行业指数系列将沪市的全部样本按照行业分类标准划分为能源、原材料、工业等一级行业，并选择各个行业对应的上市公司证券编制相应的行业指数，以反映上证行业指数在二级市场的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000040.SH,t,上证通信,上证通信服务行业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,1000.0000,2009-01-09,其他,上证行业指数系列将沪市的全部样本按照行业分类标准划分为能源、原材料、工业等一级行业，并选择各个行业对应的上市公司证券编制相应的行业指数，以反映上证行业指数在二级市场的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000041.SH,t,上证公用,上证公用事业行业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,1000.0000,2009-01-09,其他,上证行业指数系列将沪市的全部样本按照行业分类标准划分为能源、原材料、工业等一级行业，并选择各个行业对应的上市公司证券编制相应的行业指数，以反映上证行业指数在二级市场的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000042.SH,t,上证央企,上证中央企业50指数,SSE,中证指数有限公司,,主题指数,2008-12-31,1000.0000,2009-03-30,其他,上证中央企业50指数从实际控制人为国务院国资委以及财政部控股的上市公司中，选取过去一年日均总市值和日均成交金额排名前50名的上市公司证券作为指数样本，以反映最具代表性的央企上市公司证券的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000043.SH,t,超大盘,上证超级大盘指数,SSE,中证指数有限公司,,规模指数,2003-12-31,1000.0000,2009-04-23,其他,上证超级大盘指数从沪市大盘中选取过去一年日均总市值和日均成交金额排名前20名的上市公司证券作为指数样本，以反映最具代表性的20只大盘上市公司证券的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000044.SH,t,上证中盘,上证中盘指数,SSE,中证指数有限公司,,规模指数,2003-12-31,1000.0000,2009-07-03,其他,上证大中小盘系列指数按照市值和成交量水平将沪市上市公司证券分为中盘、小盘、中小盘、大中小盘，以反映不同规模上市公司证券的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000045.SH,t,上证小盘,上证小盘指数,SSE,中证指数有限公司,,规模指数,2003-12-31,1000.0000,2009-07-03,其他,上证大中小盘系列指数按照市值和成交量水平将沪市上市公司证券分为中盘、小盘、中小盘、大中小盘，以反映不同规模上市公司证券的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000046.SH,t,上证中小,上证中小盘指数,SSE,中证指数有限公司,,规模指数,2003-12-31,1000.0000,2009-07-03,其他,上证大中小盘系列指数按照市值和成交量水平将沪市上市公司证券分为中盘、小盘、中小盘、大中小盘，以反映不同规模上市公司证券的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000047.SH,t,上证全指,上证全指,SSE,中证指数有限公司,,规模指数,2003-12-31,1000.0000,2009-07-03,其他,上证大中小盘系列指数按照市值和成交量水平将沪市上市公司证券分为中盘、小盘、中小盘、大中小盘，以反映不同规模上市公司证券的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000048.SH,t,责任指数,上证社会责任指数,SSE,中证指数有限公司,,主题指数,2009-06-30,1000.0000,2009-08-05,其他,上证社会责任指数从上证公司治理板块中选取社会责任的履行方面表现良好的100只上市公司证券作为指数样本，以反映上证公司治理板块上市公司证券的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000049.SH,t,上证民企,上证民营企业50指数,SSE,中证指数有限公司,,主题指数,2009-06-30,1000.0000,2009-08-25,其他,上证民营企业50指数选取上海市场规模大、流动性好、具有代表性的50家民营上市公司证券作为指数样本，以反映沪市大型民营上市公司证券的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000050.SH,t,50等权,上证50等权重指数,SSE,中证指数有限公司,,策略指数,2003-12-31,1000.0000,2011-01-04,其他,上证50等权重指数与上证50指数拥有相同的成份股，并采用等权重加权。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000051.SH,t,180等权,上证180等权重指数,SSE,中证指数有限公司,,策略指数,2002-06-28,3299.0600,2011-05-24,其他,上证180指数由沪市A股中规模大、流动性好的180只股票组成，反映上海证券市场一批蓝筹公司的股票价格表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
000052.SH,t,50基本,上证50基本面加权指数,SSE,中证指数有限公司,,策略指数,2003-12-31,1000.0000,2012-01-09,其他,上证50、上证180和上证380基本面加权指数，在不改变原指数样本的前提下，采用基本面价值加权计算，在一定程度上打破了样本市值与其权重之间的关联，避免传统市值指数中过多配置高估值上市公司证券的现象。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08
