ts_code,name,fullname,market,publisher,index_type,category,base_date,list_date,trade_date
000001.SH,上证指数,上证综合指数,SSE,中证指数有限公司,,综合指数,1990-12-19,1991-07-15,2026-05-07
000002.SH,A股指数,上证A股指数,SSE,中证指数有限公司,,规模指数,1990-12-19,1992-02-21,2026-05-07
000003.SH,B股指数,上证B股指数,SSE,中证指数有限公司,,规模指数,1992-02-21,1992-08-17,2026-05-07
000004.SH,工业指数,上证工业指数,SSE,中证指数有限公司,,行业指数,1993-04-30,1993-05-03,2026-05-07
000005.SH,商业指数,上证商业指数,SSE,中证指数有限公司,,行业指数,1993-04-30,1993-05-03,2026-05-07
000006.SH,地产指数,上证地产指数,SSE,中证指数有限公司,,行业指数,1993-04-30,1993-05-03,2026-05-07
000007.SH,公用指数,上证公用指数,SSE,中证指数有限公司,,行业指数,1993-04-30,1993-05-03,2026-05-07
000008.SH,综合指数,上证综合指数,SSE,中证指数有限公司,,行业指数,1993-04-30,1993-05-03,2026-05-07
000009.SH,上证380,上证380指数,SSE,中证指数有限公司,,规模指数,2003-12-31,2010-11-29,2026-05-07
000010.SH,上证180,上证180指数,SSE,中证指数有限公司,,规模指数,2002-06-28,2002-07-01,2026-05-07
000015.SH,红利指数,上证红利指数,SSE,中证指数有限公司,,策略指数,2004-12-31,2005-01-04,2026-05-07
000016.SH,上证50,上证50指数,SSE,中证指数有限公司,,规模指数,2003-12-31,2004-01-02,2026-05-07
000017.SH,新综指,新上证综指,SSE,中证指数有限公司,,规模指数,2005-12-30,2006-01-04,2026-05-07
000018.SH,180金融,上证180金融股指数,SSE,中证指数有限公司,,行业指数,2002-06-28,2007-12-10,2026-05-07
000019.SH,治理指数,上证公司治理指数,SSE,中证指数有限公司,,主题指数,2007-06-29,2008-01-02,2026-05-07
000020.SH,中型综指,上证中型企业综合指数,SSE,中证指数有限公司,,规模指数,2007-12-28,2008-05-12,2026-05-07
000021.SH,180治理,上证180公司治理指数,SSE,中证指数有限公司,,主题指数,2007-06-29,2008-09-10,2026-05-07
000025.SH,180基建,上证180基建指数,SSE,中证指数有限公司,,主题指数,2002-06-28,2008-12-15,2026-05-07
000026.SH,180资源,上证180资源指数,SSE,中证指数有限公司,,主题指数,2002-06-28,2008-12-15,2026-05-07
000027.SH,180运输,上证180交通运输指数,SSE,中证指数有限公司,,主题指数,2002-06-28,2008-12-15,2026-05-07
000028.SH,180成长,上证180成长指数,SSE,中证指数有限公司,,风格指数,2002-06-28,2009-01-09,2026-05-07
000029.SH,180价值,上证180价值指数,SSE,中证指数有限公司,,风格指数,2002-06-28,2009-01-09,2026-05-07
000030.SH,180R成长,上证180相对成长指数,SSE,中证指数有限公司,,风格指数,2002-06-28,2009-01-09,2026-05-07
000031.SH,180R价值,上证180相对价值指数,SSE,中证指数有限公司,,风格指数,2002-06-28,2009-01-09,2026-05-07
000032.SH,上证能源,上证能源行业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,2009-01-09,2026-05-07
000033.SH,上证材料,上证原材料行业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,2009-01-09,2026-05-07
000034.SH,上证工业,上证工业行业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,2009-01-09,2026-05-07
000035.SH,上证可选,上证可选消费行业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,2009-01-09,2026-05-07
000036.SH,上证消费,上证主要消费行业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,2009-01-09,2026-05-07
000037.SH,上证医药,上证医药卫生行业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,2009-01-09,2026-05-07
000038.SH,上证金融,上证金融地产行业指数,SSE,中证指数有限公司,,主题指数,2003-12-31,2009-01-09,2026-05-07
000039.SH,上证信息,上证信息技术行业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,2009-01-09,2026-05-07
000040.SH,上证通信,上证通信服务行业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,2009-01-09,2026-05-07
000041.SH,上证公用,上证公用事业行业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,2009-01-09,2026-05-07
000042.SH,上证央企,上证中央企业50指数,SSE,中证指数有限公司,,主题指数,2008-12-31,2009-03-30,2026-05-07
000043.SH,超大盘,上证超级大盘指数,SSE,中证指数有限公司,,规模指数,2003-12-31,2009-04-23,2026-05-07
000044.SH,上证中盘,上证中盘指数,SSE,中证指数有限公司,,规模指数,2003-12-31,2009-07-03,2026-05-07
000045.SH,上证小盘,上证小盘指数,SSE,中证指数有限公司,,规模指数,2003-12-31,2009-07-03,2026-05-07
000046.SH,上证中小,上证中小盘指数,SSE,中证指数有限公司,,规模指数,2003-12-31,2009-07-03,2026-05-07
000047.SH,上证全指,上证全指,SSE,中证指数有限公司,,规模指数,2003-12-31,2009-07-03,2026-05-07
000048.SH,责任指数,上证社会责任指数,SSE,中证指数有限公司,,主题指数,2009-06-30,2009-08-05,2026-05-07
000049.SH,上证民企,上证民营企业50指数,SSE,中证指数有限公司,,主题指数,2009-06-30,2009-08-25,2026-05-07
000050.SH,50等权,上证50等权重指数,SSE,中证指数有限公司,,策略指数,2003-12-31,2011-01-04,2026-05-07
000051.SH,180等权,上证180等权重指数,SSE,中证指数有限公司,,策略指数,2002-06-28,2011-05-24,2026-05-07
000052.SH,50基本,上证50基本面加权指数,SSE,中证指数有限公司,,策略指数,2003-12-31,2012-01-09,2026-05-07
000053.SH,180基本,上证180基本面加权指数,SSE,中证指数有限公司,,策略指数,2002-06-28,2012-01-09,2026-05-07
000054.SH,上证海外,上证海外上市A股指数,SSE,中证指数有限公司,,主题指数,2006-12-29,2010-01-04,2026-05-07
000055.SH,上证地企,上证地方国有企业50指数,SSE,中证指数有限公司,,主题指数,2009-06-30,2010-01-04,2026-05-07
000056.SH,上证国企,上证国有企业100指数,SSE,中证指数有限公司,,主题指数,2009-06-30,2010-01-04,2026-05-07
000057.SH,全指成长,上证全指成长指数,SSE,中证指数有限公司,,风格指数,2003-12-31,2010-01-04,2026-05-07
000058.SH,全指价值,上证全指价值指数,SSE,中证指数有限公司,,风格指数,2003-12-31,2010-01-04,2026-05-07
000059.SH,全R成长,上证全指相对成长指数,SSE,中证指数有限公司,,风格指数,2003-12-31,2010-01-04,2026-05-07
000060.SH,全R价值,上证全指相对价值指数,SSE,中证指数有限公司,,风格指数,2003-12-31,2010-01-04,2026-05-07
000062.SH,上证沪企,上证沪企指数,SSE,中证指数有限公司,,主题指数,2005-12-31,2010-01-04,2026-05-07
000063.SH,上证周期,上证周期行业50指数,SSE,中证指数有限公司,,主题指数,2003-12-31,2010-02-03,2026-05-07
000064.SH,非周期,上证非周期行业100指数,SSE,中证指数有限公司,,主题指数,2003-12-31,2010-02-03,2026-05-07
000065.SH,上证龙头,上证龙头企业指数,SSE,中证指数有限公司,,主题指数,2003-12-31,2010-02-09,2026-05-07
000066.SH,上证商品,上证大宗商品股票指数,SSE,中证指数有限公司,,主题指数,2003-12-31,2010-04-30,2026-05-07
000067.SH,上证新兴,上证新兴产业指数,SSE,中证指数有限公司,,主题指数,2003-12-31,2010-04-30,2026-05-07
000068.SH,上证资源,上证自然资源指数,SSE,中证指数有限公司,,主题指数,2003-12-31,2010-05-28,2026-05-07
000069.SH,消费80,上证消费80指数,SSE,中证指数有限公司,,主题指数,2003-12-31,2010-05-28,2026-05-07
000070.SH,能源等权,上证能源行业分层等权重指数,SSE,中证指数有限公司,,策略指数,2003-12-31,2010-08-18,2026-05-07
000071.SH,材料等权,上证原材料行业分层等权重指数,SSE,中证指数有限公司,,策略指数,2003-12-31,2010-08-18,2026-05-07
000072.SH,工业等权,上证工业行业分层等权重指数,SSE,中证指数有限公司,,策略指数,2003-12-31,2010-08-18,2026-05-07
000073.SH,可选等权,上证可选消费行业分层等权重指数,SSE,中证指数有限公司,,策略指数,2003-12-31,2010-08-18,2026-05-07
000074.SH,消费等权,上证主要消费行业分层等权重指数,SSE,中证指数有限公司,,策略指数,2003-12-31,2010-08-18,2026-05-07
000075.SH,医药等权,上证医药卫生行业分层等权重指数,SSE,中证指数有限公司,,策略指数,2003-12-31,2010-08-18,2026-05-07
000076.SH,金融等权,上证金融行业分层等权重指数,SSE,中证指数有限公司,,策略指数,2003-12-31,2010-08-18,2026-05-07
000077.SH,信息等权,上证信息技术行业分层等权重指数,SSE,中证指数有限公司,,策略指数,2003-12-31,2010-08-18,2026-05-07
000078.SH,通信等权,上证通信服务行业分层等权重指数,SSE,中证指数有限公司,,策略指数,2003-12-31,2010-08-18,2026-05-07
000079.SH,公用等权,上证公用事业行业分层等权重指数,SSE,中证指数有限公司,,策略指数,2003-12-31,2010-08-18,2026-05-07
000090.SH,上证流通,上证流通指数,SSE,中证指数有限公司,,规模指数,2009-12-31,2010-12-02,2026-05-07
000091.SH,沪财中小,上证财富中小盘指数,SSE,中证指数有限公司,,策略指数,2004-12-31,2011-04-06,2026-05-07
000092.SH,资源50,上证资源50指数,SSE,中证指数有限公司,,主题指数,2003-12-31,2011-05-10,2026-05-07
000093.SH,180分层,上证180行业分层等权重指数,SSE,中证指数有限公司,,策略指数,2002-06-28,2011-05-24,2026-05-07
000094.SH,上证上游,上证上游产业指数,SSE,中证指数有限公司,,主题指数,2003-12-31,2011-05-10,2026-05-07
000095.SH,上证中游,上证中游产业指数,SSE,中证指数有限公司,,主题指数,2003-12-31,2011-05-10,2026-05-07
000096.SH,上证下游,上证下游产业指数,SSE,中证指数有限公司,,主题指数,2003-12-31,2011-05-10,2026-05-07
000097.SH,高端装备,上证高端装备制造60指数,SSE,中证指数有限公司,,主题指数,2004-12-31,2011-05-24,2026-05-07
000098.SH,上证F200,上证基本面200指数,SSE,中证指数有限公司,,策略指数,2004-12-31,2011-07-01,2026-05-07
000099.SH,上证F300,上证基本面300指数,SSE,中证指数有限公司,,策略指数,2004-12-31,2011-07-01,2026-05-07
000100.SH,上证F500,上证基本面500指数,SSE,中证指数有限公司,,策略指数,2004-12-31,2011-07-01,2026-05-07
000102.SH,沪投资品,上证投资品指数,SSE,中证指数有限公司,,主题指数,2003-12-31,2011-06-13,2026-05-07
000103.SH,沪消费品,上证消费品指数,SSE,中证指数有限公司,,主题指数,2003-12-31,2011-06-13,2026-05-07
000104.SH,380能源,上证380能源指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,2011-06-13,2026-05-07
000105.SH,380材料,上证380原材料指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,2011-06-13,2026-05-07
000106.SH,380工业,上证380工业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,2011-06-13,2026-05-07
000107.SH,380可选,上证380可选消费指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,2011-06-13,2026-05-07
000108.SH,380消费,上证380主要消费指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,2011-06-13,2026-05-07
000109.SH,380医药,上证380医药卫生指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,2011-06-13,2026-05-07
000110.SH,380金融,上证380金融指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,2011-06-13,2026-05-07
000111.SH,380信息,上证380信息技术指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,2011-06-13,2026-05-07
000112.SH,380电信,上证380电信业务指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,2011-06-13,2026-05-07
000113.SH,380公用,上证380公用事业指数,SSE,中证指数有限公司,,一级行业指数,2003-12-31,2011-06-13,2026-05-07
000114.SH,持续产业,上证可持续发展产业主题指数,SSE,中证指数有限公司,,主题指数,2011-06-30,2011-08-22,2026-05-07
000115.SH,380等权,上证380等权重指数,SSE,中证指数有限公司,,策略指数,2003-12-31,2011-08-12,2026-05-07
000117.SH,380成长,上证380成长指数,SSE,中证指数有限公司,,风格指数,2003-12-31,2011-10-18,2026-05-07
000118.SH,380价值,上证380价值指数,SSE,中证指数有限公司,,风格指数,2003-12-31,2011-10-18,2026-05-07
