ts_code,model,bin_left,bin_right,n,mean_probability,actual_up_rate
000001.SH,frequency,0.0,0.1,0,,
000001.SH,frequency,0.1,0.2,0,,
000001.SH,frequency,0.2,0.3,0,,
000001.SH,frequency,0.3,0.4,0,,
000001.SH,frequency,0.4,0.5,0,,
000001.SH,frequency,0.5,0.6,1209,0.5265957446808509,0.5186104218362283
000001.SH,frequency,0.6,0.7,0,,
000001.SH,frequency,0.7,0.8,0,,
000001.SH,frequency,0.8,0.9,0,,
000001.SH,frequency,0.9,1.0,0,,
000001.SH,price,0.0,0.1,0,,
000001.SH,price,0.1,0.2,0,,
000001.SH,price,0.2,0.3,0,,
000001.SH,price,0.3,0.4,0,,
000001.SH,price,0.4,0.5,16,0.49437917262911585,0.625
000001.SH,price,0.5,0.6,1190,0.5258607368044064,0.5159663865546219
000001.SH,price,0.6,0.7,3,0.6088341406154252,1.0
000001.SH,price,0.7,0.8,0,,
000001.SH,price,0.8,0.9,0,,
000001.SH,price,0.9,1.0,0,,
000001.SH,price_amount,0.0,0.1,0,,
000001.SH,price_amount,0.1,0.2,0,,
000001.SH,price_amount,0.2,0.3,0,,
000001.SH,price_amount,0.3,0.4,0,,
000001.SH,price_amount,0.4,0.5,165,0.4870696333669752,0.47878787878787876
000001.SH,price_amount,0.5,0.6,1033,0.5266000540535692,0.5237173281703775
000001.SH,price_amount,0.6,0.7,7,0.6471315719141094,0.7142857142857143
000001.SH,price_amount,0.7,0.8,0,,
000001.SH,price_amount,0.8,0.9,2,0.860644774665519,0.5
000001.SH,price_amount,0.9,1.0,2,0.9596311503854059,0.5
000001.SH,price_amount_volume,0.0,0.1,0,,
000001.SH,price_amount_volume,0.1,0.2,0,,
000001.SH,price_amount_volume,0.2,0.3,0,,
000001.SH,price_amount_volume,0.3,0.4,0,,
000001.SH,price_amount_volume,0.4,0.5,170,0.4863168773677411,0.4764705882352941
000001.SH,price_amount_volume,0.5,0.6,1029,0.5264232236462651,0.5238095238095238
000001.SH,price_amount_volume,0.6,0.7,6,0.6573479426832521,0.8333333333333334
000001.SH,price_amount_volume,0.7,0.8,0,,
000001.SH,price_amount_volume,0.8,0.9,2,0.8505860531079862,0.5
000001.SH,price_amount_volume,0.9,1.0,2,0.9597543273143758,0.5
000300.SH,frequency,0.0,0.1,0,,
000300.SH,frequency,0.1,0.2,0,,
000300.SH,frequency,0.2,0.3,0,,
000300.SH,frequency,0.3,0.4,0,,
000300.SH,frequency,0.4,0.5,0,,
000300.SH,frequency,0.5,0.6,1209,0.5173758865248227,0.4904880066170389
000300.SH,frequency,0.6,0.7,0,,
000300.SH,frequency,0.7,0.8,0,,
000300.SH,frequency,0.8,0.9,0,,
000300.SH,frequency,0.9,1.0,0,,
000300.SH,price,0.0,0.1,0,,
000300.SH,price,0.1,0.2,0,,
000300.SH,price,0.2,0.3,0,,
000300.SH,price,0.3,0.4,0,,
000300.SH,price,0.4,0.5,184,0.49196245656292087,0.4673913043478261
000300.SH,price,0.5,0.6,1016,0.5176967929281662,0.4940944881889764
