ts_code,phase,method,n,mse,mae,mean_prediction,mean_observed
000001.SH,D,constant,939,6.767410558382732e-05,0.006226256778299012,0.008878861749686467,0.008878861749686467
000001.SH,D,fixed_group,939,6.713920978981032e-05,0.006205484190314961,0.00887886174968647,0.008878861749686467
000001.SH,D,rolling20,939,7.001425712454931e-05,0.006362992997843245,0.008920421113806077,0.008878861749686467
000001.SH,V1,constant,939,0.0001511403747165875,0.007920856027148107,0.008878861749686467,0.00987676325445975
000001.SH,V1,fixed_group,939,0.000144676203298523,0.007632790345789855,0.008709066420572181,0.00987676325445975
000001.SH,V1,rolling20,939,0.00011321432846406338,0.006872340170461996,0.00992035183624168,0.00987676325445975
000001.SH,V2,constant,940,6.729876533269642e-05,0.005943428529432787,0.008878861749686466,0.008308138277477624
000001.SH,V2,fixed_group,940,6.57178793584548e-05,0.005779578243775023,0.008668011282142769,0.008308138277477624
000001.SH,V2,rolling20,940,6.676269401686238e-05,0.005713161029019671,0.00824547288938308,0.008308138277477624
000300.SH,D,constant,939,8.968516795631587e-05,0.00722426160618366,0.01026288100904815,0.01026288100904815
000300.SH,D,fixed_group,939,8.944213015627783e-05,0.007228347755981886,0.01026288100904815,0.01026288100904815
000300.SH,D,rolling20,939,9.283170255600197e-05,0.007353231112339021,0.01030325550642002,0.01026288100904815
000300.SH,V1,constant,939,0.00015445801416315286,0.008456793780888752,0.01026288100904815,0.010146064755601708
000300.SH,V1,fixed_group,939,0.00014981119658081564,0.008249756344324396,0.010093826235478037,0.010146064755601708
000300.SH,V1,rolling20,939,0.00012123829070826012,0.007153581873421133,0.010188130601390365,0.010146064755601708
000300.SH,V2,constant,940,8.229140577813164e-05,0.00676060313991824,0.010262881009048149,0.009667701209194853
000300.SH,V2,fixed_group,940,8.117024669967144e-05,0.006675350414361406,0.010137536512270682,0.009667701209194853
000300.SH,V2,rolling20,940,8.205638727590957e-05,0.006616774818609499,0.00960396331804926,0.009667701209194853
000905.SH,D,constant,939,0.00010148020914832542,0.007841698263756535,0.012260246763973633,0.01226024676397363
000905.SH,D,fixed_group,939,0.0001010087213091013,0.007816940239939339,0.012260246763973628,0.01226024676397363
000905.SH,D,rolling20,939,0.0001044166891506398,0.00794657333138772,0.012337734016769566,0.01226024676397363
000905.SH,V1,constant,939,0.00019859025972172276,0.009503290651781772,0.012260246763973633,0.012681055347459714
000905.SH,V1,fixed_group,939,0.00019193766978974666,0.009251262680844667,0.01209205770607524,0.012681055347459714
000905.SH,V1,rolling20,939,0.00014707447312170885,0.008153791906539608,0.012688962007003058,0.012681055347459714
000905.SH,V2,constant,940,0.00010210088595430177,0.007691343559431994,0.012260246763973633,0.010409738519010892
000905.SH,V2,fixed_group,940,9.966761612546484e-05,0.0075357109004212264,0.011984857018949833,0.010409738519010892
000905.SH,V2,rolling20,940,9.73679953578994e-05,0.00704075893664868,0.010388886227456148,0.010409738519010892
