ts_code,phase,view,total,n0,n1,flat
000001.SH,D,direction,939,493,446,0
000001.SH,D,risk,939,470,469,0
000001.SH,V1,direction,939,390,549,0
000001.SH,V1,risk,939,579,360,0
000001.SH,V2,direction,940,443,497,0
000001.SH,V2,risk,940,606,334,0
000300.SH,D,direction,939,482,457,0
000300.SH,D,risk,939,470,469,0
000300.SH,V1,direction,939,399,540,0
000300.SH,V1,risk,939,631,308,0
000300.SH,V2,direction,940,429,511,0
000300.SH,V2,risk,940,590,350,0
000905.SH,D,direction,939,446,493,0
000905.SH,D,risk,939,470,469,0
000905.SH,V1,direction,939,375,564,0
000905.SH,V1,risk,939,585,354,0
000905.SH,V2,direction,940,441,499,0
000905.SH,V2,risk,940,659,281,0
