ts_code,phase,view,group,n,up_rate,mean_return,mean_abs_return
000001.SH,D,direction,0,493,0.49898580121703856,-0.00025803746919599724,0.009663197115187585
000001.SH,D,direction,1,446,0.49327354260089684,-0.0003318940779337775,0.008011872208897115
000001.SH,D,risk,0,470,0.474468085106383,-0.0010312949661388275,0.008148274507901137
000001.SH,D,risk,1,469,0.5181236673773987,0.00044663412156323556,0.009611006746784773
000001.SH,V1,direction,0,390,0.5717948717948718,0.0007450183169006719,0.011492163539451388
000001.SH,V1,direction,1,549,0.5610200364298725,0.000566538874324354,0.008729211139438366
000001.SH,V1,risk,0,579,0.5664939550949913,0.0010432033789408396,0.005809043623732674
000001.SH,V1,risk,1,360,0.5638888888888889,-6.743807809482373e-06,0.016419012327212455
000001.SH,V2,direction,0,443,0.5530474040632054,0.00034015983885200406,0.009307224136060777
000001.SH,V2,direction,1,497,0.48490945674044267,-1.2775019753528092e-05,0.007417605007150989
000001.SH,V2,risk,0,606,0.5247524752475248,0.00023202715269333787,0.007314083288237827
000001.SH,V2,risk,1,334,0.5029940119760479,1.1177153478358039e-05,0.010111723078313898
000300.SH,D,direction,0,482,0.483402489626556,-0.0002611429047967468,0.01105737915395747
000300.SH,D,direction,1,457,0.48577680525164113,-0.00023480971793569843,0.009424920164745543
000300.SH,D,risk,0,470,0.44680851063829785,-0.0012286605807695105,0.009770417103430861
000300.SH,D,risk,1,469,0.5223880597014925,0.000734097125272972,0.010756394944314943
000300.SH,V1,direction,0,399,0.5639097744360902,0.0006227533001166483,0.011926639758983077
000300.SH,V1,direction,1,540,0.5314814814814814,0.000807615209708803,0.008830417669769917
000300.SH,V1,risk,0,631,0.5404120443740095,0.0012212502313078493,0.006485930255880623
000300.SH,V1,risk,1,308,0.5551948051948052,-0.00027927959729206705,0.017644587058601717
000300.SH,V2,direction,0,429,0.5477855477855478,0.00030099867530021334,0.010909950434331609
000300.SH,V2,direction,1,511,0.5009784735812133,0.0003396904546190509,0.008624795303943056
000300.SH,V2,risk,0,590,0.5440677966101695,0.0005374499023187747,0.008686167973849135
000300.SH,V2,risk,1,350,0.4857142857142857,-4.1100538154144365e-05,0.011322285805920491
000905.SH,D,direction,0,446,0.5,-0.00042595894577531764,0.013801064576136116
000905.SH,D,direction,1,493,0.565922920892495,0.00033240308287673856,0.010866322333498036
000905.SH,D,risk,0,470,0.5127659574468085,-0.0015727606877142016,0.011574327910457595
000905.SH,D,risk,1,469,0.5565031982942431,0.0015204574696548298,0.012947628131036606
000905.SH,V1,direction,0,375,0.5706666666666667,0.0008384267696228429,0.015189687640082373
000905.SH,V1,direction,1,564,0.5726950354609929,0.0007274753258831984,0.011013081748641457
000905.SH,V1,risk,0,585,0.5726495726495726,0.0009131032434385239,0.008435126328129214
000905.SH,V1,risk,1,354,0.5706214689265536,0.0005382506355795296,0.019697632964149947
000905.SH,V2,direction,0,441,0.562358276643991,0.0007192054070162791,0.011776840318110129
000905.SH,V2,direction,1,499,0.49498997995991983,-0.00017125425693743937,0.009201538331831004
000905.SH,V2,risk,0,659,0.5220030349013657,-5.039181736752596e-05,0.009430724454467111
000905.SH,V2,risk,1,281,0.5373665480427047,0.0009427826260768557,0.012705718122335986
