ts_code,extra_row_count,extra_date_count,first_extra_date,last_extra_date,extra_dates,core_name,core_fullname,core_market,core_publisher,core_index_type,core_category,core_base_date,core_base_point,core_list_date,core_weight_rule,core_desc,core_exp_date,core_created_at,core_updated_at,raw_name,raw_fullname,raw_market,raw_publisher,raw_index_type,raw_category,raw_base_date,raw_base_point,raw_list_date,raw_weight_rule,raw_desc,raw_exp_date,raw_api_name,raw_fetched_at
930723.CSI,68,68,2020-01-24,2026-02-23,"2020-01-24, 2020-01-29, 2020-01-30, 2020-01-31, 2020-04-06, 2020-05-04, 2020-05-05, 2020-06-26, 2020-10-05, 2020-10-06, 2020-10-07, 2020-10-08, 2021-02-11, 2021-02-16, 2021-02-17, 2021-05-03, 2021-05-04, 2021-05-05, 2021-09-20, 2021-09-21, 2021-10-04, 2021-10-05, 2021-10-06, 2021-10-07, 2022-01-03, 2022-01-31, 2022-02-04, 2022-04-04, 2022-05-03, 2022-05-04, 2022-10-03, 2022-10-05, 2022-10-06, 2022-10-07, 2023-01-26, 2023-01-27, 2023-05-02, 2023-05-03, 2023-06-23, 2023-09-29, 2023-10-03, 2023-10-04, 2023-10-05, 2023-10-06, 2024-02-09, 2024-02-14, 2024-02-15, 2024-02-16, 2024-04-05, 2024-05-02, 2024-05-03, 2024-09-17, 2024-10-02, 2024-10-03, 2024-10-04, 2024-10-07, 2025-01-28, 2025-02-03, 2025-05-02, 2025-06-02, 2025-10-02, 2025-10-03, 2025-10-06, 2025-10-08, 2026-01-02, 2026-02-16, 2026-02-20, 2026-02-23",沪港深F100,中证锐联沪港深基本面100指数,CSI,中证指数有限公司,,策略指数,2014-11-14,3000.0000,2015-08-05,其他,中证锐联沪港深基本面100指数以沪深交易所和香港联合交易所互联互通机制规定范围内可交易的100只沪深市场证券及香港市场证券为样本，样本的权重由基本面价值决定，在一定程度上打破了样本市值与其权重之间的关联，避免了传统市值加权指数中过多配置高估值证券的现象。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08,沪港深F100,中证锐联沪港深基本面100指数,CSI,中证指数有限公司,,策略指数,20141114,3000.0000,20150805,其他,中证锐联沪港深基本面100指数以沪深交易所和香港联合交易所互联互通机制规定范围内可交易的100只沪深市场证券及香港市场证券为样本，样本的权重由基本面价值决定，在一定程度上打破了样本市值与其权重之间的关联，避免了传统市值加权指数中过多配置高估值证券的现象。,,index_basic,2026-05-04 20:00:42.933834+08
930767.CSI,68,68,2020-01-24,2026-02-23,"2020-01-24, 2020-01-29, 2020-01-30, 2020-01-31, 2020-04-06, 2020-05-04, 2020-05-05, 2020-06-26, 2020-10-05, 2020-10-06, 2020-10-07, 2020-10-08, 2021-02-11, 2021-02-16, 2021-02-17, 2021-05-03, 2021-05-04, 2021-05-05, 2021-09-20, 2021-09-21, 2021-10-04, 2021-10-05, 2021-10-06, 2021-10-07, 2022-01-03, 2022-01-31, 2022-02-04, 2022-04-04, 2022-05-03, 2022-05-04, 2022-10-03, 2022-10-05, 2022-10-06, 2022-10-07, 2023-01-26, 2023-01-27, 2023-05-02, 2023-05-03, 2023-06-23, 2023-09-29, 2023-10-03, 2023-10-04, 2023-10-05, 2023-10-06, 2024-02-09, 2024-02-14, 2024-02-15, 2024-02-16, 2024-04-05, 2024-05-02, 2024-05-03, 2024-09-17, 2024-10-02, 2024-10-03, 2024-10-04, 2024-10-07, 2025-01-28, 2025-02-03, 2025-05-02, 2025-06-02, 2025-10-02, 2025-10-03, 2025-10-06, 2025-10-08, 2026-01-02, 2026-02-16, 2026-02-20, 2026-02-23",沪深300优选,沪深300AH优选指数,CSI,中证指数有限公司,,策略指数,2004-12-31,1000.0000,2015-12-10,其他,沪深300AH优选指数反映在沪深300指数上使用AH价格优选投资策略的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08,沪深300优选,沪深300AH优选指数,CSI,中证指数有限公司,,策略指数,20041231,1000.0000,20151210,其他,沪深300AH优选指数反映在沪深300指数上使用AH价格优选投资策略的整体表现。,,index_basic,2026-05-04 20:00:42.933834+08
930917.CSI,68,68,2020-01-24,2026-02-23,"2020-01-24, 2020-01-29, 2020-01-30, 2020-01-31, 2020-04-06, 2020-05-04, 2020-05-05, 2020-06-26, 2020-10-05, 2020-10-06, 2020-10-07, 2020-10-08, 2021-02-11, 2021-02-16, 2021-02-17, 2021-05-03, 2021-05-04, 2021-05-05, 2021-09-20, 2021-09-21, 2021-10-04, 2021-10-05, 2021-10-06, 2021-10-07, 2022-01-03, 2022-01-31, 2022-02-04, 2022-04-04, 2022-05-03, 2022-05-04, 2022-10-03, 2022-10-05, 2022-10-06, 2022-10-07, 2023-01-26, 2023-01-27, 2023-05-02, 2023-05-03, 2023-06-23, 2023-09-29, 2023-10-03, 2023-10-04, 2023-10-05, 2023-10-06, 2024-02-09, 2024-02-14, 2024-02-15, 2024-02-16, 2024-04-05, 2024-05-02, 2024-05-03, 2024-09-17, 2024-10-02, 2024-10-03, 2024-10-04, 2024-10-07, 2025-01-28, 2025-02-03, 2025-05-02, 2025-06-02, 2025-10-02, 2025-10-03, 2025-10-06, 2025-10-08, 2026-01-02, 2026-02-16, 2026-02-20, 2026-02-23",SHS高股息(CNY),中证沪港深高股息指数(人民币),CSI,中证指数有限公司,,主题指数,2014-11-14,3000.0000,2016-12-28,其他,中证沪港深高股息指数从沪深A股以及符合港股通条件的港股中选取100只流动性好、连续分红、股息率高的股票作为指数样本股，采用股息率加权，以反映沪港深三地市场股息率高的股票整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08,SHS高股息(CNY),中证沪港深高股息指数(人民币),CSI,中证指数有限公司,,主题指数,20141114,3000.0000,20161228,其他,中证沪港深高股息指数从沪深A股以及符合港股通条件的港股中选取100只流动性好、连续分红、股息率高的股票作为指数样本股，采用股息率加权，以反映沪港深三地市场股息率高的股票整体表现。,,index_basic,2026-05-04 20:00:42.933834+08
931134.CSI,68,68,2020-01-24,2026-02-23,"2020-01-24, 2020-01-29, 2020-01-30, 2020-01-31, 2020-04-06, 2020-05-04, 2020-05-05, 2020-06-26, 2020-10-05, 2020-10-06, 2020-10-07, 2020-10-08, 2021-02-11, 2021-02-16, 2021-02-17, 2021-05-03, 2021-05-04, 2021-05-05, 2021-09-20, 2021-09-21, 2021-10-04, 2021-10-05, 2021-10-06, 2021-10-07, 2022-01-03, 2022-01-31, 2022-02-04, 2022-04-04, 2022-05-03, 2022-05-04, 2022-10-03, 2022-10-05, 2022-10-06, 2022-10-07, 2023-01-26, 2023-01-27, 2023-05-02, 2023-05-03, 2023-06-23, 2023-09-29, 2023-10-03, 2023-10-04, 2023-10-05, 2023-10-06, 2024-02-09, 2024-02-14, 2024-02-15, 2024-02-16, 2024-04-05, 2024-05-02, 2024-05-03, 2024-09-17, 2024-10-02, 2024-10-03, 2024-10-04, 2024-10-07, 2025-01-28, 2025-02-03, 2025-05-02, 2025-06-02, 2025-10-02, 2025-10-03, 2025-10-06, 2025-10-08, 2026-01-02, 2026-02-16, 2026-02-20, 2026-02-23",AH经济蓝筹,中证华夏AH经济蓝筹股票指数,CSI,中证指数有限公司,,策略指数,2004-12-31,1000.0000,2019-03-20,其他,中证华夏AH经济蓝筹股票指数从内地市场证券以及符合港股通资格的香港证券中分行业选取一定数量财务基本面良好的蓝筹证券作为指数样本，行业权重根据各行业对国民经济的贡献度进行分配，行业内样本根据财务基本面综合得分加权，以综合反映国民经济产业结构变迁及发展趋势。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08,AH经济蓝筹,中证华夏AH经济蓝筹股票指数,CSI,中证指数有限公司,,策略指数,20041231,1000.0000,20190320,其他,中证华夏AH经济蓝筹股票指数从内地市场证券以及符合港股通资格的香港证券中分行业选取一定数量财务基本面良好的蓝筹证券作为指数样本，行业权重根据各行业对国民经济的贡献度进行分配，行业内样本根据财务基本面综合得分加权，以综合反映国民经济产业结构变迁及发展趋势。,,index_basic,2026-05-04 20:00:42.933834+08
931157.CSI,68,68,2020-01-24,2026-02-23,"2020-01-24, 2020-01-29, 2020-01-30, 2020-01-31, 2020-04-06, 2020-05-04, 2020-05-05, 2020-06-26, 2020-10-05, 2020-10-06, 2020-10-07, 2020-10-08, 2021-02-11, 2021-02-16, 2021-02-17, 2021-05-03, 2021-05-04, 2021-05-05, 2021-09-20, 2021-09-21, 2021-10-04, 2021-10-05, 2021-10-06, 2021-10-07, 2022-01-03, 2022-01-31, 2022-02-04, 2022-04-04, 2022-05-03, 2022-05-04, 2022-10-03, 2022-10-05, 2022-10-06, 2022-10-07, 2023-01-26, 2023-01-27, 2023-05-02, 2023-05-03, 2023-06-23, 2023-09-29, 2023-10-03, 2023-10-04, 2023-10-05, 2023-10-06, 2024-02-09, 2024-02-14, 2024-02-15, 2024-02-16, 2024-04-05, 2024-05-02, 2024-05-03, 2024-09-17, 2024-10-02, 2024-10-03, 2024-10-04, 2024-10-07, 2025-01-28, 2025-02-03, 2025-05-02, 2025-06-02, 2025-10-02, 2025-10-03, 2025-10-06, 2025-10-08, 2026-01-02, 2026-02-16, 2026-02-20, 2026-02-23",SHS红利成长LV,中证沪港深红利成长低波动指数,CSI,中证指数有限公司,,策略指数,2014-11-14,3000.0000,2019-04-25,其他,中证沪港深红利成长低波动指数从沪深A股以及符合港股通条件的港股中选取100只连续现金分红、盈利稳定增长且兼具低波动特征的股票作为指数样本股，采用预期股息率加权，以反映沪港深三地市场连续现金分红、盈利稳定增长且兼具低波动特征上市公司的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08,SHS红利成长LV,中证沪港深红利成长低波动指数,CSI,中证指数有限公司,,策略指数,20141114,3000.0000,20190425,其他,中证沪港深红利成长低波动指数从沪深A股以及符合港股通条件的港股中选取100只连续现金分红、盈利稳定增长且兼具低波动特征的股票作为指数样本股，采用预期股息率加权，以反映沪港深三地市场连续现金分红、盈利稳定增长且兼具低波动特征上市公司的整体表现。,,index_basic,2026-05-04 20:00:42.933834+08
000170.SH,67,67,2020-01-24,2026-02-23,"2020-01-24, 2020-01-29, 2020-01-30, 2020-01-31, 2020-04-06, 2020-05-04, 2020-05-05, 2020-06-26, 2020-10-05, 2020-10-06, 2020-10-07, 2020-10-08, 2021-02-11, 2021-02-16, 2021-02-17, 2021-05-03, 2021-05-04, 2021-05-05, 2021-09-20, 2021-09-21, 2021-10-04, 2021-10-05, 2021-10-06, 2021-10-07, 2022-01-03, 2022-01-31, 2022-02-04, 2022-04-04, 2022-05-03, 2022-05-04, 2022-10-03, 2022-10-05, 2022-10-06, 2022-10-07, 2023-01-26, 2023-01-27, 2023-05-02, 2023-05-03, 2023-06-23, 2023-09-29, 2023-10-04, 2023-10-05, 2023-10-06, 2024-02-09, 2024-02-14, 2024-02-15, 2024-02-16, 2024-04-05, 2024-05-02, 2024-05-03, 2024-09-17, 2024-10-02, 2024-10-03, 2024-10-04, 2024-10-07, 2025-01-28, 2025-02-03, 2025-05-02, 2025-06-02, 2025-10-02, 2025-10-03, 2025-10-06, 2025-10-08, 2026-01-02, 2026-02-16, 2026-02-20, 2026-02-23",50AH优选,上证50AH优选指数,SSE,中证指数有限公司,,策略指数,2004-12-31,1000.0000,2015-12-10,其他,上证50AH优选指数及上证180AH优选指数分别反映上证50指数及上证180指数使用AH价差投资策略的整体表现，为投资者提供建立在上证50及上证180基础上的额外回报。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08,50AH优选,上证50AH优选指数,SSE,中证指数有限公司,,策略指数,20041231,1000.0000,20151210,其他,上证50AH优选指数及上证180AH优选指数分别反映上证50指数及上证180指数使用AH价差投资策略的整体表现，为投资者提供建立在上证50及上证180基础上的额外回报。,,index_basic,2026-05-04 20:00:42.933834+08
930999.CSI,63,63,2020-04-06,2026-02-23,"2020-04-06, 2020-05-04, 2020-05-05, 2020-06-26, 2020-10-05, 2020-10-06, 2020-10-07, 2020-10-08, 2021-02-11, 2021-02-16, 2021-02-17, 2021-05-03, 2021-05-04, 2021-05-05, 2021-09-20, 2021-09-21, 2021-10-04, 2021-10-05, 2021-10-06, 2021-10-07, 2022-01-03, 2022-01-31, 2022-02-04, 2022-04-04, 2022-05-03, 2022-05-04, 2022-10-03, 2022-10-05, 2022-10-06, 2022-10-07, 2023-01-26, 2023-01-27, 2023-05-02, 2023-05-03, 2023-06-23, 2023-09-29, 2023-10-04, 2023-10-05, 2023-10-06, 2024-02-09, 2024-02-14, 2024-02-15, 2024-02-16, 2024-04-05, 2024-05-02, 2024-05-03, 2024-09-17, 2024-10-02, 2024-10-03, 2024-10-04, 2024-10-07, 2025-01-28, 2025-02-03, 2025-05-02, 2025-06-02, 2025-10-02, 2025-10-03, 2025-10-06, 2025-10-08, 2026-01-02, 2026-02-16, 2026-02-20, 2026-02-23",SHS大湾区(CNY),中证沪港深粤港澳大湾区发展主题指数(CNY),CSI,中证指数有限公司,,主题指数,2016-12-30,1000.0000,2017-07-19,其他,中证粤港澳大湾区发展主题指数反映受益于粤港澳大湾区发展相关上市公司的整体表现。该指数系列包含中证港股通粤港澳大湾区发展主题指数、中证沪港深粤港澳大湾区发展主题指数和中证粤港澳大湾区发展主题指数，分别从港股通合资格证券范围、沪港深三地上市公司及内地市场中的粤港澳大湾区企业中选取符合湾区发展主题的最大50只香港市场证券、最大100家公司及最大100只内地市场证券作为指数样本，并结合湾区经济发展特点和样本空间内科技类证券权重调整科技证券行业因子，以使指数样本中科技类证券权重与待选空间中科技类证券占比接近。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08,SHS大湾区(CNY),中证沪港深粤港澳大湾区发展主题指数(CNY),CSI,中证指数有限公司,,主题指数,20161230,1000.0000,20170719,其他,中证粤港澳大湾区发展主题指数反映受益于粤港澳大湾区发展相关上市公司的整体表现。该指数系列包含中证港股通粤港澳大湾区发展主题指数、中证沪港深粤港澳大湾区发展主题指数和中证粤港澳大湾区发展主题指数，分别从港股通合资格证券范围、沪港深三地上市公司及内地市场中的粤港澳大湾区企业中选取符合湾区发展主题的最大50只香港市场证券、最大100家公司及最大100只内地市场证券作为指数样本，并结合湾区经济发展特点和样本空间内科技类证券权重调整科技证券行业因子，以使指数样本中科技类证券权重与待选空间中科技类证券占比接近。,,index_basic,2026-05-04 20:00:42.933834+08
931357.CSI,62,62,2020-05-04,2026-02-23,"2020-05-04, 2020-05-05, 2020-06-26, 2020-10-05, 2020-10-06, 2020-10-07, 2020-10-08, 2021-02-11, 2021-02-16, 2021-02-17, 2021-05-03, 2021-05-04, 2021-05-05, 2021-09-20, 2021-09-21, 2021-10-04, 2021-10-05, 2021-10-06, 2021-10-07, 2022-01-03, 2022-01-31, 2022-02-04, 2022-04-04, 2022-05-03, 2022-05-04, 2022-10-03, 2022-10-05, 2022-10-06, 2022-10-07, 2023-01-26, 2023-01-27, 2023-05-02, 2023-05-03, 2023-06-23, 2023-09-29, 2023-10-04, 2023-10-05, 2023-10-06, 2024-02-09, 2024-02-14, 2024-02-15, 2024-02-16, 2024-04-05, 2024-05-02, 2024-05-03, 2024-09-17, 2024-10-02, 2024-10-03, 2024-10-04, 2024-10-07, 2025-01-28, 2025-02-03, 2025-05-02, 2025-06-02, 2025-10-02, 2025-10-03, 2025-10-06, 2025-10-08, 2026-01-02, 2026-02-16, 2026-02-20, 2026-02-23",优选消费50,中证沪港深优选消费50指数,CSI,中证指数有限公司,,主题指数,2009-12-31,1000.0000,2019-11-15,其他,中证沪港深优选消费50指数从沪港深三地的消费类上市公司中选取50只盈利能力较高且兼具成长特征的龙头公司证券作为指数样本，以反映沪港深三地财务基本面较为优秀的消费类龙头上市公司证券的整体表现。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08,优选消费50,中证沪港深优选消费50指数,CSI,中证指数有限公司,,主题指数,20091231,1000.0000,20191115,其他,中证沪港深优选消费50指数从沪港深三地的消费类上市公司中选取50只盈利能力较高且兼具成长特征的龙头公司证券作为指数样本，以反映沪港深三地财务基本面较为优秀的消费类龙头上市公司证券的整体表现。,,index_basic,2026-05-04 20:00:42.933834+08
483023.CNI,61,61,2020-04-06,2026-02-23,"2020-04-06, 2020-05-04, 2020-05-05, 2020-06-26, 2020-10-05, 2020-10-06, 2020-10-07, 2020-10-08, 2021-02-11, 2021-02-16, 2021-02-17, 2021-05-03, 2021-05-04, 2021-05-05, 2021-09-20, 2021-09-21, 2021-10-04, 2021-10-05, 2021-10-06, 2021-10-07, 2022-01-03, 2022-01-31, 2022-02-04, 2022-04-04, 2022-05-03, 2022-05-04, 2022-10-03, 2022-10-05, 2022-10-06, 2022-10-07, 2023-05-03, 2023-06-23, 2023-09-29, 2023-10-03, 2023-10-04, 2023-10-05, 2023-10-06, 2024-02-09, 2024-02-14, 2024-02-15, 2024-02-16, 2024-04-05, 2024-05-02, 2024-05-03, 2024-09-17, 2024-10-02, 2024-10-03, 2024-10-04, 2024-10-07, 2025-01-28, 2025-02-03, 2025-05-02, 2025-06-02, 2025-10-02, 2025-10-03, 2025-10-06, 2025-10-08, 2026-01-02, 2026-02-16, 2026-02-20, 2026-02-23",深港通医药卫生R,国证深港通医药卫生行业全收益指数,CNI,深圳证券交易所,,行业指数,2016-12-02,5000.0000,2017-12-01,其他,为反映各行业深港通标的证券的整体运行情况，根据国证行业分类标准，编制深港通行业指数系列。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08,深港通医药卫生R,国证深港通医药卫生行业全收益指数,CNI,深圳证券交易所,,行业指数,20161202,5000.0000,20171201,其他,为反映各行业深港通标的证券的整体运行情况，根据国证行业分类标准，编制深港通行业指数系列。,,index_basic,2026-05-04 20:00:42.933834+08
483024.CNI,61,61,2020-04-06,2026-02-23,"2020-04-06, 2020-05-04, 2020-05-05, 2020-06-26, 2020-10-05, 2020-10-06, 2020-10-07, 2020-10-08, 2021-02-11, 2021-02-16, 2021-02-17, 2021-05-03, 2021-05-04, 2021-05-05, 2021-09-20, 2021-09-21, 2021-10-04, 2021-10-05, 2021-10-06, 2021-10-07, 2022-01-03, 2022-01-31, 2022-02-04, 2022-04-04, 2022-05-03, 2022-05-04, 2022-10-03, 2022-10-05, 2022-10-06, 2022-10-07, 2023-05-03, 2023-06-23, 2023-09-29, 2023-10-03, 2023-10-04, 2023-10-05, 2023-10-06, 2024-02-09, 2024-02-14, 2024-02-15, 2024-02-16, 2024-04-05, 2024-05-02, 2024-05-03, 2024-09-17, 2024-10-02, 2024-10-03, 2024-10-04, 2024-10-07, 2025-01-28, 2025-02-03, 2025-05-02, 2025-06-02, 2025-10-02, 2025-10-03, 2025-10-06, 2025-10-08, 2026-01-02, 2026-02-16, 2026-02-20, 2026-02-23",深港通医药卫生R(港币),国证深港通医药卫生行业全收益指数(港币),CNI,深圳证券交易所,,行业指数,2016-12-02,5000.0000,2017-12-01,其他,为反映各行业深港通标的证券的整体运行情况，根据国证行业分类标准，编制深港通行业指数系列。,,2026-05-02 00:00:18.859742+08,2026-05-04 20:00:42.933834+08,深港通医药卫生R(港币),国证深港通医药卫生行业全收益指数(港币),CNI,深圳证券交易所,,行业指数,20161202,5000.0000,20171201,其他,为反映各行业深港通标的证券的整体运行情况，根据国证行业分类标准，编制深港通行业指数系列。,,index_basic,2026-05-04 20:00:42.933834+08
