schema_name,table_name,relation_type,estimated_rows,table_bytes,table_size,index_bytes,index_size,toast_bytes,toast_size,total_bytes,total_size
raw_tushare,cyq_chips,table,196509984,15506784256,14 GB,19108388864,18 GB,4300800,4200 kB,34619473920,32 GB
raw_tushare,index_mins,table,51390288,6415392768,6118 MB,7979376640,7610 MB,1769472,1728 kB,14396538880,13 GB
raw_tushare,news,table,8253270,5160476672,4921 MB,1807081472,1723 MB,27312128,26 MB,6994870272,6671 MB
raw_tushare,stk_mins_2026_01,table,34999928,2966855680,2829 MB,2480381952,2365 MB,835584,816 kB,5448073216,5196 MB
raw_tushare,stk_mins_2026_03,table,38064516,3293978624,3141 MB,2092998656,1996 MB,917504,896 kB,5387894784,5138 MB
raw_tushare,stk_factor_pro,table,1797009,5117288448,4880 MB,185532416,177 MB,1425408,1392 kB,5304246272,5059 MB
raw_tushare,stk_mins_2026_04,table,34421312,3150528512,3005 MB,2134581248,2036 MB,876544,856 kB,5285986304,5041 MB
raw_tushare,stk_mins_2026_05,table,29502174,2696372224,2571 MB,2140536832,2041 MB,753664,736 kB,4837662720,4614 MB
core_serving,equity_daily_basic,table,13775792,2497519616,2382 MB,2051104768,1956 MB,712704,696 kB,4549337088,4339 MB
core_serving,equity_moneyflow,table,13482986,2941108224,2805 MB,998498304,952 MB,745472,728 kB,3940352000,3758 MB
raw_tushare,stk_mins_2026_02,table,24547402,2080423936,1984 MB,1717166080,1638 MB,589824,576 kB,3798179840,3622 MB
core_serving,equity_daily_bar,table,17755580,2601500672,2481 MB,1156358144,1103 MB,737280,720 kB,3758596096,3584 MB
core_serving,dc_member,table,21940220,1977163776,1886 MB,1728872448,1649 MB,573440,560 kB,3706609664,3535 MB
raw_tushare,moneyflow,table,13482986,3155828736,3010 MB,467230720,446 MB,802816,784 kB,3623862272,3456 MB
raw_tushare,bak_basic,table,10217383,2645016576,2522 MB,881713152,841 MB,761856,744 kB,3527491584,3364 MB
raw_tushare,daily,table,17774880,2532433920,2415 MB,982335488,937 MB,720896,704 kB,3515490304,3353 MB
raw_tushare,daily_basic,table,13780749,2623176704,2502 MB,761446400,726 MB,753664,736 kB,3385376768,3229 MB
raw_tushare,dc_member,table,21981610,1976680448,1885 MB,1199906816,1144 MB,581632,568 kB,3177168896,3030 MB
raw_tushare,cyq_perf,table,9114987,1251483648,1194 MB,891625472,850 MB,376832,368 kB,2143485952,2044 MB
core,equity_adj_factor,table,14954325,1149329408,1096 MB,982245376,937 MB,344064,336 kB,2131918848,2033 MB
raw_tushare,adj_factor,table,15006290,1288568832,1229 MB,833789952,795 MB,385024,376 kB,2122743808,2024 MB
raw_tushare,major_news,table,305638,120365056,115 MB,78176256,75 MB,1880530944,1793 MB,2079072256,1983 MB
core_serving,equity_cyq_perf,table,9245646,1174675456,1120 MB,892993536,852 MB,352256,344 kB,2068021248,1972 MB
raw_biying,equity_daily_bar,table,4650484,1387913216,1324 MB,430981120,411 MB,409600,400 kB,1819303936,1735 MB
raw_biying,moneyflow,table,1249879,1622007808,1547 MB,103677952,99 MB,483328,472 kB,1726169088,1646 MB
raw_tushare,moneyflow_dc,table,3518872,643563520,614 MB,443277312,423 MB,212992,208 kB,1087053824,1037 MB
core_serving,equity_moneyflow_dc,table,3662879,592347136,565 MB,444899328,424 MB,188416,184 kB,1037434880,989 MB
raw_tushare,anns_d,table,1786424,685916160,654 MB,328679424,313 MB,221184,216 kB,1014816768,968 MB
core_serving,stk_period_bar_adj,table,3317249,699138048,667 MB,283959296,271 MB,212992,208 kB,983310336,938 MB
raw_tushare,stk_period_bar_adj,table,3315935,758431744,723 MB,220741632,211 MB,237568,232 kB,979410944,934 MB
raw_tushare,stk_nineturn,table,4342030,609075200,581 MB,226484224,216 MB,204800,200 kB,835764224,797 MB
core_serving,equity_nineturn,table,4347417,581672960,555 MB,229441536,219 MB,188416,184 kB,811302912,774 MB
core_serving,stk_period_bar,table,3325762,497262592,474 MB,285548544,272 MB,155648,152 kB,782966784,747 MB
raw_tushare,stk_period_bar,table,3325900,561356800,535 MB,210829312,201 MB,180224,176 kB,772366336,737 MB
raw_tushare,research_report,table,234041,159268864,152 MB,70041600,67 MB,457523200,436 MB,686833664,655 MB
core_serving,kpl_concept_cons,table,2150390,484663296,462 MB,201613312,192 MB,163840,160 kB,686440448,655 MB
raw_tushare,irm_qa_sz,table,776487,479371264,457 MB,163741696,156 MB,6193152,6048 kB,649306112,619 MB
raw_tushare,kpl_concept_cons,table,2196404,512221184,488 MB,124411904,119 MB,172032,168 kB,636805120,607 MB
core_serving,equity_stk_limit,table,3950510,355319808,339 MB,238977024,228 MB,122880,120 kB,594419712,567 MB
raw_tushare,stk_limit,table,3951501,355303424,339 MB,238649344,228 MB,131072,128 kB,594083840,567 MB
core_serving_light,equity_daily_bar_light_p2025,table,1318844,371154944,354 MB,178388992,170 MB,131072,128 kB,549675008,524 MB
core_serving_light,equity_daily_bar_light_p2024,table,1293906,365469696,349 MB,176029696,168 MB,122880,120 kB,541622272,517 MB
core_serving_light,equity_daily_bar_light_p2023,table,1265761,355540992,339 MB,171130880,163 MB,122880,120 kB,526794752,502 MB
raw_tushare,ths_daily,table,2189393,406011904,387 MB,94797824,90 MB,147456,144 kB,500957184,478 MB
core_serving,ths_daily,table,2190856,383516672,366 MB,115302400,110 MB,131072,128 kB,498950144,476 MB
core_serving_light,equity_daily_bar_light_p2022,table,1181232,333037568,318 MB,161701888,154 MB,114688,112 kB,494854144,472 MB
core_serving,fund_daily_bar,table,2384190,314712064,300 MB,158433280,151 MB,106496,104 kB,473251840,451 MB
raw_tushare,fund_daily,table,2383563,339894272,324 MB,130064384,124 MB,131072,128 kB,470089728,448 MB
core_serving_light,equity_daily_bar_light_p2021,table,1083413,306585600,292 MB,147447808,141 MB,114688,112 kB,454148096,433 MB
raw_tushare,moneyflow_ths,table,1729412,279576576,267 MB,166789120,159 MB,106496,104 kB,446472192,426 MB
core_serving,equity_moneyflow_ths,table,1734184,255049728,243 MB,166952960,159 MB,90112,88 kB,422092800,403 MB
core_multi,moneyflow_std,table,1347345,330940416,316 MB,81289216,78 MB,98304,96 kB,412327936,393 MB
core_serving_light,equity_daily_bar_light_p2020,table,965493,272318464,260 MB,131817472,126 MB,106496,104 kB,404242432,386 MB
core_serving_light,equity_daily_bar_light_p2019,table,895965,252592128,241 MB,133808128,128 MB,90112,88 kB,386490368,369 MB
raw_tushare,stk_auction_c,table,1758472,252755968,241 MB,103202816,98 MB,98304,96 kB,356057088,340 MB
core_serving_light,equity_daily_bar_light_p2018,table,824535,232923136,222 MB,122322944,117 MB,81920,80 kB,355328000,339 MB
raw_tushare,stk_auction_o,table,1804230,236224512,225 MB,102834176,98 MB,98304,96 kB,339156992,323 MB
core,fund_adj_factor,table,2547240,185663488,177 MB,146120704,139 MB,73728,72 kB,331857920,316 MB
raw_tushare,index_daily,table,1636390,238747648,228 MB,89931776,86 MB,98304,96 kB,328777728,314 MB
core_serving,equity_auction_close,table,1846650,223494144,213 MB,103219200,98 MB,81920,80 kB,326795264,312 MB
core_serving,dc_hot,table,901808,155172864,148 MB,169115648,161 MB,73728,72 kB,324362240,309 MB
core_serving,index_daily_serving,table,1636390,222584832,212 MB,101474304,97 MB,81920,80 kB,324141056,309 MB
core_serving_light,equity_daily_bar_light_p2017,table,754372,213098496,203 MB,110477312,105 MB,81920,80 kB,323657728,309 MB
core_serving,equity_auction_open,table,1787754,212893696,203 MB,102834176,98 MB,81920,80 kB,315809792,301 MB
raw_tushare,fund_adj,table,2543280,185663488,177 MB,120168448,115 MB,81920,80 kB,305913856,292 MB
core_serving,equity_holder_number,table,521469,140558336,134 MB,162856960,155 MB,65536,64 kB,303480832,289 MB
raw_tushare,dc_hot,table,905407,155172864,148 MB,127918080,122 MB,73728,72 kB,283164672,270 MB
core_serving_light,equity_daily_bar_light_p2016,table,652864,184426496,176 MB,96239616,92 MB,73728,72 kB,280739840,268 MB
raw_tushare,irm_qa_sh,table,308622,212959232,203 MB,60547072,58 MB,3416064,3336 kB,276922368,264 MB
core_serving_light,equity_daily_bar_light_p2015,table,575184,162480128,155 MB,84885504,81 MB,65536,64 kB,247431168,236 MB
backup_index_period_20260505,raw_tushare_index_daily,table,1728428,246415360,235 MB,0,0 bytes,98304,96 kB,246513664,235 MB
core_serving_light,equity_daily_bar_light_p2014,table,571035,161308672,154 MB,84811776,81 MB,65536,64 kB,246185984,235 MB
raw_tushare,suspend_d,table,617896,95313920,91 MB,131710976,126 MB,57344,56 kB,227082240,217 MB
core_serving,equity_suspend_d,table,600245,90365952,86 MB,131211264,125 MB,49152,48 kB,221626368,211 MB
backup_index_period_20260505,core_serving_index_daily_serving,table,1579143,213909504,204 MB,0,0 bytes,81920,80 kB,213991424,204 MB
core_serving_light,equity_daily_bar_light_p2026,table,482030,135380992,129 MB,72318976,69 MB,65536,64 kB,207765504,198 MB
raw_tushare,holdernumber,table,507045,114581504,109 MB,90734592,87 MB,65536,64 kB,205381632,196 MB
