ts_code,name,list_status,list_dt,delist_dt,freq,classification,first_seen_date,first_valid_trade_date,last_seen_date,seen_trade_date_count,row_count,valid_bar_count,valid_trade_date_count,invalid_trade_date_count,invalid_before_list_days,all_zero_before_list_days,valid_before_list_days,last_valid_before_list_date
002789.SZ,*ST建艺,L,2016-03-11,,1,valid_before_list_date,2016-03-02,2016-03-02,2026-05-07,2466,594306,594306,2466,0,0,0,1,2016-03-02
002790.SZ,瑞尔特,L,2016-03-08,,1,valid_before_list_date,2016-02-25,2016-02-25,2026-05-07,2469,595029,595029,2469,0,0,0,1,2016-02-25
002801.SZ,微光股份,L,2016-06-22,,1,valid_before_list_date,2016-06-13,2016-06-13,2026-05-07,2397,577677,577677,2397,0,0,0,1,2016-06-13
002802.SZ,洪汇新材,L,2016-06-29,,1,valid_before_list_date,2016-06-20,2016-06-20,2026-05-07,2392,576472,576472,2392,0,0,0,1,2016-06-20
002803.SZ,吉宏股份,L,2016-07-12,,1,valid_before_list_date,2016-06-30,2016-06-30,2026-05-07,2383,574303,574303,2383,0,0,0,1,2016-06-30
002805.SZ,丰元股份,L,2016-07-07,,1,valid_before_list_date,2016-06-27,2016-06-27,2026-05-07,2386,575026,575026,2386,0,0,0,1,2016-06-27
002806.SZ,华锋股份,L,2016-07-26,,1,valid_before_list_date,2016-07-14,2016-07-14,2026-05-07,2373,571893,571893,2373,0,0,0,1,2016-07-14
002807.SZ,江阴银行,L,2016-09-02,,1,valid_before_list_date,2016-08-24,2016-08-24,2026-05-07,2345,565145,565145,2345,0,0,0,1,2016-08-24
002808.SZ,*ST恒久,L,2016-08-12,,1,valid_before_list_date,2016-08-03,2016-08-03,2026-05-07,2360,568760,568760,2360,0,0,0,1,2016-08-03
002809.SZ,红墙股份,L,2016-08-23,,1,valid_before_list_date,2016-08-11,2016-08-11,2026-05-07,2353,567073,567073,2353,0,0,0,1,2016-08-11
002810.SZ,山东赫达,L,2016-08-26,,1,valid_before_list_date,2016-08-16,2016-08-16,2026-05-07,2350,566350,566350,2350,0,0,0,1,2016-08-16
002811.SZ,郑中设计,L,2016-09-08,,1,valid_before_list_date,2016-08-30,2016-08-30,2026-05-07,2341,564181,564181,2341,0,0,0,1,2016-08-30
002812.SZ,恩捷股份,L,2016-09-14,,1,valid_before_list_date,2016-08-31,2016-08-31,2026-05-07,2337,563217,563217,2337,0,0,0,1,2016-08-31
002813.SZ,路畅科技,L,2016-10-12,,1,valid_before_list_date,2016-09-23,2016-09-23,2026-05-07,2324,560084,560084,2324,0,0,0,1,2016-09-23
002815.SZ,崇达技术,L,2016-10-12,,1,valid_before_list_date,2016-09-22,2016-09-22,2026-05-07,2291,552131,552131,2291,0,0,0,1,2016-09-22
002816.SZ,*ST和科,L,2016-10-25,,1,valid_before_list_date,2016-10-12,2016-10-12,2026-05-07,2315,557915,557915,2315,0,0,0,1,2016-10-12
002817.SZ,黄山胶囊,L,2016-10-25,,1,valid_before_list_date,2016-10-13,2016-10-13,2026-05-07,2315,557915,557915,2315,0,0,0,1,2016-10-13
300502.SZ,新易盛,L,2016-03-03,,1,valid_before_list_date,2016-02-23,2016-02-23,2026-05-07,2472,595752,595752,2472,0,0,0,1,2016-02-23
300503.SZ,昊志机电,L,2016-03-09,,1,valid_before_list_date,2016-02-29,2016-02-29,2026-05-07,2468,594788,594788,2468,0,0,0,1,2016-02-29
300505.SZ,川金诺,L,2016-03-15,,1,valid_before_list_date,2016-03-04,2016-03-04,2026-05-07,2464,593824,593824,2464,0,0,0,1,2016-03-04
300517.SZ,海波重科,L,2016-07-19,,1,valid_before_list_date,2016-07-07,2016-07-07,2026-05-07,2378,573098,573098,2378,0,0,0,1,2016-07-07
300518.SZ,新迅达,L,2016-06-24,,1,valid_before_list_date,2016-06-15,2016-06-15,2026-04-30,2393,576713,576713,2393,0,0,0,1,2016-06-15
300519.SZ,新光药业,L,2016-06-24,,1,valid_before_list_date,2016-06-08,2016-06-08,2026-05-07,2395,577195,577195,2395,0,0,0,1,2016-06-08
