ts_code,name,list_status,list_dt,delist_dt,code_classification,min_first_seen_date,min_first_valid_trade_date,max_last_seen_date,missing_freqs,no_valid_freqs,valid_before_list_freqs,invalid_only_before_list_freqs
002789.SZ,*ST建艺,L,2016-03-11,,has_valid_before_list_date,2016-03-02,2016-03-02,2026-05-07,,,1,
002790.SZ,瑞尔特,L,2016-03-08,,has_valid_before_list_date,2016-02-25,2016-02-25,2026-05-07,,,1,
002801.SZ,微光股份,L,2016-06-22,,has_valid_before_list_date,2016-06-13,2016-06-13,2026-05-07,,,1,
002802.SZ,洪汇新材,L,2016-06-29,,has_valid_before_list_date,2016-06-20,2016-06-20,2026-05-07,,,1,
002803.SZ,吉宏股份,L,2016-07-12,,has_valid_before_list_date,2016-06-30,2016-06-30,2026-05-07,,,1,
002805.SZ,丰元股份,L,2016-07-07,,has_valid_before_list_date,2016-06-27,2016-06-27,2026-05-07,,,1,
002806.SZ,华锋股份,L,2016-07-26,,has_valid_before_list_date,2016-07-14,2016-07-14,2026-05-07,,,1,
002807.SZ,江阴银行,L,2016-09-02,,has_valid_before_list_date,2016-08-24,2016-08-24,2026-05-07,,,1,
002808.SZ,*ST恒久,L,2016-08-12,,has_valid_before_list_date,2016-08-03,2016-08-03,2026-05-07,,,1,
002809.SZ,红墙股份,L,2016-08-23,,has_valid_before_list_date,2016-08-11,2016-08-11,2026-05-07,,,1,
002810.SZ,山东赫达,L,2016-08-26,,has_valid_before_list_date,2016-08-16,2016-08-16,2026-05-07,,,1,
002811.SZ,郑中设计,L,2016-09-08,,has_valid_before_list_date,2016-08-30,2016-08-30,2026-05-07,,,1,
002812.SZ,恩捷股份,L,2016-09-14,,has_valid_before_list_date,2016-08-31,2016-08-31,2026-05-07,,,1,
002813.SZ,路畅科技,L,2016-10-12,,has_valid_before_list_date,2016-09-23,2016-09-23,2026-05-07,,,1,
002815.SZ,崇达技术,L,2016-10-12,,has_valid_before_list_date,2016-09-22,2016-09-22,2026-05-07,,,1,
002816.SZ,*ST和科,L,2016-10-25,,has_valid_before_list_date,2016-10-12,2016-10-12,2026-05-07,,,1,
002817.SZ,黄山胶囊,L,2016-10-25,,has_valid_before_list_date,2016-10-13,2016-10-13,2026-05-07,,,1,
300502.SZ,新易盛,L,2016-03-03,,has_valid_before_list_date,2016-02-23,2016-02-23,2026-05-07,,,1,
300503.SZ,昊志机电,L,2016-03-09,,has_valid_before_list_date,2016-02-29,2016-02-29,2026-05-07,,,1,
300505.SZ,川金诺,L,2016-03-15,,has_valid_before_list_date,2016-03-04,2016-03-04,2026-05-07,,,1,
300517.SZ,海波重科,L,2016-07-19,,has_valid_before_list_date,2016-07-07,2016-07-07,2026-05-07,,,1,
300518.SZ,新迅达,L,2016-06-24,,has_valid_before_list_date,2016-06-15,2016-06-15,2026-05-07,,,1,
300519.SZ,新光药业,L,2016-06-24,,has_valid_before_list_date,2016-06-08,2016-06-08,2026-05-07,,,1,
300520.SZ,科大国创,L,2016-07-08,,has_valid_before_list_date,2016-06-28,2016-06-28,2026-05-07,,,1,
300521.SZ,爱司凯,L,2016-07-05,,has_valid_before_list_date,2016-06-24,2016-06-24,2026-05-07,,,1,
300522.SZ,世名科技,L,2016-07-05,,has_valid_before_list_date,2016-06-23,2016-06-23,2026-05-07,,,1,
300523.SZ,辰安科技,L,2016-07-26,,has_valid_before_list_date,2016-07-13,2016-07-13,2026-05-07,,,1,
300525.SZ,博思软件,L,2016-07-26,,has_valid_before_list_date,2016-07-15,2016-07-15,2026-05-07,,,1,
300526.SZ,中潜退(退),D,2016-08-02,2023-07-12,has_valid_before_list_date,2016-07-21,2016-07-21,2019-12-31,"5,30,60,90,120",,1,
300527.SZ,ST应急,L,2016-08-05,,has_valid_before_list_date,2016-07-25,2016-07-25,2026-05-07,,,1,
