trade_date,ts_code,name,type,type_name,name_source,validation_status,validation_message,prev_name,next_name,same_day_st_event_count,same_day_st_names,same_day_st_types,selected_namechange_name,selected_namechange_start_date,selected_namechange_end_date,selected_namechange_ann_date,selected_namechange_change_reason,active_namechange_row_count
2016-08-10,000033.SZ,*ST新都,ST,风险警示板,stable_snapshot,ok_no_same_day_st_event,缺失日没有同日 st 事件，按 namechange 主事实重建。,*ST新都,*ST新都,0,[],[],*ST新都,2014-05-05,2017-05-23,2014-04-30,*ST,1
2016-08-10,000037.SZ,*ST南电A,ST,风险警示板,stable_snapshot,ok_no_same_day_st_event,缺失日没有同日 st 事件，按 namechange 主事实重建。,*ST南电A,*ST南电A,0,[],[],*ST南电A,2016-04-05,2017-04-16,2016-04-01,*ST,1
2016-08-10,000155.SZ,*ST川化,ST,风险警示板,stable_snapshot,ok_no_same_day_st_event,缺失日没有同日 st 事件，按 namechange 主事实重建。,*ST川化,*ST川化,0,[],[],*ST川化,2015-05-04,2017-12-17,2015-04-30,*ST,1
2016-08-10,000403.SZ,ST生化,ST,风险警示板,stable_snapshot,ok_no_same_day_st_event,缺失日没有同日 st 事件，按 namechange 主事实重建。,ST生化,ST生化,0,[],[],ST生化,2014-11-07,2018-11-21,2014-11-06,摘星,1
2016-08-10,000408.SZ,*ST金源,ST,风险警示板,stable_snapshot,ok_no_same_day_st_event,缺失日没有同日 st 事件，按 namechange 主事实重建。,*ST金源,*ST金源,0,[],[],*ST金源,2016-04-28,2017-05-22,2016-04-27,*ST,1
2016-08-10,000504.SZ,*ST生物,ST,风险警示板,stable_snapshot,ok_no_same_day_st_event,缺失日没有同日 st 事件，按 namechange 主事实重建。,*ST生物,*ST生物,0,[],[],*ST生物,2016-04-26,2017-05-11,2016-04-25,*ST,1
2016-08-10,000505.SZ,*ST珠江,ST,风险警示板,stable_snapshot,ok_no_same_day_st_event,缺失日没有同日 st 事件，按 namechange 主事实重建。,*ST珠江,*ST珠江,0,[],[],*ST珠江,2016-04-26,2017-05-18,2016-04-25,*ST,1
2016-08-10,000511.SZ,*ST烯碳,ST,风险警示板,stable_snapshot,ok_no_same_day_st_event,缺失日没有同日 st 事件，按 namechange 主事实重建。,*ST烯碳,*ST烯碳,0,[],[],*ST烯碳,2016-05-04,2018-06-04,2016-04-30,*ST,1
2016-08-10,000606.SZ,*ST易桥,ST,风险警示板,stable_snapshot,ok_no_same_day_st_event,缺失日没有同日 st 事件，按 namechange 主事实重建。,*ST易桥,*ST易桥,0,[],[],*ST易桥,2016-06-15,2017-03-13,2016-06-15,改名,1
2016-08-10,000611.SZ,*ST天首,ST,风险警示板,stable_snapshot,ok_no_same_day_st_event,缺失日没有同日 st 事件，按 namechange 主事实重建。,*ST天首,*ST天首,0,[],[],*ST天首,2016-07-11,2017-06-07,2016-07-11,改名,1
