trade_date,prev_date,next_date,prev_count,next_count,st_same_day_count,candidate_count,selected_namechange_count,unresolved_candidate_count,selected_non_st_count,reconstructed_count,validation_ok_total,validation_not_ok_total,manual_review_count,apply_eligible
2016-08-10,2016-08-09,2016-08-11,72,72,0,72,72,0,0,72,72,0,0,Y
2016-08-19,2016-08-18,2016-08-22,72,72,0,72,72,0,0,72,72,0,0,Y
2016-09-22,2016-09-21,2016-09-23,73,73,0,73,73,0,0,73,73,0,0,Y
2016-10-10,2016-09-30,2016-10-11,73,73,0,73,73,0,0,73,73,0,0,Y
2016-12-05,2016-12-02,2016-12-06,68,68,0,68,68,0,0,68,68,0,0,Y
2017-01-17,2017-01-16,2017-01-18,67,67,0,67,67,0,0,67,67,0,0,Y
2017-06-23,2017-06-22,2017-06-26,73,73,0,73,73,0,0,73,73,0,0,Y
2019-04-01,2019-03-29,2019-04-02,91,89,1,91,91,0,0,91,91,0,0,Y
2019-10-24,2019-10-23,2019-10-25,139,139,0,139,139,0,0,139,139,0,0,Y
2019-11-04,2019-11-01,2019-11-05,138,139,1,139,139,0,0,139,139,0,0,Y
2019-11-28,2019-11-27,2019-11-29,138,138,0,138,138,0,0,138,138,0,0,Y
2020-01-02,2019-12-31,2020-01-03,138,137,0,138,138,0,0,138,138,0,0,Y
2020-02-20,2020-02-19,2020-02-21,140,140,0,140,140,0,0,140,140,0,0,Y
2020-02-25,2020-02-24,2020-02-26,140,140,0,140,140,0,0,140,140,0,0,Y
2020-03-16,2020-03-13,2020-03-17,139,139,0,139,139,0,0,139,139,0,0,Y
2020-04-23,2020-04-22,2020-04-24,142,144,1,144,144,0,1,143,143,0,0,Y
2020-06-18,2020-06-17,2020-06-19,202,202,2,203,203,0,1,202,202,0,0,Y
2020-07-08,2020-07-07,2020-07-09,213,213,1,213,213,0,0,213,213,0,0,Y
2020-07-20,2020-07-17,2020-07-21,212,212,0,212,212,0,0,212,212,0,0,Y
2020-08-03,2020-07-31,2020-08-05,212,212,0,212,212,0,0,212,212,0,0,Y
2020-08-04,2020-07-31,2020-08-05,212,212,2,212,212,0,0,212,212,0,0,Y
2020-08-24,2020-08-21,2020-08-25,212,214,0,214,214,0,2,212,212,0,0,Y
2020-11-20,2020-11-19,2020-11-23,217,217,0,217,217,0,0,217,217,0,0,Y
2021-01-29,2021-01-28,2021-02-01,214,214,0,214,214,0,0,214,214,0,0,Y
2021-03-16,2021-03-15,2021-03-17,215,214,1,215,215,0,1,214,214,0,0,Y
